id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,assist,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value
2512751405,1,34,16,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2023-02-26T13:13:55.404Z,2023-02-26T13:44:29Z,4058791245,194,9nc4igej6cflyxrihy20zd045,4058791239,130,2,4058791229,30,"6a4e840hagvde76wq00oitboq, 5snw4b4ndo6hus8hpxq9q19lh, 3py0rmx89fgdd8e65l853yqne, 6l457lm38yflk2l01ho3kk48a, 9nc4igej6cflyxrihy20zd045, dcabal76i5wlct77xl6jkyfv9, 3ycwiqwexrq74zjs6l2rj0dsl, e3mdwwn8drb7hsscyvj4u8pre, b80b2mxpxjcboqc81evm6oa2, d154hxm83w5x1m0ht905cgpg5, 9skgc5kozhnn4cp5fghmnwout, 8rc3h630i5cinvhyvziqdfpp1, bimp62qt9yetz1mwz1z18ri7d, c9y25sxg24aripna871g8x9g4, 7asw3c7rhaqrmnc4kk7q0hp0p, 2kxbr1qwr4soew1kopzx7rswk, 7q2zs9kmolc8ivuz368gvsatx, 6vvrp3ijlo76d0oolobx1hgwl, 7agwzmp2lydepuz9a7013bxn8, 8wpwcph0wu2wnqlvy52phewh5",4058791241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058791249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058791235,59,"1, 14, 30, 5, 24, 2, 21, 23, 9, 58, 10, 4, 6, 11, 18, 19, 20, 27, 40, 77",4058791231,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4058847285,197,14248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512751457,1,34,16,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-02-26T13:13:58.884Z,2023-02-26T13:44:12Z,4058791565,59,"1, 37, 3, 10, 6, 5, 8, 11, 18, 7, 9, 12, 13, 15, 17, 20, 22, 25, 32, 69",4058791561,30,"6cazgi9vrmiy7pj7mspkmrnbp, ad6p2jcex4poforoc5a2m42qd, 8kp0hm0mftts0lx42esqbxt5h, 3f3c49bl4331k4nrrhvq6fu8l, 5zfwazpzlcnm9r7621wefv8ph, 1euxm106eodeidsr5gor1kbmd, a6k8vha3qcugelyjo82monahh, di3hdoveoiv3nwroamxgxd3o5, 162sfvdvwcsap2r0v4clllqz9, 8qywmb7vw14hygvzliislo1xx, yobsx8qzjrdt67z3vbzygd79, 8sb5yv5enqvr8bemx86jxc2j9, 65mm5or748prkqljargs2vs6i, 26cvxz862r0s1ckpehvsm1b6d, e14n0cktqewsx0a1q4kev326t, dms6dx6taz2d9wxcgqfk87lk9, av7gcm2jf4ahewdoefe6yxrrp, cobqvig9w519u0pu924u49045, a3q5iykho66l9yamfh83hn7x1, eps1e3sedewu4dfqnpbrpyuxg",4058791571,194,8qywmb7vw14hygvzliislo1xx,4058847971,197,17509,4058791567,130,4,4058791573,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058791563,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4058791569,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512764887,2,32,1,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-02-26T13:32:58.800Z,2023-02-26T13:33:01Z,4058858851,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512764873,2,32,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2023-02-26T13:32:58.800Z,2023-02-26T13:32:59Z,4058858789,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512764933,3,1,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,49.8,50,2023-02-26T13:32:58.900Z,2023-02-26T13:53:51Z,4058859135,212,7.1,4058859137,213,3.3,4058859141,279,S,4058859125,56,Back,4058859131,141,47.9,4058859127,140,43.2,,,,,,,b80b2mxpxjcboqc81evm6oa2,C. Beccari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512764955,4,1,1,0,3,8gw3pgcd0doivaul55q8na9lg,1,52,50.6,2023-02-26T13:33:02.613Z,2023-02-26T13:33:05Z,4058859277,141,55.7,4058859273,56,Center,4058859279,212,18.7,4058859267,155,,4058859275,140,69.5,4058859281,213,0.2,,,,,,,6l457lm38yflk2l01ho3kk48a,L. Pastrenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512764981,5,1,1,0,6,8gw3pgcd0doivaul55q8na9lg,0,71.6,55.8,2023-02-26T13:33:04.820Z,2023-02-26T13:33:10Z,4058859425,213,3.3,4058859423,212,8.1,4058859417,56,Center,4058859421,141,53.7,4058859419,140,64.0,,,,,,,,,,d154hxm83w5x1m0ht905cgpg5,V. Kubassova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512764975,3,49,1,0,7,acpt3r9i7hburdteruzc31u96,1,34.4,49.4,2023-02-26T13:33:06.129Z,2023-02-26T13:33:06Z,,,,,,,,,,,,,,,,,,,,,,,,,di3hdoveoiv3nwroamxgxd3o5,C. Grimshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512765011,4,1,1,0,7,acpt3r9i7hburdteruzc31u96,1,34.4,49.4,2023-02-26T13:33:06.406Z,2023-02-26T13:33:09Z,4058859613,56,Back,4058859617,140,29.0,4058859623,141,44.3,4058859627,212,6.6,4058859631,213,3.7,,,,,,,,,,di3hdoveoiv3nwroamxgxd3o5,C. Grimshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512765021,5,1,1,0,9,acpt3r9i7hburdteruzc31u96,1,29,43.4,2023-02-26T13:33:08.167Z,2023-02-26T13:33:10Z,4058859705,140,24.4,4058859711,213,4.4,4058859703,56,Back,4058859709,212,14.5,4058859707,141,23.3,,,,,,,,,,3f3c49bl4331k4nrrhvq6fu8l,K. Dubcová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
