id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/15/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2540213067,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-04-28T17:46:39.918Z,2023-04-28T19:01:58Z,4232505339,197,14656,4232293389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232293387,194,8lta4w1nytggiwnaqv4e5cc0l,4232293383,130,4,4232293377,30,"4g0d51pqr4grzoe9cx7do6pxx, 2s9ko6yxyi95jybzguru8g3bp, yau2ry4oz8da3etdtf5td0id, cbymienvjkbbvi1rbky74vj3e, e05kmeeuc7x55gwhjmxl9ry3u, f1ma05bi3t1hfbflylx5d9tyh, 6n7sw8r0fhcoa8hfuxrtm96tx, 1s7qbrynbcv9uw9r5f29oyc5, a21winmltx1h9oiwqtfditkut, 8lta4w1nytggiwnaqv4e5cc0l, e4cwx5r9hrvip371egldkc6ol, bmqg7owjivu1f3grdigkid0b9, 6ehsdxl74v0qtlbjjjbu0r0t1, 4ypa8ma678embtagi427eg4id, 545o5sllzb34kosvbw3fxhc5x, azph2f84zhlvg4wd8tleydkdm, 9casrbyhvk5woencvp365fnmy, 2rdh9ggkr9iu50esnyv464dsl, 6sejjyqssbr3olctm9nkq2v9x, 72sbeqsrvv64vwiec51r9g1k9, 89z0ym1zvwp7rikmd0kvpcq8l, 1kafgt90durzi0trgasa35nqi",4232293379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4232293381,59,"69, 27, 20, 25, 55, 4, 8, 24, 14, 11, 10, 1, 6, 7, 13, 19, 21, 22, 29, 33, 43, 72",4232293385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540214717,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-04-28T17:49:28.271Z,2023-04-28T18:41:18Z,4232491013,197,8477,4232301719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232301721,194,2qdgfxqyh0bjn3alkz97py8k5,4232301717,130,17,4232301713,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4232301711,30,"b3hr4q25jvqr7565z5ydqylt5, bcqsti42fhzap385lnfe4auhh, 4d17grk2qflzake218uz76uei, av8588qp8e5wz3s7cg1n2qgnp, erdqr6vrr5tlfypbks3og0dlh, thnje2i2s96fcbuscj57053p, 79e6khfyg3rdauul0yjlixv8q, 2qdgfxqyh0bjn3alkz97py8k5, dq037w5t3ht5zgd75mue4p1pl, duqiler25n63ksi0fxreo50mi, 6ck9f1ppvl65nui0x71q80jx1, annamxplmbyakvo2akw63xxw5, ejgtltbsu0djglqw98gywgu6t, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, ejmdm3h3oxr0fqubd5sbozq0a, 64z85woxiowxzod5e0g0x77x1, 721e4tx2wrwb4kd9w80fcq19l, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, 91sgvwun5559mwe9bszj4xql1, rblijalj0qnu455jtjoi3pjo, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",4232301715,59,"16, 84, 30, 5, 3, 55, 6, 32, 47, 28, 17, 2, 4, 7, 8, 9, 10, 11, 12, 19, 22, 26, 37, 80, 89, 91",4232301723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540253499,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-04-28T18:45:27.770Z,2023-04-28T18:45:29Z,4232509835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540253477,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-04-28T18:45:27.770Z,2023-04-29T00:49:26Z,4232509691,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540253529,3,1,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,50,50,2023-04-28T18:45:27.860Z,2023-04-29T01:15:37Z,4232509999,213,2.5,4232509997,212,12.2,4232509993,140,40.9,4233336931,178,,4232510001,279,S,4232509991,56,Back,4232509995,141,61.2,,,,dq037w5t3ht5zgd75mue4p1pl,Dany Mota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540253575,4,1,1,0,3,67z1gqyiuzpmmb15q5fy7ntc4,1,41.5,62.4,2023-04-28T18:45:31.312Z,2023-04-29T01:15:39Z,4232510149,56,Back,4233337077,178,,4232510161,213,1.0,4232510153,140,48.2,4232510157,141,78.5,4232510159,212,13.0,,,,,,,2qdgfxqyh0bjn3alkz97py8k5,M. Pessina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540253623,5,1,1,0,5,67z1gqyiuzpmmb15q5fy7ntc4,1,47.4,78.7,2023-04-28T18:45:33.092Z,2023-04-29T01:15:43Z,4232510425,212,12.8,4232510417,56,Back,4232510421,141,73.9,4232510419,140,35.6,4233337209,178,,4232510427,213,3.4,,,,,,,6ck9f1ppvl65nui0x71q80jx1,G. Caprari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540253659,6,1,1,0,7,67z1gqyiuzpmmb15q5fy7ntc4,1,33.3,70.6,2023-04-28T18:45:35.433Z,2023-04-29T01:15:46Z,4232510585,213,4.1,4232510581,141,50.4,4233337287,178,,4232510579,140,23.9,4232510577,56,Back,4232510583,212,16.9,,,,,,,2qdgfxqyh0bjn3alkz97py8k5,M. Pessina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540253685,7,1,1,0,10,67z1gqyiuzpmmb15q5fy7ntc4,1,23.9,50.1,2023-04-28T18:45:38.311Z,2023-04-29T01:15:49Z,4232510745,140,20.8,4232510751,213,4.5,4232510747,141,21.3,4232510749,212,19.9,4233337365,178,,4232510743,56,Back,,,,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540253735,8,1,1,0,12,67z1gqyiuzpmmb15q5fy7ntc4,1,20.8,21.3,2023-04-28T18:45:40.070Z,2023-04-29T01:15:52Z,4233337457,178,,4232511025,212,11.3,4232511019,56,Back,4232511021,140,27.9,4232511023,141,8.9,4232511027,213,5.4,,,,,,,thnje2i2s96fcbuscj57053p,A. Izzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
