id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId
2548001295,6,1,1,0,12,4klvxyeh3xcus4ongu7c00mgc,1,40.5,94.7,2023-05-13T16:00:47.486Z,2023-05-13T22:46:06Z,4275282669,178,,4273837951,156,,4273781563,213,3.6,4273781557,140,33.2,4273781559,141,89.3,4273781555,56,Back,4273781561,212,8.5,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001317,7,1,1,0,13,4klvxyeh3xcus4ongu7c00mgc,0,33.2,89.3,2023-05-13T16:00:48.398Z,2023-05-13T22:46:09Z,4273781691,140,60.2,4273781715,213,5.8,4273781717,1,,4273781699,141,65.5,4275282755,178,,4273781683,56,Center,4273781707,212,32.6,4273781681,155,,545o5sllzb34kosvbw3fxhc5x,A. Reca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001313,6,44,1,0,15,9dntj5dioj5ex52yrgwzxrq9l,1,37.5,38.6,2023-05-13T16:00:50.381Z,2023-05-14T00:48:06Z,4273781659,56,Back,4273781873,233,8,4273781661,285,,,,,,,,,,,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001325,8,44,1,0,15,4klvxyeh3xcus4ongu7c00mgc,0,62.5,61.4,2023-05-13T16:00:50.382Z,2023-05-13T22:46:17Z,4273781735,56,Center,4273781737,286,,4273781903,233,6,,,,,,,,,,,,,,,,8zltxvt0rcrcv96x1wmdhlrrp,M'Bala Nzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001339,7,1,1,0,15,9dntj5dioj5ex52yrgwzxrq9l,0,35.2,42.7,2023-05-13T16:00:50.448Z,2023-05-14T00:48:07Z,4273781831,212,11.7,4273781827,140,40.2,4273781829,141,27.3,4273781821,3,,4273781825,56,Back,4273781833,213,5.2,4275283165,388,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001369,9,1,1,0,16,4klvxyeh3xcus4ongu7c00mgc,0,57.7,74.4,2023-05-13T16:00:51.919Z,2023-05-13T22:46:29Z,4275283379,178,,4273781993,56,Center,4273781999,212,18.4,4273781997,141,64.2,4273781991,155,,4273781995,140,73.9,4273782001,213,5.9,,,,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001387,8,1,1,0,18,9dntj5dioj5ex52yrgwzxrq9l,1,25.3,37.7,2023-05-13T16:00:53.830Z,2023-05-13T22:46:35Z,4273782113,140,29.4,4273782109,3,,4275283585,178,,4273782115,141,20.8,4273782111,56,Back,4273782117,212,12.3,4273782119,213,5.1,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001395,9,49,1,0,20,9dntj5dioj5ex52yrgwzxrq9l,1,29.4,20.8,2023-05-13T16:00:56.112Z,2023-05-13T22:46:41Z,,,,,,,,,,,,,,,,,,,,,,,,,b33rlpjo3kx4477alx82si5wq,P. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001423,10,1,1,0,22,9dntj5dioj5ex52yrgwzxrq9l,0,23.5,15.3,2023-05-13T16:00:57.206Z,2023-05-13T22:46:47Z,4273785265,212,2.0,4273785261,140,25.4,4273785903,286,,4273785267,213,0.1,4273785263,141,15.5,4275283797,178,,4273782277,56,Back,4273785897,236,,b33rlpjo3kx4477alx82si5wq,P. Kalulu,4273785899,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548002013,22,74,1,0,22,4klvxyeh3xcus4ongu7c00mgc,1,75.6,90,2023-05-13T16:00:57.247Z,2023-05-13T22:46:52Z,4275283963,178,,4273785733,285,,4273785929,233,10,4273785731,56,Left,,,,,,,,,,,,,545o5sllzb34kosvbw3fxhc5x,A. Reca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001945,18,61,1,0,22,9dntj5dioj5ex52yrgwzxrq9l,1,31,18,2023-05-13T16:00:57.418Z,2023-05-13T22:46:57Z,4273785373,56,Back,4275284083,178,,,,,,,,,,,,,,,,,,,,b33rlpjo3kx4477alx82si5wq,P. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001503,11,49,1,0,23,4klvxyeh3xcus4ongu7c00mgc,1,76.8,94.2,2023-05-13T16:00:58.779Z,2023-05-13T22:47:59Z,,,,,,,,,,,,,,,,,,,,,,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001499,10,3,1,0,24,4klvxyeh3xcus4ongu7c00mgc,0,75.2,93.1,2023-05-13T16:00:59.387Z,2023-05-13T22:48:05Z,4273782709,286,,4273782707,56,Left,4274028607,233,11,4274471007,465,,4275286227,178,,,,,,,,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
