id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2490066257,1,34,16,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-12-10T12:45:05.446Z,2022-12-10T13:29:29Z,3939244223,59,"1, 16, 7, 8, 5, 34, 88, 87, 19, 21, 11, 4, 6, 9, 17, 18, 20, 30, 33, 55",3939244231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939244235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939244227,130,7,3939244233,194,72a3aetghls98os7onhc60vdh,3939244219,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3939336231,197,8189,3939244215,30,"18ufr5nlyfnnzzbzmqo9ynis5, 1d0us90tod393omtmaft90b11, 1rsv7xi31ffxqpjeaw76t1n8p, 1kmq43pxjjjacnrmcsw2dka1h, 72a3aetghls98os7onhc60vdh, dwmb9deiywwddo0bbnrgw2x91, 79abiotlhtb5edjedx8oqjysp, 4zr1u1gdqagr6e53pnyruywut, 2va4upf5w45brysw8q9w22gkq, botcpxadt5i04s4p8prbd3dyi, 7n5xycobojwgk6bq50o4ix0wl, e4i408ibyt4r0n7znz46qllka, cnvii81lylt9gcn9iox9lkvdh, 2v7svoulkkgzvdeb4e0hw7jyt, 6mvj0jfbicvwt296r6wuqajca, 6n8wa2zigh4tveiihbij6qc8a, e6yhuu5eu6qpk7gybytdtxqdx, bou3v9eox682bm04tv0l4tkpg, 162dxb8xc7nwc04nhintw7dn9, 3ym9jjnellqfvf2lg88vi0atx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490068375,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-12-10T12:49:16.323Z,2022-12-10T13:43:25Z,3939255705,130,4,3939255703,59,"1, 27, 7, 6, 11, 73, 28, 4, 24, 36, 10, 3, 12, 14, 15, 17, 21, 71, 77",3939255701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3939368699,197,16872,3939255707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3939255709,194,7o6r8tzrtw3820q5g8slo51w5,3939255699,30,"7o6r8tzrtw3820q5g8slo51w5, 7hjudlzsedzdtoh1mujgqj3yt, egz2k5rilem5eycz1blntm3v8, 7fu77l8o1mi2fq8iqqirsu09h, 51kuc7ba0zrbs82iok6sia76d, 8gef0np3atw3ihedrd6b16g9h, y1n01stf6l2bn9nw1l1qv7kk, a5ysq9fe13ges96z29omy3gmh, 6aybaux5k8c5xtzswmbljv1m1, cfntkj03dvexguaq8sp37fglx, 78kvxlwqgxlr5tw44nnkcwslx, 4udz6yr09afpwg201j7ruyaz8, ewrcxn31z5uhgemq7bhbwvw89, 97c2wpbq7cw51dh668feuju1h, eoup3nwpmplc03m9p7olaxel0, dhus1gg9t5tpqh3xxwrte9l1x, d0od4dxuv7bywyzy3300rp27e, 4qzbgxsev4wibbvo4osmwb4r9, bbryvdwzavouhzf5d31kysvvu",3939255711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083469,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-12-10T13:31:01.482Z,2022-12-10T13:31:01Z,3939338477,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083475,2,32,1,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-12-10T13:31:01.482Z,2022-12-10T13:31:03Z,3939338503,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083499,3,1,1,0,0,p2dsrpus5eckpz2h16svaour,1,50.2,50.1,2022-12-10T13:31:01.582Z,2022-12-10T14:16:35Z,3939338661,212,8.5,3939338659,141,47.2,3939338657,140,42.3,3939338665,279,S,3939338655,56,Back,3939338663,213,3.4,,,,,,,2va4upf5w45brysw8q9w22gkq,M. Longo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083533,4,1,1,0,4,p2dsrpus5eckpz2h16svaour,1,41.7,48.4,2022-12-10T13:31:06.183Z,2022-12-10T13:31:11Z,3939338839,141,75.6,3939338837,140,41.3,3939338831,56,Back,3939338847,213,1.6,3939338843,212,18.5,,,,,,,,,,4zr1u1gdqagr6e53pnyruywut,Vero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083541,5,3,1,0,9,p2dsrpus5eckpz2h16svaour,0,66.4,86.2,2022-12-10T13:31:10.886Z,2022-12-10T13:31:13Z,3939338865,56,Left,3939338867,286,,3939338961,233,3,,,,,,,,,,,,,,,,1rsv7xi31ffxqpjeaw76t1n8p,F. Cafferata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083547,3,7,1,0,9,7pm0maqtof5rdc3ksumasw55g,1,33.6,13.8,2022-12-10T13:31:10.887Z,2022-12-10T13:31:13Z,3939338891,56,Back,3939338895,285,,3939338957,233,5,,,,,,,,,,,,,,,,y1n01stf6l2bn9nw1l1qv7kk,G. Arrigoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083553,4,49,1,0,11,7pm0maqtof5rdc3ksumasw55g,1,28.3,6,2022-12-10T13:31:12.520Z,2022-12-10T13:31:12Z,,,,,,,,,,,,,,,,,,,,,,,,,cfntkj03dvexguaq8sp37fglx,M. Cambiaghi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083565,5,1,1,0,11,7pm0maqtof5rdc3ksumasw55g,1,28.3,6,2022-12-10T13:31:12.664Z,2022-12-10T13:31:15Z,3939339003,140,29.4,3939339005,141,22.5,3939339007,212,11.3,3939339009,213,1.5,3939339001,56,Back,,,,,,,,,,cfntkj03dvexguaq8sp37fglx,M. Cambiaghi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
