id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/11/value,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value
2499053737,1,34,16,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2023-01-21T10:29:16.295Z,2023-01-21T11:34:30Z,3986774537,194,horxq0sb7c6929i7mc6ctuqd,3986774535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986774529,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3986774533,130,7,3986816617,197,12022,3986774539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986774531,59,"12, 2, 22, 7, 44, 23, 8, 37, 27, 40, 19, 9, 10, 13, 17, 21, 29, 67, 77, 99",3986774527,30,"1hvfc11oxddf7hxxks4skxw45, 20pat26jlgjcvstrte9jbltrd, 23l4wxjftfctry8qgxh71zhm1, 4jwotvqswss201ptdipai5rkl, 9nj8et8a0rk6ay19vk84uawh5, 6e1lpunbwloydldryrn6q3iz9, 4xzg2jjtxvjoic1c8ohzsumdx, 3d41rsjci700mhl9rxdtuicmi, horxq0sb7c6929i7mc6ctuqd, 7rkobukrhcx0h6t3p1ux2bl78, 9q6mpd436ukjidbbj6onmti0a, cths31lj27lsmyp2fs166qtjo, cv7zl2omdyscmzg77ac8nic45, cczk9xb3xmteym84wujrwt0yc, 9fplrvcgiwmkq6patjbofpqp6, 4hr92u2mkgds9ojm844xgag9h, cbozn7nychmtwwwkrxae2ga21, s7husj5h842pazt5crezfbe2, 4ep088nmp1dcqzx06pilyfyi2, 2qon0tbx6r2qxdmnykybgal90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499053981,1,34,16,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-01-21T10:31:46.307Z,2023-01-21T11:35:23Z,3986775845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3986775847,59,"1, 37, 7, 12, 25, 6, 19, 8, 18, 9, 17, 3, 5, 10, 11, 15, 20, 22, 26, 32",3986775843,30,"6cazgi9vrmiy7pj7mspkmrnbp, ad6p2jcex4poforoc5a2m42qd, 8qywmb7vw14hygvzliislo1xx, 8sb5yv5enqvr8bemx86jxc2j9, cobqvig9w519u0pu924u49045, 5zfwazpzlcnm9r7621wefv8ph, 2l1m95m3ub9ptm0f7no1ylxw5, a6k8vha3qcugelyjo82monahh, 162sfvdvwcsap2r0v4clllqz9, yobsx8qzjrdt67z3vbzygd79, e14n0cktqewsx0a1q4kev326t, 8kp0hm0mftts0lx42esqbxt5h, 1euxm106eodeidsr5gor1kbmd, 3f3c49bl4331k4nrrhvq6fu8l, di3hdoveoiv3nwroamxgxd3o5, 26cvxz862r0s1ckpehvsm1b6d, dms6dx6taz2d9wxcgqfk87lk9, av7gcm2jf4ahewdoefe6yxrrp, 5bsuoowi9tkilzmz6vp79n36d, a3q5iykho66l9yamfh83hn7x1",3986775851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986775849,130,8,3986817901,197,8206,3986775855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986775853,194,8qywmb7vw14hygvzliislo1xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061383,2,32,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2023-01-21T11:31:05.803Z,2023-01-21T11:31:06Z,3986812399,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061391,2,32,1,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-01-21T11:31:05.803Z,2023-01-21T11:31:06Z,3986812425,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061399,3,1,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,50.1,49.6,2023-01-21T11:31:05.903Z,2023-01-21T11:31:08Z,3986812475,212,18.2,3986812477,213,2.7,3986812479,279,S,3986812469,56,Back,3986812473,141,62.1,3986812471,140,34.8,,,,,,,horxq0sb7c6929i7mc6ctuqd,S. Tarenzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061405,4,1,1,0,2,agjf3593kdfob1fl43rlt2b6c,1,36.3,62.4,2023-01-21T11:31:08.209Z,2023-01-21T11:31:11Z,3986812511,141,52.8,3986812509,140,54.0,3986812513,212,19.7,3986812515,213,5.9,3986812507,56,Center,,,,,,,,,,7rkobukrhcx0h6t3p1ux2bl78,B. Fallico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061409,5,61,1,0,5,agjf3593kdfob1fl43rlt2b6c,0,45.6,56.3,2023-01-21T11:31:10.960Z,2023-01-21T11:31:11Z,3986812523,56,Back,,,,,,,,,,,,,,,,,,,,,,horxq0sb7c6929i7mc6ctuqd,S. Tarenzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061415,3,1,1,0,5,acpt3r9i7hburdteruzc31u96,1,53,51.8,2023-01-21T11:31:11.044Z,2023-01-21T11:31:26Z,3986812571,213,6.1,3986812569,212,6.8,3986812563,56,Center,3986812567,141,49.7,3986812565,140,59.3,,,,,,,,,,a6k8vha3qcugelyjo82monahh,G. Adami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061417,4,49,1,0,7,acpt3r9i7hburdteruzc31u96,1,59.3,49.7,2023-01-21T11:31:13.108Z,2023-01-21T11:38:12Z,,,,,,,,,,,,,,,,,,,,,,,,,162sfvdvwcsap2r0v4clllqz9,M. Piemonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499061421,5,1,1,0,7,acpt3r9i7hburdteruzc31u96,1,59,49.3,2023-01-21T11:31:13.395Z,2023-01-21T11:38:14Z,3986812583,56,Center,3986812589,212,5.7,3986812591,213,1.0,3986812587,141,56.3,3986812585,140,62.0,,,,,,,,,,162sfvdvwcsap2r0v4clllqz9,M. Piemonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
