id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value
2452616299,1,34,16,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2022-08-28T17:46:47.140Z,2022-08-28T18:37:22Z,3740933083,30,"ej5p7l0mua55bqhzjbybejwet, s7husj5h842pazt5crezfbe2, 23l4wxjftfctry8qgxh71zhm1, 4hr92u2mkgds9ojm844xgag9h, 6e1lpunbwloydldryrn6q3iz9, 9m7xcfi5h3tshdrsckkausm39, 4xzg2jjtxvjoic1c8ohzsumdx, 6bxufdsghl0f3r4jilcbo26eh, horxq0sb7c6929i7mc6ctuqd, cbozn7nychmtwwwkrxae2ga21, cv7zl2omdyscmzg77ac8nic45, 20pat26jlgjcvstrte9jbltrd, 4jwotvqswss201ptdipai5rkl, cths31lj27lsmyp2fs166qtjo, c10vstpggi4d7dqoni0jn3pck, efjrhuhhm4zy4vrzekxlu4h9m, 6sljs1wh2o8jd8j3rehix8bo4, 9nj8et8a0rk6ay19vk84uawh5, 4ep088nmp1dcqzx06pilyfyi2, 9fplrvcgiwmkq6patjbofpqp6",3740933095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3741063785,197,12023,3740933091,130,23,3740933087,59,"1, 67, 22, 21, 23, 5, 8, 24, 27, 29, 10, 2, 7, 9, 11, 15, 28, 44, 77, 17",3740933097,194,horxq0sb7c6929i7mc6ctuqd,3740933085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740933101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452619285,1,34,16,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-08-28T17:51:06.966Z,2022-08-28T18:36:30Z,3740949705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3741066573,197,8196,3740949699,130,4,3740949695,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740949701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740949693,30,"bzctf3ho6wtxhmemreonkho7p, ae23upd2mq9lzptqvyydvfsh5, 9ihxuqs1v194z96ytkbr6tot1, 8xmxzyft6jgirmjmtokysv9at, eb8kdhe0pwhhpvpfdmrlqqjth, duqwuxyvts7b8y171m2zjgfe1, ynp4teryxz8qxmby29s1muhh, 8kyz2zkpdn0wdf1ybpmgd2ay1, 7dy7sy437pa1h4a6whsw7jnit, 8m1zaxpia31zue120389es72t, 90hq4z2yaqtm03zefavqmf46h, 8hrg2luo5rmy9njl7a5xd6oyd, 6deaavas7332takve0kva6bbp, 8vylda616yxfy53t66o4ua162, 34wzrwrb4kbwo1iudvi32t9sl, 7mg6six7fdgpxbrxf605c6itx, 6c4yw57zmdchgqhb4uaybmklx, bb1q58ts374m0dgx2afl6gq5m, 7znpe1zzdhv7izxm0m0c2a6eh, 7uj1fxna6f1mtu0r4c3x5seeh",3740949697,59,"12, 85, 2, 6, 32, 4, 8, 15, 22, 26, 11, 3, 9, 10, 23, 25, 27, 30, 73, 77",3740949703,194,ae23upd2mq9lzptqvyydvfsh5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452640853,2,32,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2022-08-28T18:31:35.623Z,2022-08-28T18:31:35Z,3741068563,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452640855,2,32,1,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2022-08-28T18:31:35.623Z,2022-08-28T18:31:37Z,3741068567,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452640877,3,1,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,50.1,50,2022-08-28T18:31:35.723Z,2022-08-28T19:28:48Z,3741068733,56,Back,3741068739,212,7.3,3741068737,141,46.6,3741068735,140,43.5,3741068741,213,3.5,3741068743,279,S,,,,,,,horxq0sb7c6929i7mc6ctuqd,S. Tarenzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452640903,4,1,1,0,3,agjf3593kdfob1fl43rlt2b6c,1,45.8,54,2022-08-28T18:31:39.289Z,2022-08-28T18:31:42Z,3741068873,140,43.4,3741068877,212,22.6,3741068879,213,1.7,3741068871,56,Back,3741068875,141,87.1,,,,,,,,,,cv7zl2omdyscmzg77ac8nic45,Y. Rincón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452640923,5,1,1,0,6,agjf3593kdfob1fl43rlt2b6c,1,45.7,88.6,2022-08-28T18:31:42.152Z,2022-08-28T18:32:12Z,3741069015,140,58.1,3741069019,212,14.0,3741069017,141,96.2,3741069021,213,0.4,3741069013,56,Left,,,,,,,,,,23l4wxjftfctry8qgxh71zhm1,E. Oliviero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452640947,6,1,1,0,8,agjf3593kdfob1fl43rlt2b6c,1,57.9,96.3,2022-08-28T18:31:44.136Z,2022-08-28T18:31:46Z,3741069179,140,44.9,3741069181,141,95.7,3741069183,212,13.7,3741069177,56,Back,3741069185,213,3.2,,,,,,,,,,cbozn7nychmtwwwkrxae2ga21,K. Gago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452640961,7,1,1,0,11,agjf3593kdfob1fl43rlt2b6c,1,44,95,2022-08-28T18:31:46.761Z,2022-08-28T18:32:19Z,3741069289,56,Back,3741069297,213,4.5,3741069295,212,15.6,3741069291,140,41.2,3741069293,141,72.4,,,,,,,,,,23l4wxjftfctry8qgxh71zhm1,E. Oliviero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452640969,8,61,1,0,13,agjf3593kdfob1fl43rlt2b6c,1,35.3,73.8,2022-08-28T18:31:48.936Z,2022-08-28T18:32:21Z,3741069335,56,Back,,,,,,,,,,,,,,,,,,,,,,4hr92u2mkgds9ojm844xgag9h,C. Re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452640977,9,1,1,0,14,agjf3593kdfob1fl43rlt2b6c,0,30.4,77.8,2022-08-28T18:31:50.217Z,2022-08-28T18:32:23Z,3741069389,56,Back,3741069397,213,0.5,3741069393,141,83.0,3741069395,212,7.4,3741069387,3,,3741069391,140,36.6,,,,,,,9m7xcfi5h3tshdrsckkausm39,G. Spinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641073,3,49,1,0,18,7jaarwfaeewpo3vnfvhc2c665,1,66.1,29.8,2022-08-28T18:31:53.979Z,2022-08-28T18:54:06Z,,,,,,,,,,,,,,,,,,,,,,,,,8m1zaxpia31zue120389es72t,L. Clelland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641085,4,4,1,0,19,7jaarwfaeewpo3vnfvhc2c665,1,66.8,24.3,2022-08-28T18:31:54.632Z,2022-08-28T18:53:21Z,3741070111,286,,3741070107,265,,3741070095,13,,3741148351,233,10,3741070103,152,,3741070099,56,Center,,,,,,,8m1zaxpia31zue120389es72t,L. Clelland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641009,10,4,1,0,19,agjf3593kdfob1fl43rlt2b6c,0,33.2,75.7,2022-08-28T18:31:54.633Z,2022-08-28T18:53:22Z,3741069609,13,,3741069621,285,,3741069615,152,,3741148383,233,4,3741069619,265,,3741069611,56,Back,,,,,,,4hr92u2mkgds9ojm844xgag9h,C. Re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641209,5,1,1,0,47,7jaarwfaeewpo3vnfvhc2c665,1,65.2,23,2022-08-28T18:32:23.003Z,2022-08-28T18:32:24Z,3741070791,212,7.5,3741070787,140,58.1,3741070783,152,,3741070785,56,Center,3741070793,213,3.1,3741070789,141,24.0,3741070781,5,,,,,8xmxzyft6jgirmjmtokysv9at,R. Jane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641223,6,1,1,0,48,7jaarwfaeewpo3vnfvhc2c665,1,58.1,24,2022-08-28T18:32:24.058Z,2022-08-28T18:32:25Z,3741070849,213,6.0,3741070839,140,76.7,3741070843,141,17.0,3741070833,56,Right,3741070847,212,20.1,,,,,,,,,,7dy7sy437pa1h4a6whsw7jnit,G. Moraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641251,7,1,1,0,49,7jaarwfaeewpo3vnfvhc2c665,1,76.2,17,2022-08-28T18:32:25.226Z,2022-08-28T18:32:27Z,3741070953,140,67.9,3741070959,212,13.8,3741070951,56,Center,3741070955,141,32.7,3741070961,213,2.3,,,,,,,,,,8xmxzyft6jgirmjmtokysv9at,R. Jane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641269,8,1,1,0,51,7jaarwfaeewpo3vnfvhc2c665,1,66.1,32.4,2022-08-28T18:32:27.402Z,2022-08-28T18:32:30Z,3741071043,56,Center,3741071051,213,6.1,3741071049,212,15.8,3741071047,141,27.6,3741071045,140,80.8,,,,,,,,,,7dy7sy437pa1h4a6whsw7jnit,G. Moraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641275,9,1,1,0,52,7jaarwfaeewpo3vnfvhc2c665,0,81.9,20.6,2022-08-28T18:32:28.283Z,2022-08-28T18:51:08Z,3741071085,155,,3741071093,212,15.7,3741071089,140,86.8,3741071081,2,,3741071091,141,42.4,3741071087,56,Center,3741071095,213,1.2,,,,duqwuxyvts7b8y171m2zjgfe1,C. Pleidrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641259,11,8,1,0,53,agjf3593kdfob1fl43rlt2b6c,1,14,83,2022-08-28T18:32:29.250Z,2022-08-28T18:51:06Z,3741070973,56,Back,,,,,,,,,,,,,,,,,,,,,,4xzg2jjtxvjoic1c8ohzsumdx,R. Cuschieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641281,12,8,1,0,54,agjf3593kdfob1fl43rlt2b6c,1,14.6,62.6,2022-08-28T18:32:30.340Z,2022-08-28T18:33:22Z,3741071113,56,Back,,,,,,,,,,,,,,,,,,,,,,cbozn7nychmtwwwkrxae2ga21,K. Gago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452641357,10,15,1,0,56,7jaarwfaeewpo3vnfvhc2c665,1,90.5,34.3,2022-08-28T18:32:32.147Z,2022-08-28T18:32:55Z,3741071951,146,98.2,3741071941,80,,3741071947,328,,3741071877,233,14,3741071587,63,,3741071943,102,48.1,3741071953,147,46.6,3741071945,103,7.6,8m1zaxpia31zue120389es72t,L. Clelland,3741071589,56,Center,3741071857,20,3741071949,458,3741071585,22,,,,,,,,,,,,,,,,,,,,
