id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/13/value,assist
2461773029,1,34,16,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-09-18T09:44:49.869Z,2022-09-18T10:43:21Z,3789658807,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789658801,130,8,3789658805,194,72a3aetghls98os7onhc60vdh,3789658799,59,"1, 7, 4, 88, 6, 5, 17, 8, 11, 10, 20, 2, 3, 9, 18, 19, 21, 23, 24, 87",3789658803,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789658795,30,"18ufr5nlyfnnzzbzmqo9ynis5, 1rsv7xi31ffxqpjeaw76t1n8p, e4i408ibyt4r0n7znz46qllka, 79abiotlhtb5edjedx8oqjysp, cnvii81lylt9gcn9iox9lkvdh, 72a3aetghls98os7onhc60vdh, 6mvj0jfbicvwt296r6wuqajca, 1kmq43pxjjjacnrmcsw2dka1h, 7n5xycobojwgk6bq50o4ix0wl, cosxbigh37xkponybzlgrg0dl, e6yhuu5eu6qpk7gybytdtxqdx, italh6z4wnf7982z2k4f2uj8, 3py0rmx89fgdd8e65l853yqne, 2v7svoulkkgzvdeb4e0hw7jyt, 6n8wa2zigh4tveiihbij6qc8a, 2va4upf5w45brysw8q9w22gkq, botcpxadt5i04s4p8prbd3dyi, a36ljq1b2o9ydtdtkjri5yt3p, dib3fbzymcfivscevdlqks89h, 4zr1u1gdqagr6e53pnyruywut",3789658797,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3789752037,197,8188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461776837,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-09-18T09:57:19.389Z,2022-09-18T10:35:28Z,3789680959,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789746301,197,16872,3789680949,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3789680953,130,4,3789680947,30,"7o6r8tzrtw3820q5g8slo51w5, 7hjudlzsedzdtoh1mujgqj3yt, 97c2wpbq7cw51dh668feuju1h, 6aybaux5k8c5xtzswmbljv1m1, 7lx9lvt04ne2umnr922nbx68l, 8gef0np3atw3ihedrd6b16g9h, 4qzbgxsev4wibbvo4osmwb4r9, 7fu77l8o1mi2fq8iqqirsu09h, 51kuc7ba0zrbs82iok6sia76d, 9bxqgoylhs3u0061ht1dr8t79, cfntkj03dvexguaq8sp37fglx, 4udz6yr09afpwg201j7ruyaz8, a5ysq9fe13ges96z29omy3gmh, egz2k5rilem5eycz1blntm3v8, ewrcxn31z5uhgemq7bhbwvw89, eoup3nwpmplc03m9p7olaxel0, dhus1gg9t5tpqh3xxwrte9l1x, z76gqv9thd1553u6bf6akpyi, d0od4dxuv7bywyzy3300rp27e, azj2lf3vgk50yljiskhyidhxw",3789680955,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789680951,59,"1, 27, 14, 24, 5, 73, 71, 6, 11, 9, 36, 3, 4, 7, 12, 15, 17, 18, 21, 37",3789680957,194,9bxqgoylhs3u0061ht1dr8t79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461794445,3,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2022-09-18T10:33:53.204Z,2022-09-18T10:33:54Z,3789765579,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461794431,3,32,1,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-09-18T10:33:53.204Z,2022-09-18T10:33:53Z,3789765541,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461794497,4,1,1,0,0,p2dsrpus5eckpz2h16svaour,1,50.1,50,2022-09-18T10:33:53.304Z,2022-09-18T10:33:57Z,3789765841,140,52.9,3789765847,213,1.4,3789765845,212,18.9,3789765839,56,Center,3789765843,141,77.5,3789765837,155,,3789765849,279,S,,,,7n5xycobojwgk6bq50o4ix0wl,Z. Kaján,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461794555,5,1,1,0,4,p2dsrpus5eckpz2h16svaour,1,52.9,77.5,2022-09-18T10:33:57.720Z,2022-09-18T10:34:01Z,3789766129,140,27.5,3789766125,56,Back,3789766131,141,63.7,3789766135,213,3.5,3789766133,212,28.3,,,,,,,,,,cosxbigh37xkponybzlgrg0dl,M. Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461794577,6,1,1,0,8,p2dsrpus5eckpz2h16svaour,1,28,63.3,2022-09-18T10:34:01.752Z,2022-09-18T10:34:04Z,3789766251,213,4.7,3789766243,56,Back,3789766247,141,39.8,3789766245,140,28.0,3789766249,212,16.0,,,,,,,,,,72a3aetghls98os7onhc60vdh,A. Tortelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461794591,7,1,1,0,11,p2dsrpus5eckpz2h16svaour,1,29,38.3,2022-09-18T10:34:04.392Z,2022-09-18T10:34:06Z,3789766317,141,56.0,3789766315,140,26.4,3789766313,56,Back,3789766321,213,1.8,3789766319,212,12.3,,,,,,,,,,1rsv7xi31ffxqpjeaw76t1n8p,F. Cafferata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461794637,8,1,1,0,12,p2dsrpus5eckpz2h16svaour,1,26.8,57.3,2022-09-18T10:34:05.945Z,2022-09-18T10:34:10Z,3789766583,213,1.2,3789766581,212,19.3,3789766575,56,Back,3789766577,140,33.3,3789766579,141,83.9,,,,,,,,,,72a3aetghls98os7onhc60vdh,A. Tortelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461794665,9,1,1,0,16,p2dsrpus5eckpz2h16svaour,1,37.8,92.7,2022-09-18T10:34:09.928Z,2022-09-18T10:34:12Z,3789766727,213,5.1,3789766721,140,42.1,3789766725,212,12.6,3789766719,56,Back,3789766723,141,75.4,,,,,,,,,,e4i408ibyt4r0n7znz46qllka,J. Jackmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
