id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/11/value,qualifier/10/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2521430099,1,34,16,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-03-18T13:05:29.873Z,2023-03-18T14:00:34Z,4104707623,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104707631,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104707627,194,8qywmb7vw14hygvzliislo1xx,4105020855,197,17509,4104707605,30,"6cazgi9vrmiy7pj7mspkmrnbp, 2nyteuqhg3tvltcdjmivfoyqx, 8kp0hm0mftts0lx42esqbxt5h, 3f3c49bl4331k4nrrhvq6fu8l, cobqvig9w519u0pu924u49045, 1euxm106eodeidsr5gor1kbmd, 8sb5yv5enqvr8bemx86jxc2j9, di3hdoveoiv3nwroamxgxd3o5, 162sfvdvwcsap2r0v4clllqz9, 8qywmb7vw14hygvzliislo1xx, 2l1m95m3ub9ptm0f7no1ylxw5, 5zfwazpzlcnm9r7621wefv8ph, a6k8vha3qcugelyjo82monahh, e14n0cktqewsx0a1q4kev326t, dms6dx6taz2d9wxcgqfk87lk9, av7gcm2jf4ahewdoefe6yxrrp, 5bsuoowi9tkilzmz6vp79n36d, a3q5iykho66l9yamfh83hn7x1, f2tdaqxmkgmw3jkf4e71xybys, eps1e3sedewu4dfqnpbrpyuxg",4104707619,130,4,4104707611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4104707617,59,"1, 4, 3, 10, 25, 5, 12, 11, 18, 7, 19, 6, 8, 17, 20, 22, 26, 32, 41, 69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521430121,1,34,16,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2023-03-18T13:05:30.056Z,2023-03-18T14:15:23Z,4105016011,197,12016,4104707695,59,"16, 3, 71, 10, 32, 23, 21, 15, 6, 11, 18, 1, 5, 9, 20, 27, 29, 33, 38",4104707693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4104707697,130,4,4104707699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4104707691,30,"czmpp6e2oo276u9prac16le51, 45bi84zkhqhvgs9v3rtgj06ol, 4zwebuh423xgcroy4rmd5r3rp, 8f64tianoo4mc7t1lyz6acqtx, 3qnkvefimj0i4kl78jucipnf9, 3ypl97rrz80zb454kq039yuol, 89l4376fhyf32a6tdjou6zqw9, 6alny8atonddyhmltw3dgo1d5, a2x1f8erwcvv2thkwj6am62nd, 17zgb1iogatltsw1spnvyuuol, 6dmnxn0v7tcrwtd6hm2jaf6j9, 66cgzmlvygqqgb8vrv380c4bt, 7um4xb0p8zr4o11lsyd9n0hqt, 7lt5as8r1xms7ujjgt7pynl5, 6epceurq8iss0r3wkr93jyfah, 6975lpcesbmevhg0r4va7ias4, bbj1pmjfr5q4u99zyqpgmexas, bdsv3kql5t6sw5ed2gsxmz2eh, 2olepm49g7zzyez2o3kgw7gtl",4104707703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104707701,194,45bi84zkhqhvgs9v3rtgj06ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521490491,2,32,1,0,0,acpt3r9i7hburdteruzc31u96,1,0,0,2023-03-18T14:01:09.890Z,2023-03-18T14:01:10Z,4105022921,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521490485,2,32,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,0,0,2023-03-18T14:01:09.890Z,2023-03-18T14:01:10Z,4105022913,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521490513,3,1,1,0,0,7w2y7s7q5r1h1flz9y4sj6xka,1,50.1,50.1,2023-03-18T14:01:09.990Z,2023-03-18T14:49:31Z,4105023051,278,,4105023039,56,Back,4105023049,279,S,4105023047,213,3.3,4105023041,140,47.6,4105023045,212,2.7,4105023043,141,49.4,,,,8f64tianoo4mc7t1lyz6acqtx,C. Girelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521490541,4,1,1,0,3,7w2y7s7q5r1h1flz9y4sj6xka,1,47.6,49.4,2023-03-18T14:01:13.174Z,2023-03-18T14:01:14Z,4105023187,141,47.0,4105023189,212,1.9,4105023191,213,5.2,4105023185,140,48.5,4105023183,56,Back,,,,,,,,,,6alny8atonddyhmltw3dgo1d5,J. Grosso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521490561,5,1,1,0,4,7w2y7s7q5r1h1flz9y4sj6xka,1,48.3,47,2023-03-18T14:01:14.662Z,2023-03-18T14:49:34Z,4105023303,212,34.8,4105023297,56,Back,4105023299,140,27.6,4105023301,141,7.1,4105023307,1,,4105023305,213,4.0,,,,,,,8f64tianoo4mc7t1lyz6acqtx,C. Girelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521490645,6,1,1,0,6,7w2y7s7q5r1h1flz9y4sj6xka,1,27.6,7.1,2023-03-18T14:01:16.389Z,2023-03-18T14:01:23Z,4105023721,213,6.2,4105023717,141,5.4,4105023719,212,9.9,4105023715,140,37.0,4105023713,56,Back,,,,,,,,,,45bi84zkhqhvgs9v3rtgj06ol,S. Gama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521490661,7,1,1,0,12,7w2y7s7q5r1h1flz9y4sj6xka,1,44.8,5.8,2023-03-18T14:01:22.614Z,2023-03-18T14:01:24Z,4105023813,212,15.4,4105023815,213,3.2,4105023809,140,30.2,4105023807,56,Back,4105023811,141,3.6,,,,,,,,,,17zgb1iogatltsw1spnvyuuol,B. Bonansea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521490679,8,1,1,0,13,7w2y7s7q5r1h1flz9y4sj6xka,1,30.2,3.6,2023-03-18T14:01:23.605Z,2023-03-18T14:01:26Z,4105023887,141,24.0,4105023889,212,16.2,4105023891,213,2.1,4105023885,140,22.2,4105023883,56,Back,,,,,,,,,,45bi84zkhqhvgs9v3rtgj06ol,S. Gama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
