id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value,qualifier/13/value,qualifier/14/value,assist,qualifier/17/value
2548098299,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-05-13T17:48:39.818Z,2023-05-13T18:44:58Z,4274312877,194,c9lu69xk59a75bnpzgalh1kut,4274312873,130,12,4274540693,197,17434,4274312867,30,"c9lu69xk59a75bnpzgalh1kut, aripnzu9yo2wlr8ud93ufdhih, 19856wqwrmzmvfw9thf0tzrv9, ujb2hkujcnwnyrbsgk3ilmtx, by2gxuixij1eciu56k8mb3cgl, 6zcok1vbaitp91a9nrac20t05, ci37qg2uu0z3nppxvn0z9034l, 1xscywgyfqisqexmpfvbf9g45, 6d7rip50yu2j7vyk76zokeehh, 8qgbxff7xlg0zjtyees7ljljp, 3ddsnnhxo0mem95lcph71ix1x, 2r6hs8npijvt4wekd059t6tx, 9qow77e16pvlb3860yjpydryt, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, can2l9ha4ufsxdjxdkb739fkk, botfgp0oq4wqlwtcs9m90kded, 84so0uovope0pkt6cz2iisbth, ahgd3on22t4h7gg9ipnj1itw5, 8kttsnok9bbh7kpy3zz3j2xg5, asyzhp3qu95vmzdbau6nmoic5, 7agtkarul2qlsc20avvj45w8a, q6ns1fyw7w10xkkubh8etfc9",4274312879,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4274312869,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4274312875,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4274312871,59,"1, 12, 32, 15, 6, 33, 5, 22, 11, 90, 77, 2, 8, 9, 10, 14, 20, 21, 23, 24, 36, 46, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548098607,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-05-13T17:49:06.427Z,2023-05-13T18:41:29Z,4274314503,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4274314507,130,4,4274314511,194,1r5gn4osgwz2b2b4sefncbhed,4274525447,197,590,4274314513,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4274314509,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4274314501,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, e5fnoxb8f2hycjx4gnmce2wvd, cxxxfvmrslyjyi9wz9m8kwne2, 4qejyummzkrfllds8ord642qx, bqer8ajqm2vibthgumtuycbu1, f2p5457ilcfrtzhe343whhkut, m030tubgf3zpgf0axzm7z26t, 27xj7me8icr5ptta7kwx0kfs9, 37kr5th62ugmy4j55i3n45k2d, 74o97lnqpku6m9svks66qbend, 153ljvbov0n176vm9fdaizoix, 14xoy6tg51xbydm69d5ybyfis, 9rzl0j9m9i30a62o1yofzvaad, 9k1ytj3z42ggp14vkn39hiymt, 4xnll2f9tb69wrezm04ayg76y, b6ueapn1crd5m3hiig2m8ybxl, 61c395xuimpxo2439p8mt3y6t, 3sehm4zmy7141wm4ecfqqoxd5, 42m78ny1ggvmzmjtka7exyzqi, 6k790p49tjwkhlwf9afll9jo5, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6",4274314505,59,"47, 22, 6, 27, 28, 44, 16, 7, 92, 10, 45, 3, 8, 9, 11, 13, 14, 15, 17, 19, 20, 21, 25, 42, 64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548141235,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-05-13T18:45:39.344Z,2023-05-14T01:14:51Z,4274544381,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548141225,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-05-13T18:45:39.344Z,2023-05-13T18:45:39Z,4274544325,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548141307,3,1,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,50.2,50,2023-05-13T18:45:39.388Z,2023-05-14T01:27:13Z,4274544773,279,S,4274544763,56,Back,4274544767,141,50.6,4275852181,178,,4274544765,140,42.5,4274544769,212,8.1,4274544771,213,3.1,,,,f2p5457ilcfrtzhe343whhkut,G. Defrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548141329,4,1,1,0,2,6tuibxq39fdryu8ou06wcm0q3,1,43.3,51.2,2023-05-13T18:45:41.588Z,2023-05-14T01:27:18Z,4275852385,178,,4274544893,213,1.8,4274544887,140,35.8,4274544889,141,92.7,4274544891,212,29.3,4274544885,56,Back,,,,,,,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548141415,5,1,1,0,5,6tuibxq39fdryu8ou06wcm0q3,1,40.9,93,2023-05-13T18:45:45.100Z,2023-05-14T01:27:20Z,4274545345,212,40.9,4274545339,56,Left,4274545341,140,79.8,4274545349,1,,4275852525,178,,4274545337,155,,4274545347,213,0.0,4274545343,141,95.6,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548141423,6,61,1,0,8,6tuibxq39fdryu8ou06wcm0q3,0,82.2,94.4,2023-05-13T18:45:47.869Z,2023-05-14T01:27:25Z,4274545369,56,Left,4275852775,178,,,,,,,,,,,,,,,,,,,,27xj7me8icr5ptta7kwx0kfs9,A. Laurienté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548141409,3,49,1,0,9,3vo5mpj7catp66nrwwqiuhuup,1,19.4,9.6,2023-05-13T18:45:48.537Z,2023-05-14T01:27:32Z,,,,,,,,,,,,,,,,,,,,,,,,,aripnzu9yo2wlr8ud93ufdhih,R. Bellanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548390701,821,83,1,0,13,6tuibxq39fdryu8ou06wcm0q3,1,95.7,84,2023-05-13T18:45:52.419Z,2023-05-14T01:50:04Z,4275918253,399,209330,,,,,,,,,,,,,,,,,,,,,,27xj7me8icr5ptta7kwx0kfs9,A. Laurienté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
