id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2501947193,1,34,16,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-01-29T12:40:13.292Z,2023-01-29T13:36:27Z,4001910305,30,"ax9lyewa6alv4v3btpwlm4pn9, 5et546tgrpw51ep3kfbzdyx1x, 978grivb05fx65k9zg3g0czxl, f98n454u9g97ngyluh0rd4ut, 19cmbo4cc9cgh10wgotg3s0k5, 8z970w0wmh524aliuxnze5l91, 72mtf2acxf523gwm13zq5jvth, 31myx78t8pvy886l3g8tsmrit, e0254ysu7nwqiuku9szuf9wph, 28y2auuxfuxvvbbds3bwtlskp, 47n7enqd3bfy0gawlth0a4mhh, e4svndmjv164s2xdigdit1uc5, du2oxcctxwk3tpg0imbctjcut, 7ba612p8pdv2fhz19u32js251, a8jqw3uon5yv03m2nvkklnpat, 1ec205o2whcblu6h4qz4kw44p, 2nqlq23w7g732ttrbnt2u2s4p, 5x729t5j2ldmq4fmlgj1my191, 3vmdapg97uxbs6dq8vyzuq51w, a2b4op7l073rehwbpbfy0sis4",4001910309,59,"12, 7, 20, 2, 32, 23, 13, 10, 9, 18, 11, 1, 5, 6, 16, 19, 22, 27, 28, 33",4001910307,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001910313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001910315,194,72mtf2acxf523gwm13zq5jvth,4001910311,130,13,4001910317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002095599,197,17078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501954589,1,34,16,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2023-01-29T12:50:08.687Z,2023-01-29T13:46:06Z,4001946527,59,"12, 8, 2, 4, 85, 20, 28, 15, 26, 18, 6, 11, 1, 3, 10, 23, 27, 33, 77, 78",4001946523,30,"bzctf3ho6wtxhmemreonkho7p, ynp4teryxz8qxmby29s1muhh, 9ihxuqs1v194z96ytkbr6tot1, duqwuxyvts7b8y171m2zjgfe1, ae23upd2mq9lzptqvyydvfsh5, b8g6l2yrz5zkx0z4cwqbtrm96, 1ql4mxhyvvp14meu36zbu0es5, 8kyz2zkpdn0wdf1ybpmgd2ay1, 8m1zaxpia31zue120389es72t, 2v7svoulkkgzvdeb4e0hw7jyt, 8xmxzyft6jgirmjmtokysv9at, eu30gyooimt3ul32w9z2oxjhl, 1q1rzbagz0tikytlgql4667oq, 8hrg2luo5rmy9njl7a5xd6oyd, 8vylda616yxfy53t66o4ua162, 34wzrwrb4kbwo1iudvi32t9sl, 6c4yw57zmdchgqhb4uaybmklx, bs7324p1bdh7ggv14x3f2x4ut, 7uj1fxna6f1mtu0r4c3x5seeh, 28egj5kbmudnzoospmg1kqrkk",4002097059,197,8205,4001946537,194,ae23upd2mq9lzptqvyydvfsh5,4001946525,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001946529,130,10,4001946539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001946535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986661,2,32,1,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-01-29T13:32:12.873Z,2023-02-06T14:10:14Z,4002098111,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986633,3,32,1,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2023-01-29T13:32:12.873Z,2023-01-29T13:32:11Z,4002098013,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986695,4,1,1,0,1,7jaarwfaeewpo3vnfvhc2c665,1,50,50,2023-01-29T13:32:13.973Z,2023-02-06T14:10:12Z,4002098315,213,2.6,4002098319,279,S,4002098311,141,79.7,4002098317,1,,4002098309,140,21.2,4002098307,56,Back,4002098313,212,36.4,,,,2v7svoulkkgzvdeb4e0hw7jyt,D. Sabatino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986785,5,1,1,0,9,7jaarwfaeewpo3vnfvhc2c665,1,21.7,62.8,2023-01-29T13:32:22.497Z,2023-02-06T14:09:41Z,4002098789,141,81.0,4002098785,56,Back,4002098793,213,1.3,4002098787,140,24.5,4002098791,212,12.7,,,,,,,,,,duqwuxyvts7b8y171m2zjgfe1,C. Pleidrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986811,6,1,1,0,13,7jaarwfaeewpo3vnfvhc2c665,1,31.3,84.1,2023-01-29T13:32:26.433Z,2023-01-29T13:32:27Z,4002098901,56,Back,4002098909,213,5.8,4002098905,141,78.0,4002098907,212,9.6,4002098903,140,39.5,,,,,,,,,,ae23upd2mq9lzptqvyydvfsh5,M. Filangeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986847,7,1,1,0,15,7jaarwfaeewpo3vnfvhc2c665,1,39.5,78,2023-01-29T13:32:28.625Z,2023-01-29T13:32:29Z,4002099083,140,30.5,4002099087,212,14.9,4002099081,56,Back,4002099089,213,2.3,4002099085,141,94.9,,,,,,,,,,8kyz2zkpdn0wdf1ybpmgd2ay1,B. Brignoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986857,8,1,1,0,17,7jaarwfaeewpo3vnfvhc2c665,0,30.5,94.9,2023-01-29T13:32:30.594Z,2023-01-29T13:32:29Z,4002099123,213,0.2,4002099127,1,,4002099117,140,56.3,4002099113,157,,4002099121,212,27.5,4002099115,56,Left,4002099119,141,100.0,,,,ae23upd2mq9lzptqvyydvfsh5,M. Filangeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986899,3,5,1,0,17,5snsl2d1lu2oclbriztdy61d6,1,46.6,-1.6,2023-01-29T13:32:30.811Z,2023-01-29T13:32:34Z,4002099341,233,9,4002099305,347,,4002099303,56,Back,,,,,,,,,,,,,,,,28y2auuxfuxvvbbds3bwtlskp,B. Glionna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
