id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/18/value
2542997905,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-05-03T15:03:22.660Z,2023-05-03T15:50:17Z,4247068287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247068285,130,4,4247164475,197,16731,4247068283,59,"69, 27, 13, 4, 55, 43, 6, 20, 14, 33, 11, 1, 7, 8, 10, 19, 21, 22, 24, 25, 29, 72",4247068281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247068289,194,8lta4w1nytggiwnaqv4e5cc0l,4247068291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247068279,30,"4g0d51pqr4grzoe9cx7do6pxx, 2s9ko6yxyi95jybzguru8g3bp, 545o5sllzb34kosvbw3fxhc5x, f1ma05bi3t1hfbflylx5d9tyh, e05kmeeuc7x55gwhjmxl9ry3u, 89z0ym1zvwp7rikmd0kvpcq8l, 6ehsdxl74v0qtlbjjjbu0r0t1, yau2ry4oz8da3etdtf5td0id, a21winmltx1h9oiwqtfditkut, 72sbeqsrvv64vwiec51r9g1k9, 8lta4w1nytggiwnaqv4e5cc0l, bmqg7owjivu1f3grdigkid0b9, 4ypa8ma678embtagi427eg4id, 6n7sw8r0fhcoa8hfuxrtm96tx, e4cwx5r9hrvip371egldkc6ol, azph2f84zhlvg4wd8tleydkdm, 9casrbyhvk5woencvp365fnmy, 2rdh9ggkr9iu50esnyv464dsl, 1s7qbrynbcv9uw9r5f29oyc5, cbymienvjkbbvi1rbky74vj3e, 6sejjyqssbr3olctm9nkq2v9x, 1kafgt90durzi0trgasa35nqi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542998201,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-05-03T15:04:07.471Z,2023-05-03T16:04:47Z,4247069777,194,cm6iy4b06qv9y6ww0hthqlwb9,4247069769,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247178159,197,548,4247069775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247069773,130,18,4247069771,59,"1, 77, 3, 42, 19, 2, 15, 7, 88, 9, 91, 5, 6, 10, 13, 17, 28, 31, 43, 44, 47, 93",4247069779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247069767,30,"7drgir9lcwfst8vxz07jboe6t, a69r2pf2w8da4dl0zl4k5vil1, 6lfje6glfgycun47flgmc9jvt, 4cejhrr3ji36591xf54jue3ca, 2idy9ngk2rojseoxxw9n98c7p, cm6iy4b06qv9y6ww0hthqlwb9, 9q01y4w4dwpaqf8lmpv9wnmc5, 2ugzqrpaooto1r24a6kvqf2ll, 2fsgc0b4mvwpenawmit0q0bmd, ds719g843vjs279iine5otgid, 30gsjr0xlmjulnz227zfxga8l, e5nv028chtw0955vhnh74ukbu, 45ubqc5i6yn2l5kdtlt8tbw7p, 2fqlri41xq6p924kine7pjr2t, 4aqkgskbra4wsoo7a8uw7xl9l, d364lpc0km51psy3zwc4a6zca, n62gu1fztuvojijr41hyetw5, 9sdrd6flk2jene11v193nm1n9, 63tj5b59b7en3tnd4sjff8woa, d628vftgks12ww31sy4hwxq1g, elu1m62cks40q11dz0tql9yxg, 30oup47g0i12cvub12r7kmxd6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543017761,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-05-03T16:00:07.906Z,2023-05-03T16:00:08Z,4247180461,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543017769,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-05-03T16:00:07.906Z,2023-05-03T23:34:13Z,4247180495,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543017789,3,1,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,49.9,49.7,2023-05-03T16:00:07.987Z,2023-05-03T23:43:59Z,4247180591,212,19.9,4247180595,279,S,4247180593,213,2.9,4247180585,140,31.7,4247180581,56,Back,4247180589,141,58.1,4248499837,178,,,,,a21winmltx1h9oiwqtfditkut,E. Shomurodov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543017817,4,1,1,0,2,4klvxyeh3xcus4ongu7c00mgc,1,29.8,63.2,2023-05-03T16:00:10.605Z,2023-05-03T23:44:05Z,4247180727,212,15.6,4248499951,178,,4247180723,140,31.8,4247180725,141,86.0,4247180729,213,1.4,4247180721,56,Back,,,,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543017869,5,1,1,0,7,4klvxyeh3xcus4ongu7c00mgc,1,28.6,86.4,2023-05-03T16:00:15.651Z,2023-05-03T23:44:08Z,4247181019,213,3.8,4247181011,56,Back,4248500025,178,,4247181013,140,9.4,4247181015,141,64.5,4247181017,212,25.1,,,,,,,545o5sllzb34kosvbw3fxhc5x,A. Reca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543017889,6,1,1,0,11,4klvxyeh3xcus4ongu7c00mgc,1,6.6,50.6,2023-05-03T16:00:19.794Z,2023-05-03T23:44:12Z,4248500177,178,,4247181095,140,12.8,4247181093,56,Back,4247181101,213,5.1,4247181099,212,19.4,4247181097,141,23.8,,,,,,,4g0d51pqr4grzoe9cx7do6pxx,B. Drągowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543017903,7,1,1,0,14,4klvxyeh3xcus4ongu7c00mgc,1,12.4,21.7,2023-05-03T16:00:22.580Z,2023-05-03T23:44:16Z,4247181205,140,25.0,4247181203,56,Back,4247181209,212,18.7,4247181207,141,2.3,4248500317,178,,4247181211,213,5.5,,,,,,,e05kmeeuc7x55gwhjmxl9ry3u,P. Wiśniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543017919,8,1,1,0,17,4klvxyeh3xcus4ongu7c00mgc,1,26.1,3.7,2023-05-03T16:00:25.155Z,2023-05-03T23:44:19Z,4247181279,140,11.8,4248500415,178,,4247181281,141,9.5,4247181285,213,2.9,4247181283,212,15.5,4247181277,56,Back,,,,,,,2s9ko6yxyi95jybzguru8g3bp,K. Amian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
