id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2471896159,1,34,16,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-10-15T11:16:18Z,2022-10-15T11:42:35Z,3843595035,194,72a3aetghls98os7onhc60vdh,3843578327,130,8,3843578331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843578329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843578325,59,"24, 16, 7, 8, 5, 34, 87, 23, 9, 17, 20, 1, 2, 4, 6, 10, 19, 21, 30, 88",3843625445,197,8189,3843578321,30,"dib3fbzymcfivscevdlqks89h, 1d0us90tod393omtmaft90b11, 1rsv7xi31ffxqpjeaw76t1n8p, 1kmq43pxjjjacnrmcsw2dka1h, 72a3aetghls98os7onhc60vdh, dwmb9deiywwddo0bbnrgw2x91, 4zr1u1gdqagr6e53pnyruywut, a36ljq1b2o9ydtdtkjri5yt3p, 2v7svoulkkgzvdeb4e0hw7jyt, 6mvj0jfbicvwt296r6wuqajca, e6yhuu5eu6qpk7gybytdtxqdx, 18ufr5nlyfnnzzbzmqo9ynis5, italh6z4wnf7982z2k4f2uj8, e4i408ibyt4r0n7znz46qllka, cnvii81lylt9gcn9iox9lkvdh, cosxbigh37xkponybzlgrg0dl, 2va4upf5w45brysw8q9w22gkq, botcpxadt5i04s4p8prbd3dyi, bou3v9eox682bm04tv0l4tkpg, 79abiotlhtb5edjedx8oqjysp",3843578323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471899049,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-10-15T11:20:25.964Z,2022-10-15T11:56:17Z,3843625799,197,16701,3843592835,130,3,3843592839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843592831,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3843592833,59,"1, 16, 3, 28, 5, 4, 8, 30, 20, 9, 10, 2, 6, 7, 11, 19, 29, 33, 44",3843592829,30,"c6wbavw0v5bxajsd2xz7qg1d5, ifp26xl8pzgarz05vnfjv3yt, 3yx85beji7yke6s4su7f0tzh1, c5ze370ixl09ccy818f92jkk5, 4xlf56csffamnnw04mba3wpw4, a5unceohcp7m8mrrso11uipqt, b7o9ncawaqn5jj5v32b3gn1be, bb1q58ts374m0dgx2afl6gq5m, 1zq3xp6uas4qe3jv0huphuzmd, 33fdo0axm0x7s88xj3br3xt61, 7o8xh2r55xb1yiz5gjvnp0rmx, b4r8ripw5dilngnxrb5fkkkid, e8zyhpx14n6upjw5fnqbc9k44, 68vj95m8a7vmurirk0hr8lboq, 6a9iztbvqz1ivizma0g528v84, 26xyd3qlh5v3ypcrdx4l1waju, am9nqqu4kh06f457nxwmpgg0k, dejb47luo9o523wl9fm9yncgl, 60n2n8den11uhjvk7lpse8qhg",3843592837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3843625797,194,3yx85beji7yke6s4su7f0tzh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471908865,2,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-10-15T11:33:24.751Z,2022-10-15T11:33:25Z,3843638073,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471908853,2,32,1,0,0,p2dsrpus5eckpz2h16svaour,1,0,0,2022-10-15T11:33:24.751Z,2022-10-15T11:33:24Z,3843638021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471908927,3,1,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,50.2,50.1,2022-10-15T11:33:24.851Z,2022-10-15T11:33:28Z,3843638357,141,46.9,3843638347,56,Back,3843638367,279,S,3843638365,213,3.3,3843638353,140,36.8,3843638363,212,14.2,,,,,,,7o8xh2r55xb1yiz5gjvnp0rmx,Taty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471908985,4,1,1,0,3,bcuj94typp0ykv77ijp9wpsve,1,36.8,46.9,2022-10-15T11:33:28.555Z,2022-10-15T11:33:31Z,3843638649,141,30.3,3843638653,213,4.1,3843638643,56,Back,3843638651,212,14.1,3843638647,140,28.8,,,,,,,,,,c5ze370ixl09ccy818f92jkk5,Z. Ferrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471909043,5,1,1,0,7,bcuj94typp0ykv77ijp9wpsve,1,28.9,29.1,2022-10-15T11:33:31.827Z,2022-10-15T11:33:34Z,3843638919,141,40.7,3843638915,56,Back,3843638927,213,2.8,3843638917,140,10.4,3843638925,212,21.0,,,,,,,,,,a5unceohcp7m8mrrso11uipqt,K. Konat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471909063,6,1,1,0,9,bcuj94typp0ykv77ijp9wpsve,0,11.8,38.2,2022-10-15T11:33:34.228Z,2022-10-15T11:33:35Z,3843639027,212,30.0,3843639019,155,,3843639025,141,29.7,3843639029,213,6.1,3843639021,56,Back,3843639023,140,39.8,,,,,,,c6wbavw0v5bxajsd2xz7qg1d5,S. Cetinja,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471909089,3,49,1,0,12,p2dsrpus5eckpz2h16svaour,1,59.5,70.8,2022-10-15T11:33:37.062Z,2022-10-15T11:33:37Z,,,,,,,,,,,,,,,,,,,,,,,,,1kmq43pxjjjacnrmcsw2dka1h,A. Parisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471909095,4,1,1,0,12,p2dsrpus5eckpz2h16svaour,0,59.5,70.8,2022-10-15T11:33:37.125Z,2022-10-15T11:33:39Z,3843639171,56,Center,3843639183,213,6.2,3843639175,140,66.2,3843639179,141,70.0,3843639181,212,7.1,,,,,,,,,,1kmq43pxjjjacnrmcsw2dka1h,A. Parisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
