id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value
2503576419,1,34,16,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2023-02-04T10:43:32.688Z,2023-02-04T11:31:03Z,4010543345,197,17028,4010476219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4010476215,59,"1, 6, 30, 58, 24, 27, 21, 10, 19, 23, 5, 4, 8, 9, 11, 12, 14, 20, 77",4010476211,30,"6a4e840hagvde76wq00oitboq, bimp62qt9yetz1mwz1z18ri7d, 3py0rmx89fgdd8e65l853yqne, d154hxm83w5x1m0ht905cgpg5, 9nc4igej6cflyxrihy20zd045, 6vvrp3ijlo76d0oolobx1hgwl, 3ycwiqwexrq74zjs6l2rj0dsl, 9skgc5kozhnn4cp5fghmnwout, 2kxbr1qwr4soew1kopzx7rswk, e3mdwwn8drb7hsscyvj4u8pre, 6l457lm38yflk2l01ho3kk48a, 8rc3h630i5cinvhyvziqdfpp1, 69ij8unhyklcdc4d11u02v6y, b80b2mxpxjcboqc81evm6oa2, c9y25sxg24aripna871g8x9g4, 69ewfo1qoyc0xhk227754o9h, 5snw4b4ndo6hus8hpxq9q19lh, 7q2zs9kmolc8ivuz368gvsatx, 8wpwcph0wu2wnqlvy52phewh5",4010476217,130,4,4010476221,194,9nc4igej6cflyxrihy20zd045,4010476213,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4010476223,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503577279,1,34,16,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-02-04T10:47:30.116Z,2023-02-04T11:26:41Z,4010480709,59,"12, 13, 2, 10, 32, 23, 18, 20, 9, 7, 11, 1, 5, 16, 19, 21, 26, 27, 28, 33",4010480705,30,"ax9lyewa6alv4v3btpwlm4pn9, 72mtf2acxf523gwm13zq5jvth, f98n454u9g97ngyluh0rd4ut, 31myx78t8pvy886l3g8tsmrit, 19cmbo4cc9cgh10wgotg3s0k5, 8z970w0wmh524aliuxnze5l91, 28y2auuxfuxvvbbds3bwtlskp, 978grivb05fx65k9zg3g0czxl, e0254ysu7nwqiuku9szuf9wph, 5et546tgrpw51ep3kfbzdyx1x, 47n7enqd3bfy0gawlth0a4mhh, e4svndmjv164s2xdigdit1uc5, du2oxcctxwk3tpg0imbctjcut, a8jqw3uon5yv03m2nvkklnpat, 1ec205o2whcblu6h4qz4kw44p, a88knj2ucmiya8qf0sx6d3hwq, 7p2jiejrudzlqgiq02e7n3fv8, 5x729t5j2ldmq4fmlgj1my191, 3vmdapg97uxbs6dq8vyzuq51w, a2b4op7l073rehwbpbfy0sis4",4010537137,197,17078,4010480715,194,72mtf2acxf523gwm13zq5jvth,4010480711,130,8,4010480717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010480713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010480707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503591181,2,32,1,0,0,5snsl2d1lu2oclbriztdy61d6,1,0,0,2023-02-04T11:35:29.578Z,2023-02-04T11:35:31Z,4010552285,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503591177,2,32,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2023-02-04T11:35:29.578Z,2023-02-04T11:35:29Z,4010552269,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503591205,3,1,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,50.2,50,2023-02-04T11:35:29.885Z,2023-02-04T11:35:32Z,4010552385,141,46.4,4010552389,213,3.4,4010552383,140,41.5,4010552391,279,S,4010552387,212,9.5,4010552381,56,Back,,,,,,,2kxbr1qwr4soew1kopzx7rswk,G. Di Luzio,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503591231,4,1,1,0,2,8gw3pgcd0doivaul55q8na9lg,1,41.7,46.4,2023-02-04T11:35:32.463Z,2023-02-04T11:35:35Z,4010552535,141,63.9,4010552539,213,2.6,4010552533,140,24.1,4010552537,212,22.0,4010552531,56,Back,,,,,,,,,,d154hxm83w5x1m0ht905cgpg5,V. Kubassova,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503591257,5,1,1,0,6,8gw3pgcd0doivaul55q8na9lg,1,24.1,63.9,2023-02-04T11:35:35.727Z,2023-02-04T11:35:40Z,4010552691,212,22.0,4010552685,56,Back,4010552689,141,31.6,4010552693,213,4.8,4010552687,140,25.6,,,,,,,,,,6vvrp3ijlo76d0oolobx1hgwl,D. Kravets,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503591269,6,1,1,0,10,8gw3pgcd0doivaul55q8na9lg,0,28.6,27.4,2023-02-04T11:35:40.151Z,2023-02-04T11:35:43Z,4010552787,1,,4010552775,155,,4010552779,140,75.2,4010552781,141,22.8,4010552785,213,6.2,4010552783,212,49.0,4010552777,56,Center,,,,9nc4igej6cflyxrihy20zd045,G. Rizzon,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503591283,3,1,1,0,14,5snsl2d1lu2oclbriztdy61d6,0,25.6,74.5,2023-02-04T11:35:43.913Z,2023-02-04T11:35:45Z,4010552883,140,48.6,4010552889,213,0.2,4010552885,141,82.4,4010552879,3,,4010552881,56,Back,4010552887,212,24.7,,,,,,,8z970w0wmh524aliuxnze5l91,C. Wenninger,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503591291,7,1,1,0,15,8gw3pgcd0doivaul55q8na9lg,0,59.8,13.1,2023-02-04T11:35:45.543Z,2023-02-04T11:35:46Z,4010552931,141,22.1,4010552929,140,58.9,4010552933,212,6.2,4010552927,56,Center,4010552935,213,1.7,,,,,,,,,,bimp62qt9yetz1mwz1z18ri7d,M. Brenn,,,,,,,,,,,,,,,,,,,,,,,,,,,
