id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,assist
2527283669,1,34,16,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2023-04-02T09:45:49.382Z,2023-04-02T10:28:38Z,4156565823,30,"bzctf3ho6wtxhmemreonkho7p, b8g6l2yrz5zkx0z4cwqbtrm96, 8hrg2luo5rmy9njl7a5xd6oyd, duqwuxyvts7b8y171m2zjgfe1, eb8kdhe0pwhhpvpfdmrlqqjth, ae23upd2mq9lzptqvyydvfsh5, 8kyz2zkpdn0wdf1ybpmgd2ay1, 8vylda616yxfy53t66o4ua162, 8m1zaxpia31zue120389es72t, 2v7svoulkkgzvdeb4e0hw7jyt, 8xmxzyft6jgirmjmtokysv9at, 2q342ep7xb1jln18nlz0m0vdh, 6deaavas7332takve0kva6bbp, eu30gyooimt3ul32w9z2oxjhl, 3dhppw7le5km30lulvbpdxsrt, 2z008gb9mq9bxpdopnss9ezv8, 6c4yw57zmdchgqhb4uaybmklx, 1ql4mxhyvvp14meu36zbu0es5, bs7324p1bdh7ggv14x3f2x4ut, 7znpe1zzdhv7izxm0m0c2a6eh",4156565833,194,ae23upd2mq9lzptqvyydvfsh5,4156676229,197,8196,4156565829,130,10,4156565831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156565825,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4156565835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156565827,59,"12, 20, 3, 4, 32, 85, 15, 10, 26, 18, 6, 7, 9, 11, 21, 24, 27, 28, 33, 73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527283687,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-04-02T09:45:51.165Z,2023-04-02T10:36:34Z,4156565949,130,4,4156565945,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4156565947,59,"1, 2, 3, 28, 26, 5, 8, 21, 30, 22, 20, 6, 10, 16, 19, 29, 33, 55",4156565951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4156565957,194,b4r8ripw5dilngnxrb5fkkkid,4156565961,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156565943,30,"c6wbavw0v5bxajsd2xz7qg1d5, b4r8ripw5dilngnxrb5fkkkid, 3yx85beji7yke6s4su7f0tzh1, c5ze370ixl09ccy818f92jkk5, 4rxi67te6h5sfv95cxs2gmynd, 4xlf56csffamnnw04mba3wpw4, b7o9ncawaqn5jj5v32b3gn1be, bkyl1g1z7xenlu0augv7717u1, bb1q58ts374m0dgx2afl6gq5m, 90hq4z2yaqtm03zefavqmf46h, 1zq3xp6uas4qe3jv0huphuzmd, e8zyhpx14n6upjw5fnqbc9k44, 7o8xh2r55xb1yiz5gjvnp0rmx, ifp26xl8pzgarz05vnfjv3yt, 26xyd3qlh5v3ypcrdx4l1waju, am9nqqu4kh06f457nxwmpgg0k, dejb47luo9o523wl9fm9yncgl, 4udz6yr09afpwg201j7ruyaz8",4156672807,197,15038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527306211,2,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2023-04-02T10:31:20.386Z,2023-04-02T10:31:22Z,4156685955,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527306201,2,32,1,0,0,7jaarwfaeewpo3vnfvhc2c665,1,0,0,2023-04-02T10:31:20.386Z,2023-04-02T10:31:20Z,4156685895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527306279,3,1,1,0,0,7jaarwfaeewpo3vnfvhc2c665,1,50,50,2023-04-02T10:31:20.486Z,2023-04-02T10:31:26Z,4156686415,279,S,4156686411,212,13.2,4156686407,140,37.5,4156686413,213,3.2,4156686405,56,Back,4156686409,141,48.2,,,,,,,2v7svoulkkgzvdeb4e0hw7jyt,D. Sabatino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527306359,4,1,1,0,5,7jaarwfaeewpo3vnfvhc2c665,1,46.9,45.1,2023-04-02T10:31:25.574Z,2023-04-02T10:31:30Z,4156686827,212,46.7,4156686821,56,Left,4156686829,213,0.8,4156686825,141,94.7,4156686833,1,,4156686819,155,,4156686823,140,77.7,,,,8vylda616yxfy53t66o4ua162,M. Bellucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527306391,5,1,1,0,10,7jaarwfaeewpo3vnfvhc2c665,0,78.1,94.5,2023-04-02T10:31:30.494Z,2023-04-02T10:31:32Z,4156686945,140,96.1,4156686949,212,35.4,4156686951,213,5.3,4156686941,155,,4156686947,141,50.4,4156686939,2,,4156686943,56,Center,4156686953,1,,8hrg2luo5rmy9njl7a5xd6oyd,S. Mella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527306401,3,52,1,0,12,bcuj94typp0ykv77ijp9wpsve,1,3.5,52.1,2023-04-02T10:31:32.969Z,2023-04-02T10:31:33Z,,,,,,,,,,,,,,,,,,,,,,,,,c6wbavw0v5bxajsd2xz7qg1d5,S. Cetinja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527306495,4,80,1,0,17,bcuj94typp0ykv77ijp9wpsve,0,8.7,48.2,2023-04-02T10:31:38.280Z,2023-04-02T10:31:38Z,,,,,,,,,,,,,,,,,,,,,,,,,c6wbavw0v5bxajsd2xz7qg1d5,S. Cetinja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527306567,5,1,1,0,20,bcuj94typp0ykv77ijp9wpsve,1,9.8,46,2023-04-02T10:31:40.936Z,2023-04-02T10:31:43Z,4156687715,140,10.1,4156687713,56,Back,4156687727,213,1.6,4156687719,141,72.3,4156687723,212,17.9,,,,,,,,,,c6wbavw0v5bxajsd2xz7qg1d5,S. Cetinja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
