id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2541573933,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-30T12:13:47.282Z,2023-04-30T13:15:46Z,4239464717,59,"1, 22, 17, 68, 13, 3, 99, 20, 9, 11, 77, 4, 5, 7, 12, 18, 19, 23, 31, 55, 70, 81, 91, 95",4239464719,130,4,4239464715,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4239464727,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239464723,194,5d9i8ubibyiecxecr9jjvxexh,4239696891,197,8388,4239464721,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239464713,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, 896uaqjrz22q6fqjfzuwf77jd, 9y8fnvazj02vy31ljx3du0d79, 2kfkjjqh7vrfcfbgr4aa85dqt, 2p1pns6j6id4nx3nbi7fv0wrt, 3bhy6x04rbwzk0nh1fm59dmnd, dpcws493fepch23sk26m1a8yd, 1wynwp4x95o9w5tt4cdog6i1, cen5nxf8sb8binjr7apt9nb2t, 4zy4d60v2qmaplm9xbe51y1gp, cv0p6dzx3res3affivdwcpolx, 8n0c5t5wzfkoauryyzy8be0gl, 72im0m7d8rqpsclo4f5crqmsp, copo8qsmvy2fhpi1aev6f46i1, cp13vthbds3tl1wtfelfx2evp, jk8n72zhngmdw2ek47zx7f11, 7knk2xsg4690hgq9us9us8ull, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 1ct0gujao4wvj1ff3aebqgqnd, abq67eup8kd31w8da2i0eftgp, bcqutyzafpahp2ni41u2xt4gl, u60zu48a4zqnupyxp2d0mqqd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541578041,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-04-30T12:17:35.835Z,2023-04-30T13:11:20Z,4239485395,194,etryzuxz65dmn5ewmocse66l1,4239485393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239485385,30,"2luxnwcabb7msig7odfq5p5g5, etryzuxz65dmn5ewmocse66l1, b0e6d3zgwzbzysmt9b2ycvf56, 3coml6cxqa86px9up8yy3oz1m, 2mloh2yrhs60s1uwrfycc2i8l, 4u281v53ges3kimtgac0tidm2, 7j0c36u6kk97eur4virjoka8l, 7pg1pu4ptby6hi0rp29hv4jxl, 3mqhkh4iz4kesvmqui3hupgmi, drljavudmjvyj9mvyzq7gz2s5, c9shobonlrg7guoyb3iwnwdsl, 68jk3onf54kl1mdfz8zuicvkl, blo3zmhar2mujyp9z7kjnsut, ezpkmoz1z08da3o3g45m12lzp, d6sstsibcsfxporots5k9cicp, 19gglji6ai70jiu7iqpkaxbyt, 53dvtfms2uxd500y87x5jf2eh, 6l046k4t48abc079efzg2oic5, q281ehu1acmc9v96sv9g8bmx, d1e3dsz9lf7g69g2l6zfurpp1, 488q58xm2ahxuvpeyfpgwfklw, a6lo3s66xv87llkhwveoq1vqh, 4b7yhrh526hzn4vj8bh395v8q, 240qnsj5nj6l6s3cc618691at",4239485389,59,"13, 30, 3, 98, 23, 5, 10, 18, 29, 20, 87, 1, 2, 6, 8, 9, 11, 15, 25, 33, 39, 41, 66, 99",4239485391,130,17,4239485387,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4239485397,197,3166,4239485399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541611799,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-04-30T13:00:13.352Z,2023-04-30T13:00:16Z,4239658263,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541611785,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-30T13:00:13.352Z,2023-04-30T21:03:41Z,4239658221,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541611839,3,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,49.9,50,2023-04-30T13:00:13.401Z,2023-04-30T21:58:39Z,4239658481,140,35.5,4241678317,178,,4239658483,141,55.2,4239658479,56,Back,4239658489,279,S,4239658487,213,2.9,4239658485,212,15.5,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541611845,4,1,1,0,1,gi0l1habji5hpgar77dl5jqe,1,35.5,55.4,2023-04-30T13:00:14.519Z,2023-04-30T21:58:43Z,4239658525,213,5.7,4239658517,140,36.9,4239658513,56,Back,4241678449,178,,4239658521,141,53.9,4239658523,212,1.8,,,,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541611881,5,1,1,0,2,gi0l1habji5hpgar77dl5jqe,1,36.9,53.9,2023-04-30T13:00:15.503Z,2023-04-30T21:58:47Z,4241678521,178,,4239658703,213,1.7,4239658695,56,Back,4239658697,140,35.3,4239658699,141,73.2,4239658701,212,13.2,,,,,,,2kfkjjqh7vrfcfbgr4aa85dqt,A. Rrahmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541611925,6,1,1,0,4,gi0l1habji5hpgar77dl5jqe,0,35.8,73.5,2023-04-30T13:00:17.864Z,2023-04-30T21:58:50Z,4239658921,140,71.8,4239658913,155,,4239658925,141,100.0,4239658931,1,,4239658919,56,Left,4241678593,178,,4239658929,213,0.5,4239658927,212,42.0,896uaqjrz22q6fqjfzuwf77jd,M. Olivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541611955,3,5,1,0,9,49rkyo4do8uwj06geomw0xr4i,1,30.1,-1.2,2023-04-30T13:00:22.444Z,2023-04-30T21:58:52Z,4239659101,56,Back,4239659131,233,7,4239659103,347,,,,,,,,,,,,,,,,,etryzuxz65dmn5ewmocse66l1,P. Mazzocchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541611937,7,5,1,0,9,gi0l1habji5hpgar77dl5jqe,0,69.9,101.2,2023-04-30T13:00:22.444Z,2023-04-30T21:58:52Z,4239658999,347,,4239659177,233,3,4239658997,56,Left,,,,,,,,,,,,,,,,896uaqjrz22q6fqjfzuwf77jd,M. Olivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
