id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/12/value
2506888939,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2023-02-12T10:43:04.734Z,2023-02-12T11:47:40Z,4027823725,194,7o6r8tzrtw3820q5g8slo51w5,4027823715,30,"7o6r8tzrtw3820q5g8slo51w5, y1n01stf6l2bn9nw1l1qv7kk, 7hjudlzsedzdtoh1mujgqj3yt, 8gef0np3atw3ihedrd6b16g9h, 51kuc7ba0zrbs82iok6sia76d, 97c2wpbq7cw51dh668feuju1h, 4qzbgxsev4wibbvo4osmwb4r9, a5ysq9fe13ges96z29omy3gmh, 5dnoofqsczzkdqrdmj661d239, 5nljieat47whdahci7pz82tjo, bli75mkfku2no79sep0n21v8q, 7fu77l8o1mi2fq8iqqirsu09h, egz2k5rilem5eycz1blntm3v8, 9bxqgoylhs3u0061ht1dr8t79, ewrcxn31z5uhgemq7bhbwvw89, giu5n1h30ybxtkwdquf1l6g9, 4m30589hhq4xbg98r9vxuiyg9, 6aybaux5k8c5xtzswmbljv1m1, cfntkj03dvexguaq8sp37fglx, 5zsg8757gph0bjpznr9uciycq",4027893653,197,16872,4027823721,130,4,4027823727,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027823723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027823719,59,"1, 28, 27, 73, 11, 14, 71, 4, 29, 3, 30, 6, 7, 9, 12, 19, 20, 24, 36, 44",4027823717,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506889649,1,34,16,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2023-02-12T10:46:28.771Z,2023-02-12T11:35:01Z,4027827169,59,"1, 67, 22, 21, 44, 23, 8, 40, 4, 27, 37, 2, 7, 9, 12, 14, 15, 19, 20, 77",4027893941,197,12022,4027827173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027827177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027827167,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4027827171,130,2,4027827175,194,horxq0sb7c6929i7mc6ctuqd,4027827165,30,"ej5p7l0mua55bqhzjbybejwet, s7husj5h842pazt5crezfbe2, 23l4wxjftfctry8qgxh71zhm1, 4hr92u2mkgds9ojm844xgag9h, 9nj8et8a0rk6ay19vk84uawh5, 6e1lpunbwloydldryrn6q3iz9, 4xzg2jjtxvjoic1c8ohzsumdx, 7rkobukrhcx0h6t3p1ux2bl78, 40sizsfd9vaym7yvwpvohu415, horxq0sb7c6929i7mc6ctuqd, 3d41rsjci700mhl9rxdtuicmi, 20pat26jlgjcvstrte9jbltrd, 4jwotvqswss201ptdipai5rkl, cths31lj27lsmyp2fs166qtjo, 1hvfc11oxddf7hxxks4skxw45, c8v0somzpm3hv3vvg4t85hjl6, efjrhuhhm4zy4vrzekxlu4h9m, 9q6mpd436ukjidbbj6onmti0a, eamiu4oem93j41zqdsv9uk4b9, 4ep088nmp1dcqzx06pilyfyi2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506902293,2,32,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2023-02-12T11:33:07.357Z,2023-02-12T11:33:07Z,4027901219,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506902301,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2023-02-12T11:33:07.357Z,2023-02-12T11:33:09Z,4027901253,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506902323,3,1,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,49.7,50.3,2023-02-12T11:33:07.457Z,2023-02-12T11:33:09Z,4027901363,279,S,4027901355,140,34.5,4027901359,212,17.8,4027901361,213,2.7,4027901357,141,62.0,4027901353,56,Back,,,,,,,horxq0sb7c6929i7mc6ctuqd,S. Tarenzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506902341,4,1,1,0,2,agjf3593kdfob1fl43rlt2b6c,1,34.5,62,2023-02-12T11:33:09.828Z,2023-02-12T11:33:11Z,4027901439,212,9.8,4027901441,213,4.1,4027901433,56,Back,4027901437,141,50.4,4027901435,140,28.9,,,,,,,,,,4hr92u2mkgds9ojm844xgag9h,C. Re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506902351,5,1,1,0,4,agjf3593kdfob1fl43rlt2b6c,1,33.6,50,2023-02-12T11:33:11.732Z,2023-02-12T11:33:12Z,4027901471,213,1.2,4027901465,140,39.5,4027901469,212,15.3,4027901467,141,70.5,4027901463,56,Back,,,,,,,,,,7rkobukrhcx0h6t3p1ux2bl78,B. Fallico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506902379,6,1,1,0,5,agjf3593kdfob1fl43rlt2b6c,1,39.5,70.5,2023-02-12T11:33:12.548Z,2023-02-12T11:33:15Z,4027901609,212,12.3,4027901611,213,1.9,4027901601,140,36.0,4027901605,141,87.7,4027901599,56,Back,,,,,,,,,,4hr92u2mkgds9ojm844xgag9h,C. Re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506902403,7,1,1,0,7,agjf3593kdfob1fl43rlt2b6c,1,36,87.7,2023-02-12T11:33:15.300Z,2023-02-12T12:21:54Z,4027901715,212,23.8,4027901717,213,0.1,4027901713,141,90.2,4027901711,140,58.6,4027901709,56,Left,,,,,,,,,,6e1lpunbwloydldryrn6q3iz9,E. Pisani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506902471,8,1,1,0,10,agjf3593kdfob1fl43rlt2b6c,1,58.6,90.2,2023-02-12T11:33:17.733Z,2023-02-12T11:33:26Z,4027902053,213,5.8,4027902045,56,Center,4027902049,141,66.1,4027902055,1,,4027902043,155,,4027902051,212,32.6,4027902047,140,85.4,,,,23l4wxjftfctry8qgxh71zhm1,E. Oliviero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
