id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value
2534394367,1,34,16,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2023-04-16T09:50:51.196Z,2023-04-16T10:38:20Z,4194382295,194,51kuc7ba0zrbs82iok6sia76d,4194382293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194465487,197,16872,4194382285,30,"ewrcxn31z5uhgemq7bhbwvw89, 7hjudlzsedzdtoh1mujgqj3yt, y1n01stf6l2bn9nw1l1qv7kk, 8gef0np3atw3ihedrd6b16g9h, bbryvdwzavouhzf5d31kysvvu, 51kuc7ba0zrbs82iok6sia76d, 4qzbgxsev4wibbvo4osmwb4r9, a5ysq9fe13ges96z29omy3gmh, 9bxqgoylhs3u0061ht1dr8t79, 5dnoofqsczzkdqrdmj661d239, 5nljieat47whdahci7pz82tjo, 7lx9lvt04ne2umnr922nbx68l, 7fu77l8o1mi2fq8iqqirsu09h, egz2k5rilem5eycz1blntm3v8, giu5n1h30ybxtkwdquf1l6g9, 6aybaux5k8c5xtzswmbljv1m1, bli75mkfku2no79sep0n21v8q, cfntkj03dvexguaq8sp37fglx, 5zsg8757gph0bjpznr9uciycq, ck6tndpwutpgve4xecr09wwlw",4194382289,59,"12, 27, 28, 73, 77, 11, 71, 4, 9, 29, 3, 5, 6, 7, 19, 24, 30, 36, 44, 67",4194382287,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194382291,130,4,4194382297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534396547,1,34,16,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2023-04-16T09:58:30.344Z,2023-04-16T10:29:48Z,4194393349,194,horxq0sb7c6929i7mc6ctuqd,4194393347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194393341,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194393343,59,"1, 14, 22, 20, 44, 5, 67, 21, 27, 4, 24, 7, 8, 10, 11, 12, 15, 23, 29, 37",4194393351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194464189,197,12022,4194393339,30,"ej5p7l0mua55bqhzjbybejwet, c8v0somzpm3hv3vvg4t85hjl6, 23l4wxjftfctry8qgxh71zhm1, eamiu4oem93j41zqdsv9uk4b9, 9nj8et8a0rk6ay19vk84uawh5, 9m7xcfi5h3tshdrsckkausm39, s7husj5h842pazt5crezfbe2, 4hr92u2mkgds9ojm844xgag9h, horxq0sb7c6929i7mc6ctuqd, 40sizsfd9vaym7yvwpvohu415, 6bxufdsghl0f3r4jilcbo26eh, 4jwotvqswss201ptdipai5rkl, 4xzg2jjtxvjoic1c8ohzsumdx, cv7zl2omdyscmzg77ac8nic45, c10vstpggi4d7dqoni0jn3pck, 1hvfc11oxddf7hxxks4skxw45, efjrhuhhm4zy4vrzekxlu4h9m, 6e1lpunbwloydldryrn6q3iz9, cbozn7nychmtwwwkrxae2ga21, 3d41rsjci700mhl9rxdtuicmi",4194393345,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534414247,2,32,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,0,0,2023-04-16T10:32:24.517Z,2023-04-16T10:32:24Z,4194472305,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534414261,2,32,1,0,0,agjf3593kdfob1fl43rlt2b6c,1,0,0,2023-04-16T10:32:24.517Z,2023-04-16T10:32:26Z,4194472349,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534414297,3,1,1,0,0,7pm0maqtof5rdc3ksumasw55g,1,49.8,49.5,2023-04-16T10:32:24.617Z,2023-04-16T11:23:45Z,4194472549,140,44.7,4194472555,213,3.1,4194472547,56,Back,4194472553,212,5.4,4194472551,141,49.8,4194472557,279,S,,,,,,,9bxqgoylhs3u0061ht1dr8t79,V. Pirone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534414305,4,1,1,0,3,7pm0maqtof5rdc3ksumasw55g,0,46.9,51.4,2023-04-16T10:32:28.368Z,2023-04-16T10:32:29Z,4194472605,140,71.9,4194472601,155,,4194472611,213,0.1,4194472607,141,54.3,4194472609,212,26.3,4194472603,56,Center,,,,,,,a5ysq9fe13ges96z29omy3gmh,B. Bardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534414323,3,1,1,0,5,agjf3593kdfob1fl43rlt2b6c,0,30.6,29.5,2023-04-16T10:32:30.460Z,2023-04-16T10:32:31Z,4194472723,213,6.3,4194472717,140,53.3,4194472719,141,29.4,4194472715,56,Center,4194472721,212,23.8,4194472713,3,,,,,,,,9nj8et8a0rk6ay19vk84uawh5,T. Pettenuzzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534414361,5,1,1,0,7,7pm0maqtof5rdc3ksumasw55g,1,62.4,44,2023-04-16T10:32:31.631Z,2023-04-16T10:32:33Z,4194472913,157,,4194472915,56,Center,4194472921,212,9.5,4194472917,140,57.5,4194472923,213,2.1,4194472919,141,55.7,4194472925,1,,,,,9bxqgoylhs3u0061ht1dr8t79,V. Pirone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534414367,6,44,1,0,9,7pm0maqtof5rdc3ksumasw55g,1,55.2,63.6,2023-04-16T10:32:33.759Z,2023-04-16T10:32:36Z,4194472945,56,Center,4194473105,233,4,4194472947,286,,,,,,,,,,,,,,,,,a5ysq9fe13ges96z29omy3gmh,B. Bardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534414391,4,44,1,0,9,agjf3593kdfob1fl43rlt2b6c,0,44.8,36.4,2023-04-16T10:32:33.760Z,2023-04-16T11:30:54Z,4194473137,233,6,4194473083,56,Back,4194473085,285,,,,,,,,,,,,,,,,,s7husj5h842pazt5crezfbe2,M. Giordano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
