id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId
2545898053,1,34,16,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2023-05-08T15:26:52.999Z,2023-05-08T16:28:50Z,4262769379,197,16458,4262557147,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262557141,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4262769377,194,bgpoqigjsb92lt6n5vrmshwwl,4262557149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262557139,30,"awpcf5w245iug4znjqctuebpx, 7kbn6vt37rfgd9yszzvx9idm2, 14vhrqvqomi57x5mtsawm44b9, 6l8t99gerta358od16upuhqz9, 7wjzrrcy3fp8nq6dlanfxvqhh, acss55nkdwdtvt9zl6p1ry09h, 5qfa3h4gut5jlnfkexq5m1djp, eqggzoepu1d4t13fw6ybebtn9, c87f30rukjnu7v3f3iqxpkxqt, bgpoqigjsb92lt6n5vrmshwwl, 1wnzwoisg4ctvcxsh2xnrkj4l, ceq2btvla862pon3xhcxogdlh, dvvtx09hkl46bnq5fqjqbd8tl, ewwo2c7kw1b1okrngjl4j4dm1, bf67gbxjr8fkha0e59fs6qok5, 34fm990bf5wm1xkdig1pjon6y, 8vom3bt6es2kp5sdl98az6gwk, crqk7tlewkn3ayk042yo1bfv8, 5enlho0lp6pftf8pc2q2xewpg, cn3a8fil5vr3nw6m7mth2hams, rktyecx75c47pgwyt4vm3i7d, x1qsrbva1nlv7nvmk2an19ed",4262557143,59,"30, 59, 3, 29, 17, 4, 20, 8, 7, 27, 23, 5, 9, 10, 21, 22, 26, 31, 36, 39, 80, 99",4262557145,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545898113,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-05-08T15:26:57.261Z,2023-05-08T16:29:02Z,4262557437,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262557439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262557431,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4262769889,194,b881arnahhahg0iaix4mx266t,4262557429,30,"93237ztqyi3r4hu3rmgzrgudx, 96d5il3afakek9qvsbtldu162, c4pxog9ntat2es7oz0cz5dgb9, 6gzi8qf8szxn99dnwh3h6gkb9, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, b881arnahhahg0iaix4mx266t, 13o5eskqs8b88yerwltk0tivp, ewt8nxg2m27fj0n7dr9hbul05, 8shwa0k28rt5duyrhuqza1hhx, 18jovwk0ysx6ajb8y75179j9x, 8zyg5zuzyr6t0idi5od2ypvbp, c33x61zuxixolkkalsigc3q0a, 8e4wkgb71btkez592um5vts0k, ar0g6o07dm7nwcf2dyzux8ay2, 4h1jj93i0v1pfemnjydnoc0dl, al3t9fzj4ab55yux0zkd1jkr9, bl76cebhta912vfi9z7ky32p6, 3z0aknj901kdnvsp4sld6ejv8, dn00381nbniepgi4qj7yjkv84, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",4262557435,130,12,4262769891,197,8396,4262557433,59,"1, 2, 8, 3, 29, 50, 37, 4, 30, 26, 11, 5, 13, 14, 15, 18, 20, 24, 39, 67, 80, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545936989,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-05-08T16:30:27.642Z,2023-05-08T20:03:16Z,4262773007,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545937001,2,32,1,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2023-05-08T16:30:27.642Z,2023-05-08T16:30:28Z,4262773049,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545937033,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,50,50,2023-05-08T16:30:27.684Z,2023-05-08T20:43:04Z,4262773205,141,48.8,4262773203,140,36.1,4263578561,178,,4262773211,279,S,4262773209,213,3.2,4262773201,56,Back,4262773207,212,14.6,,,,ewt8nxg2m27fj0n7dr9hbul05,I. Nestorovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545937049,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,1,36.2,48.1,2023-05-08T16:30:29.878Z,2023-05-08T20:43:10Z,4262773285,140,48.1,4262773283,56,Back,4263578597,178,,4262773287,141,7.1,4262773289,212,30.6,4262773291,213,5.1,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545937059,5,1,1,0,5,dxq76zcvnokq07cszdx0i6kve,0,48.2,7.1,2023-05-08T16:30:33.340Z,2023-05-08T20:43:13Z,4262773351,1,,4262773339,155,,4262773341,56,Center,4262773349,213,0.6,4262773347,212,37.4,4262773343,140,77.2,4262773345,141,39.1,4263578621,178,,b881arnahhahg0iaix4mx266t,R. Pereyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545937069,3,1,1,0,8,4plikfte18rv8v4l89z803d4y,1,23.3,61.8,2023-05-08T16:30:35.726Z,2023-05-08T20:43:20Z,4262773409,3,,4262773417,212,18.5,4262773411,56,Back,4263578693,178,,4262773419,213,1.2,4262773413,140,30.4,4262773415,141,86.7,,,,acss55nkdwdtvt9zl6p1ry09h,K. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545937073,4,1,1,0,10,4plikfte18rv8v4l89z803d4y,1,30.4,86.7,2023-05-08T16:30:38.084Z,2023-05-08T20:43:37Z,4262773461,213,2.7,4263579243,388,,4262773459,212,9.2,4262773457,141,92.4,4262773449,3,,4262773453,56,Back,4262773455,140,22.5,,,,c87f30rukjnu7v3f3iqxpkxqt,F. Đuričić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545937075,5,49,1,0,12,4plikfte18rv8v4l89z803d4y,1,22.5,92.4,2023-05-08T16:30:39.954Z,2023-05-08T20:43:41Z,,,,,,,,,,,,,,,,,,,,,,,,,14vhrqvqomi57x5mtsawm44b9,T. Augello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
