id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,assist,qualifier/14/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2464121571,1,34,16,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-09-25T09:47:53.062Z,2022-09-25T10:43:33Z,3802096249,194,3yx85beji7yke6s4su7f0tzh1,3802146747,197,16701,3802096245,130,10,3802096239,30,"c6wbavw0v5bxajsd2xz7qg1d5, dejb47luo9o523wl9fm9yncgl, 3yx85beji7yke6s4su7f0tzh1, a5unceohcp7m8mrrso11uipqt, 4xlf56csffamnnw04mba3wpw4, ifp26xl8pzgarz05vnfjv3yt, bkyl1g1z7xenlu0augv7717u1, c5ze370ixl09ccy818f92jkk5, 33fdo0axm0x7s88xj3br3xt61, 68vj95m8a7vmurirk0hr8lboq, 7o8xh2r55xb1yiz5gjvnp0rmx, b4r8ripw5dilngnxrb5fkkkid, e8zyhpx14n6upjw5fnqbc9k44, b7o9ncawaqn5jj5v32b3gn1be, 6a9iztbvqz1ivizma0g528v84, 26xyd3qlh5v3ypcrdx4l1waju, 1zq3xp6uas4qe3jv0huphuzmd, am9nqqu4kh06f457nxwmpgg0k, bb1q58ts374m0dgx2afl6gq5m, 60n2n8den11uhjvk7lpse8qhg",3802096241,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3802096247,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3802096251,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3802096243,59,"1, 33, 3, 4, 5, 16, 21, 28, 9, 7, 10, 2, 6, 8, 11, 19, 20, 29, 30, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464122229,1,34,16,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-09-25T09:51:55.842Z,2022-09-25T10:38:09Z,3802099347,30,"69ewfo1qoyc0xhk227754o9h, bimp62qt9yetz1mwz1z18ri7d, 69ij8unhyklcdc4d11u02v6y, dlk4qvpj8rn8jy2efhu4xn3yt, 6vvrp3ijlo76d0oolobx1hgwl, dcabal76i5wlct77xl6jkyfv9, 7asw3c7rhaqrmnc4kk7q0hp0p, 3ycwiqwexrq74zjs6l2rj0dsl, 2kxbr1qwr4soew1kopzx7rswk, b80b2mxpxjcboqc81evm6oa2, e3mdwwn8drb7hsscyvj4u8pre, 6a4e840hagvde76wq00oitboq, 6f4viy7wqtr4zcgtdxa5884id, 6l457lm38yflk2l01ho3kk48a, 9skgc5kozhnn4cp5fghmnwout, c9y25sxg24aripna871g8x9g4, 5snw4b4ndo6hus8hpxq9q19lh, 7q2zs9kmolc8ivuz368gvsatx, a1jt0xute9v4oazyt8dtq2kiy, d154hxm83w5x1m0ht905cgpg5",3802099353,130,4,3802099349,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3802099359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3802162695,197,17028,3802099355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3802099351,59,"12, 6, 8, 16, 27, 2, 18, 21, 19, 9, 23, 1, 3, 5, 10, 11, 14, 20, 22, 58",3802099357,194,dcabal76i5wlct77xl6jkyfv9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464132803,3,43,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-09-25T10:32:50.053Z,2022-09-25T10:33:20Z,3802152263,213,4.0,3802152257,140,37.9,3802152259,141,29.8,3802152255,56,Back,3802152265,279,S,3802152959,144,1,3802152261,212,18.8,,,,2kxbr1qwr4soew1kopzx7rswk,G. Di Luzio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464132787,2,32,1,0,0,bcuj94typp0ykv77ijp9wpsve,1,0,0,2022-09-25T10:34:07.472Z,2022-09-25T10:34:07Z,3802152173,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464132785,2,32,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-09-25T10:34:07.472Z,2022-09-25T10:34:08Z,3802152167,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464133227,5,1,1,0,0,8gw3pgcd0doivaul55q8na9lg,1,50,50.3,2022-09-25T10:34:08.116Z,2022-09-25T11:32:33Z,3802154511,140,36.8,3802266841,279,S,3802154517,213,3.2,3802154515,212,13.9,3802154509,56,Back,3802154513,141,50.1,,,,,,,2kxbr1qwr4soew1kopzx7rswk,G. Di Luzio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464132811,4,43,1,0,2,8gw3pgcd0doivaul55q8na9lg,1,0,0,2022-09-25T10:32:52.229Z,2022-09-25T10:33:17Z,3802152311,140,32.1,3802152317,213,4.3,3802152883,144,1,3802152309,56,Back,3802152313,141,7.4,3802152315,212,16.4,,,,,,,dlk4qvpj8rn8jy2efhu4xn3yt,J. Karlernäs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464133293,6,1,1,0,6,8gw3pgcd0doivaul55q8na9lg,1,43.7,50.4,2022-09-25T10:34:13.812Z,2022-09-25T11:21:27Z,3802154857,140,67.3,3802154863,213,6.0,3802154855,56,Center,3802154861,212,26.1,3802154859,141,38.2,,,,,,,,,,7asw3c7rhaqrmnc4kk7q0hp0p,A. Hilaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464133301,7,1,1,0,10,8gw3pgcd0doivaul55q8na9lg,0,64.1,38.3,2022-09-25T10:34:17.908Z,2022-09-25T11:21:50Z,3802154921,56,Center,3802154927,212,12.2,3802154945,236,,3802154929,213,2.5,3802154947,233,3,3802154925,141,49.7,3802154951,286,,3802154923,140,55.1,2kxbr1qwr4soew1kopzx7rswk,G. Di Luzio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464133305,3,74,1,0,10,bcuj94typp0ykv77ijp9wpsve,1,33.9,48.1,2022-09-25T10:34:17.909Z,2022-09-25T11:14:30Z,3802154935,56,Back,3802154957,233,7,3802154937,285,,,,,,,,,,,,,,,,,68vj95m8a7vmurirk0hr8lboq,A. Corelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
