id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,assist,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value
2544264583,1,34,16,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-05-06T11:43:30.635Z,2023-05-06T13:01:06Z,4253866747,30,"8n4rruxbnzvjgdomxslnmcno5, a22hb1s02edsj7t38out5r3rp, 62uaf4amxdyz6j2fuvadp0no5, 5e13xwlorl1gjrnjjtfnzawa1, 1x10v3yh4e3f1p2ndhtxcck4p, 7nwh5uoczypmuiigzi8ylsd1, dkifo6kxxxsv1hr0rzk1q8afp, 3v6az10hxcowqkewd809cri6t, 5o80hrbyw554cetm1rbbns0k5, bj2ymzuyq3zxbfjs3xrt3ss7p, cfzvplhlvlfvau521u6b86xud, 71p9z7bqvgzb5t115fmos6fop, d7xdtkzw3h749ngi4sobn6kmh, 3l76cgequy3tjhhudqnrejglx, d02p1ldr57bkxcpmq12vtvhsl, ho87m362sey4msdjp4n180oa, 6eb3jpi6t6z2ergmgzcpckdpm, bpzzhdpqxmp8bef77m7pr2r4l, 8w2rfa3vnu6t1a37510374nv9, b62gjcajugddud630e9b7ptjp, 5gond4ss348863bc1768s4q, 3a60l8v1wpr9qpapsjcu4bztg, 7y5qwgl0xu7btfd7yxgeb2gut, aaokzl1u7cev2dbn7p09cfx05",4253866749,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4253866757,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253866753,130,4,4253866761,194,5o80hrbyw554cetm1rbbns0k5,4253866751,59,"94, 77, 23, 6, 15, 13, 21, 10, 17, 7, 20, 1, 3, 4, 9, 11, 18, 26, 29, 31, 34, 50, 88, 96",4254204069,197,572,4253866767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544268677,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-05-06T11:47:36.358Z,2023-05-06T13:03:20Z,4253887471,59,"16, 2, 19, 33, 24, 23, 30, 8, 9, 4, 17, 1, 5, 7, 10, 12, 14, 20, 27, 28, 32, 40, 46, 56, 83, 90",4253887475,130,8,4253887477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254217137,197,16688,4253887481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253887467,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4253887463,30,"3fpnfgoy4lbpapv2th6g60cet, e2vtm1318mm61db2wtj4m5p79, 3tpmw6tlijytn0ahwztvedkut, 3v1fnp5e9pxfzgou5ebrgprrp, ehztjmhg6fsddm1fqb00547o5, 3sezchmdtivxl4kusvgc6j7x1, 17au7v1ocl4zab872g59821yi, 9sxg58hszjq17avxgumftdu22, 5awkzgwwh48prwgvxwewuc5hx, cknjube5flk1r5ppqthj82c5, 11o903vztwpnmvgrinn208qnd, 7kph61hobc93t2c2tl8l5j105, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 3jln1gzc0859ymphvq83i0mp5, eyra5urhrm92240e7qbll736d, wr2f0yl1bf68r73hkjee2pqt, b33rlpjo3kx4477alx82si5wq, 1dwwsz1i6v8zwh802ujwf7emt, cfpaejad8i9p2r1fj0wx0g222, ch5rw8dgb6wh99wyhd8o3t1pl, 72vim7cq99zdjjwivwtr773vu, enqcaecpt5hy0qv9x5pzmkjc9, 9vnr9uog5fmggich2i4vjxwbt, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be",4253887479,194,e2vtm1318mm61db2wtj4m5p79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544334887,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-05-06T13:00:09.930Z,2023-05-06T18:26:16Z,4254218813,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544334867,2,32,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-05-06T13:00:09.930Z,2023-05-06T13:00:10Z,4254218719,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544334925,3,1,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,50.1,50,2023-05-06T13:00:09.967Z,2023-05-06T18:30:58Z,4254218975,56,Back,4254218977,140,31.2,4255641721,178,,4254218979,141,47.5,4254218981,212,19.9,4254218983,213,3.2,4254218985,279,S,,,,3v6az10hxcowqkewd809cri6t,Luis Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544334929,4,1,1,0,1,btcy9nra9ak4m22ovr2ia6m5v,1,33.2,52.8,2023-05-06T13:00:11.128Z,2023-05-06T18:31:03Z,4254454045,140,33.2,4255642165,178,,4254454047,141,51.3,4254219001,56,Back,4254454049,212,1.0,4254454051,213,4.7,,,,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544334961,5,1,1,0,3,btcy9nra9ak4m22ovr2ia6m5v,0,32.3,45.4,2023-05-06T13:00:12.933Z,2023-05-06T18:31:08Z,4254219165,212,50.0,4254219167,213,5.8,4255642689,178,,4254219157,140,73.6,4254219153,56,Right,4254219161,141,8.8,4254219149,155,,4254219169,1,,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544635897,992,67,1,0,6,9dntj5dioj5ex52yrgwzxrq9l,1,34.1,81.5,2023-05-06T13:00:15.935Z,2023-05-06T20:31:25Z,4255807509,233,944,,,,,,,,,,,,,,,,,,,,,,3v1fnp5e9pxfzgou5ebrgprrp,R. Krunić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544635891,944,67,1,0,6,btcy9nra9ak4m22ovr2ia6m5v,0,65.9,18.5,2023-05-06T13:00:15.936Z,2023-05-06T19:04:18Z,4255807523,233,992,,,,,,,,,,,,,,,,,,,,,,dkifo6kxxxsv1hr0rzk1q8afp,S. Milinković-Savić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544635073,981,43,1,0,6,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-05-06T13:00:15.936Z,2023-05-06T19:04:13Z,4255803215,233,940,4255807311,144,67,,,,,,,,,,,,,,,,,,,3v1fnp5e9pxfzgou5ebrgprrp,R. Krunić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
