id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2521013583,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-03-17T17:08:51.880Z,2023-03-17T18:03:49Z,4102700891,197,17519,4102540041,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102540045,130,7,4102540039,30,"11so3nfejun31ajhmqjlwapqt, 5h9k65zukry196snla3xgmh91, 1vqpa944d79cnljfbjb8yjlcl, cvy1q6gtx1gs9ddemdpcf8ded, bgzh3zwl99bpnnpj37jn4dmtx, 3ruj0we4jma5m60xumyoir1ii, 9t2pn6dp6w38b169a5qo9c60a, 5ovqn6llocczhae9n1kzj5nf9, dzhvgrdkl4nuj8z4fd9to0ag9, 8h7r4d4z2gjne58xwu3koiok5, 9gdocwx006j6wyz4mnhzgzydx, 3kfxvwa38a7oq0d126jm4o9ka, 4n6mnhjzt6zpicfea3ym678id, 2cl7scn4j10rfq44mweo735cl, 22zrashyijuh9pnjovqpyl8lx, 7yd1zxbm6jnvxhmk1v2xyh9m1, 1dg7whnmk3nb1adw7n8a7nnbp, 40wxai4gm0pdry6545i5c68ve, c1r1tmscj963olp4yo8kedqdx, f0cwpq45aa7b5de10j9skw44p, 2qfg4adqsjv2qmt9up7iq2t7u, enc694gvlgycx72bhat5f7wbu",4102540051,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102540043,59,"1, 8, 16, 23, 2, 5, 19, 14, 18, 21, 7, 3, 4, 10, 12, 13, 15, 17, 20, 22, 24, 25",4102540049,194,5h9k65zukry196snla3xgmh91,4102540047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521015095,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-03-17T17:11:58.543Z,2023-03-17T19:00:57Z,4102548895,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4102709623,197,3935,4102548905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102548901,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4102548897,59,"1, 19, 14, 5, 22, 2, 21, 10, 17, 9, 11, 6, 7, 13, 15, 16, 18, 39",4102548903,194,5cpnfg3x95yjy00c6h2g22tp1,4102548893,30,"3qu360b871q8wssodtkeq6oa2, 33t09qpv89b6wo3suzj33meax, bu6otdhlxkznbdm7v6gq1gq21, 5cpnfg3x95yjy00c6h2g22tp1, 5bx3a7j6m109a4jw82appuhre, 2me13zmgmf0r0wtsjmxid1zvt, 5w3y2f2ydr2ecq90cdzbn6ns9, bdaicql6er9antum0eaar9x0q, b9rcv1fsqcwockfpbkl58tl, er6khxd9z3wfjekigs4nxf8q, 4nvfy4deuo9cmsegz492aq2g9, 4omg3eblibhyzx7f4rhhl8el1, 8jvs33mize0fkkihe2zot28k5, 7rm6858rwtecoxlt5ud31dmy2, 2qh8rg0ekcnh8qjvnnrpc9olx, 1533xkmkmi8rpb6yoa8807xn8, cqzvybjo8i63y1avibzhpvdud, y0ubwf0c6z92dxdqij3vezh0",4102548899,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521043385,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-03-17T18:00:42.384Z,2023-03-17T18:00:44Z,4102703263,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521043377,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-03-17T18:00:42.384Z,2023-03-17T18:00:42Z,4102703227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521043397,3,1,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,50,50,2023-03-17T18:00:42.484Z,2023-03-17T18:00:45Z,4102703345,56,Back,4102703353,213,3.5,4102703349,141,43.6,4102703355,279,S,4102703347,140,39.0,4102703351,212,12.3,,,,,,,dzhvgrdkl4nuj8z4fd9to0ag9,Geyse Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521043405,4,1,1,0,2,bop6aslxmwvzsapdxsw3xbvfg,1,37.5,44.8,2023-03-17T18:00:44.602Z,2023-03-17T18:00:46Z,4102703401,141,33.0,4102703397,56,Back,4102703407,213,4.4,4102703405,212,8.4,4102703399,140,35.1,,,,,,,,,,cvy1q6gtx1gs9ddemdpcf8ded,I. Engen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521043417,5,1,1,0,3,bop6aslxmwvzsapdxsw3xbvfg,1,34.7,33.6,2023-03-17T18:00:45.978Z,2023-03-17T18:00:48Z,4102703495,213,2.6,4102703491,212,9.3,4102703487,141,40.9,4102703479,56,Back,4102703483,140,27.2,,,,,,,,,,5ovqn6llocczhae9n1kzj5nf9,Aitana Bonmatí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521043429,6,1,1,0,6,bop6aslxmwvzsapdxsw3xbvfg,1,27.8,41.8,2023-03-17T18:00:48.555Z,2023-03-17T18:01:05Z,4102703585,213,1.5,4102703581,141,66.6,4102703577,56,Back,4102703583,212,16.9,4102703579,140,28.4,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521043447,7,1,1,0,10,bop6aslxmwvzsapdxsw3xbvfg,1,27.5,65.5,2023-03-17T18:00:52.883Z,2023-03-17T18:02:28Z,4102703647,56,Back,4102703655,213,4.7,4102703649,140,26.9,4102703651,141,37.6,4102703653,212,19.0,,,,,,,,,,3ruj0we4jma5m60xumyoir1ii,Jana Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521043449,8,1,1,0,13,bop6aslxmwvzsapdxsw3xbvfg,1,26.8,38.8,2023-03-17T18:00:56.205Z,2023-03-17T18:02:30Z,4102707381,212,17.1,4102707379,141,13.7,4102707383,213,4.8,4102707377,140,28.2,4102707375,56,Back,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
