id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/11/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist
2490508601,1,34,16,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2022-12-11T18:17:30.981Z,2022-12-11T18:59:57Z,3941603585,130,8,3941603591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3941603579,30,"6h41rdmhfs08723t23zgi5vjd, d4gjsmv5dqgv9w2e115gh7kk5, cq38p3rul6qi2tpvr077v8n6y, dlbgel5sg62n5z89ev1tkusph, 8tux0w5del0ggtozbon3x92lm, 245eszqeqx2xeair8h5n4z8b9, 4trjsb4uoasjj3jwr77rh0k16, 7l3val0z7xwpaptf5ebgimnyt, 13hy7ggmnhfalmdqlbp6lzv11, dgkmt7f5k9oqruxzsi3x9em6t, 79gb1aba3b9e3bht7frq0lqp6, 4vk1yd7zqaqapuejahqx7zi09, 59k0w00mz9tbm2mehy6ix113p, 5nad4qgy5hlwfsm64mhkwadw5, evfl561yy3cwa51hwnme6mifp, 4rs6pmptx7w4moy8ks2vyrff9, a5b2mmssttscc0k5rss87lhey, 9k9f6c1xb7kfaq3siophz7ca1, cp37td3qaw8oyf3mznoh45o15, 10w88nr6r2nzxank4gv5gokbt, 47wzwvf5ksv7kdivj9ra96l0p, 2zjmvlq2y7op9hex0l24pz9xw",3941654297,197,8978,3941603589,194,d4gjsmv5dqgv9w2e115gh7kk5,3941603583,59,"1, 2, 7, 21, 14, 4, 22, 6, 10, 11, 20, 3, 5, 8, 9, 13, 15, 16, 18, 23, 24, 27",3941603587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3941603581,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490509705,1,34,16,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2022-12-11T18:22:54.353Z,2022-12-11T19:15:25Z,3941609779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3941609777,130,7,3941609773,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3941609771,30,"4bcef9sqkbml7b2jtqhbz602d, auyj06nha2syoygo7prfadobu, d0i38pk78vbxoqz7x2rzz8cx6, 3alzawtqpfjtb3vez30mbp0mi, 9163edyiljpd18plos0eb2j8p, 1duox0r8qvb3t52m9w4mp86ol, ayd71ahuyt8kd9c8xmbbbhg16, 31yxoo15eztnf39r45e6hy1g5, 263vizqqfp8zwwws0exdrl3o5, 20nehty0pfzlg8wj60l87taeh, 1tusdkqm6v4khzekbrp2jfnqh, 4pavtall24hy4jle51p1lqkbu, lanj0745tf4i4hige9vm9qll, 3iet32cz1jg865iswu92kqd49, efxmnnjg8l00ns74d7nnloi22, 921nkcoy16y0wya801bo53f85, 5qvgs8yefgkayj9yt1kidkcfd, b24bgt8u8e1b1gb98k9sf9lw4, 4w7d8csbrfd03yszhtp3noopg, 52kdiaya57yaisoil0k9ss0oa, 2ac25gja4xuyp8xqe2uvdslqs",3941609783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3941609781,194,4bcef9sqkbml7b2jtqhbz602d,3941654231,197,3941,3941609775,59,"1, 27, 20, 6, 15, 4, 18, 10, 16, 21, 19, 26, 3, 9, 2, 14, 22, 13, 25, 5, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490518023,2,32,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2022-12-11T19:01:20.361Z,2022-12-11T19:01:19Z,3941655597,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490518033,2,32,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2022-12-11T19:01:20.361Z,2022-12-11T19:01:20Z,3941655635,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490518043,3,1,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,50,50,2022-12-11T19:01:20.461Z,2022-12-11T20:58:09Z,3941655665,141,45.2,3941655669,213,3.6,3941655667,212,7.4,3941655671,279,S,3941655663,140,43.7,3941655661,56,Back,,,,,,,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490518045,4,1,1,0,3,vaikl8nl7hdr4y9jj4jyb9ey,1,40.9,47.9,2022-12-11T19:01:23.950Z,2022-12-11T19:01:24Z,3941655693,213,2.1,3941655689,141,73.2,3941655691,212,19.9,3941655687,140,31.4,3941655685,56,Back,,,,,,,,,,7l3val0z7xwpaptf5ebgimnyt,S. Toletti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490518065,5,1,1,0,5,vaikl8nl7hdr4y9jj4jyb9ey,1,31.4,73.2,2022-12-11T19:01:25.582Z,2022-12-11T19:01:30Z,3941655825,140,19.3,3941655833,1,,3941655831,213,4.4,3941655829,212,35.9,3941655827,141,23.9,3941655823,56,Back,,,,,,,cq38p3rul6qi2tpvr077v8n6y,Olga Carmona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490518075,6,1,1,0,9,vaikl8nl7hdr4y9jj4jyb9ey,0,31.4,15,2022-12-11T19:01:30.344Z,2022-12-11T19:01:34Z,3941655885,56,Center,3941655893,213,0.3,3941655891,212,39.7,3941655895,1,,3941655889,141,32.1,3941655887,140,67.6,3941655883,155,,,,,8tux0w5del0ggtozbon3x92lm,Kathellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490518079,3,44,1,0,13,8zt8rrm6v5nccv01v6pef0r1o,1,33.9,70.8,2022-12-11T19:01:33.767Z,2022-12-11T19:01:35Z,3941655911,56,Back,3941655913,285,,3941655915,233,7,,,,,,,,,,,,,,,,9163edyiljpd18plos0eb2j8p,Cinta Del Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490518077,7,44,1,0,13,vaikl8nl7hdr4y9jj4jyb9ey,0,66.1,29.2,2022-12-11T19:01:33.768Z,2022-12-11T19:01:35Z,3941655901,286,,3941655921,233,3,3941655899,56,Center,,,,,,,,,,,,,,,,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490518081,4,1,1,0,13,8zt8rrm6v5nccv01v6pef0r1o,0,35.4,73.6,2022-12-11T19:01:34.262Z,2022-12-11T19:01:35Z,3941655933,213,2.3,3941655931,212,6.4,3941655929,141,80.5,3941655923,3,,3941655927,140,31.2,3941655925,56,Back,,,,,,,9163edyiljpd18plos0eb2j8p,Cinta Del Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
