id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/10/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2506148913,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-02-11T12:26:09.702Z,2023-02-11T14:11:49Z,4023996707,194,5xlqh4i9zb5daj4khs1mbbxpm,4024086581,197,3938,4023996697,30,"hf67c0ip1chljjy1udsjpt2i, 5xlqh4i9zb5daj4khs1mbbxpm, ev8an510kk4nb6dabnsa962tx, 1nhju64j5loikn6t0j9m6au39, 24bz5vlm76nrqcnblyxfkt8x6, 2dsgmfs9crnzz3425si3m9uj9, 1cfjcoum4z07r1p3uyy2p9x49, 5kio1iodx7cq9i9p9kql1nuuh, 63atfboq056luh7gzplxooyui, et6offb5y91ch6mlol3dwcd0p, 4ngzyppqh4iaqqy0vrynwz66s, 5zhcjr5kxyxd2jmq1wel3ug9h, b3dvkkzdpggax4btpycd1oe3u, 8i42x5mpk5bpm1i0gvgubx9pm, 67i9jwkech61ihpglnmpzygvd, 9742qffzdwiz9y3y7et40863t, 31mhclmjwpn7zik6nphr4pwtm, 3z91j68ij26ar4vifyqyp34k, ent5lfgq42d5ngi3ebyy7p1w5, 35uen906vvtndlnv3hrm5zo8a, 4su6y0sg2fw9vvi8y5cjazk0k, 4a8y7vdsg6pz1nxnmu7wcqe50, cgunamq8fn3bre2d3cimwh6cq",4023996709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4023996705,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4023996699,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4023996703,130,4,4023996701,59,"24, 11, 21, 20, 4, 19, 15, 7, 2, 10, 16, 1, 6, 8, 9, 12, 14, 18, 22, 23, 25, 27, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506150291,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-02-11T12:29:06.732Z,2023-02-11T12:57:56Z,4024003661,30,"7rm6858rwtecoxlt5ud31dmy2, 33t09qpv89b6wo3suzj33meax, 5o5f6l99dzhim5k1jnnmog6hh, bdaicql6er9antum0eaar9x0q, w3vjdjxeuaauh8na84fkwhuy, 2me13zmgmf0r0wtsjmxid1zvt, 5w3y2f2ydr2ecq90cdzbn6ns9, 5cpnfg3x95yjy00c6h2g22tp1, b9rcv1fsqcwockfpbkl58tl, er6khxd9z3wfjekigs4nxf8q, bu6otdhlxkznbdm7v6gq1gq21, 3qu360b871q8wssodtkeq6oa2, 8jvs33mize0fkkihe2zot28k5, 4nvfy4deuo9cmsegz492aq2g9, 2qh8rg0ekcnh8qjvnnrpc9olx, 1533xkmkmi8rpb6yoa8807xn8, 5bx3a7j6m109a4jw82appuhre, 6mzsev0k2iqswrjncctnnawic",4024003663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4024003673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024003671,194,5cpnfg3x95yjy00c6h2g22tp1,4024085027,197,16933,4024003665,59,"13, 19, 3, 10, 4, 2, 21, 5, 17, 9, 14, 1, 7, 11, 15, 16, 22, 30",4024003669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024003667,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506168485,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-02-11T13:01:05.711Z,2023-02-11T13:01:05Z,4024091571,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506168497,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-02-11T13:01:05.711Z,2023-02-11T13:01:07Z,4024091623,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506168541,3,1,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,49.9,49.7,2023-02-11T13:01:05.811Z,2023-02-11T13:01:10Z,4024091831,279,S,4024091823,140,36.5,4024091821,56,Back,4024091827,212,14.8,4024091829,213,2.8,4024091825,141,56.3,,,,,,,b9rcv1fsqcwockfpbkl58tl,Ana Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506168553,4,1,1,0,4,cd1ottifbgcfrn6pdrdpwt7z0,1,36.5,56.3,2023-02-11T13:01:10.424Z,2023-02-11T13:01:11Z,4024091887,212,12.6,4024091885,141,42.2,4024091889,213,4.0,4024091883,140,28.7,4024091881,56,Back,,,,,,,,,,bdaicql6er9antum0eaar9x0q,Fiamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506168565,5,1,1,0,6,cd1ottifbgcfrn6pdrdpwt7z0,1,28.7,42.2,2023-02-11T13:01:11.721Z,2023-02-11T13:01:13Z,4024091937,140,27.1,4024091935,56,Back,4024091943,213,1.7,4024091941,212,17.9,4024091939,141,68.4,,,,,,,,,,w3vjdjxeuaauh8na84fkwhuy,María Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506168597,6,1,1,0,7,cd1ottifbgcfrn6pdrdpwt7z0,1,27.1,68.4,2023-02-11T13:01:13.113Z,2023-02-11T13:01:16Z,4024092137,141,71.1,4024092135,140,39.3,4024092139,212,12.9,4024092133,56,Back,4024092141,213,0.1,,,,,,,,,,2me13zmgmf0r0wtsjmxid1zvt,Berta Pujadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506168625,7,1,1,0,11,cd1ottifbgcfrn6pdrdpwt7z0,1,34.5,67.3,2023-02-11T13:01:16.777Z,2023-02-11T13:01:19Z,4024092301,212,24.2,4024092303,213,3.6,4024092299,141,50.6,4024092295,56,Back,4024092297,140,14.1,,,,,,,,,,5cpnfg3x95yjy00c6h2g22tp1,Marta Carro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506168649,8,1,1,0,14,cd1ottifbgcfrn6pdrdpwt7z0,1,14.1,50.6,2023-02-11T13:01:19.881Z,2023-02-11T13:01:22Z,4024092441,213,5.2,4024092433,56,Back,4024092437,141,34.9,4024092435,140,19.2,4024092439,212,11.9,,,,,,,,,,7rm6858rwtecoxlt5ud31dmy2,C. Morché,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
