id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/14/value,assist
2533438255,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-04-15T09:10:42.124Z,2023-04-15T10:14:45Z,4189348459,197,12185,4189312239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189312237,194,83wqrctlm3zpp10zmx1tjc9ka,4189312229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189312227,30,"1bvbnq69gxx0nciovzzf6o8dm, cfmly5uuomypp4t0pibgtfazu, q3xvi1pbz5hmr6zw6np6v4yd, 61ho0mi13ewpotj5udjt7mz2s, d2at1haixfnekibqj89y4nxed, 8vwiezkux2gxs99ziy7x69fu2, c1ll2hqt71suy8bgwswpci9uy, 83wqrctlm3zpp10zmx1tjc9ka, du0eybpvf5vcvtuj074x74jdg, 2j37sn6v53zhgz2hf1q33gzdg, 3u9vtcqa5td8weoufpzirruhg, beiyf464bpeeezm7jiqh2pzis, 5q1oexaovibgn83v5kmjfanvu, c3plg9ommu3i24xx3nfm6wbxm, a0g0ldiol9fzw09gk5i9e15w4, 6lruud03b1so5uyjduuthtuj9, 7dlyawb4x2lr5gjcz5b1y5ivp, du4sd3yhhb3avedd8yzjd6dey, 4ts1xba21nxqu8shbfzcvj27d, epgai2aff40j82jb3gumaehka, 9rk08avs1361jws1ibs5frl04",4189312231,59,"1, 21, 4, 19, 3, 2, 11, 10, 7, 9, 6, 5, 16, 30, 8, 14, 17, 18, 20, 13, 27",4189312233,130,2,4189312235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533439657,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-04-15T09:17:02.603Z,2023-04-15T10:09:24Z,4189317639,30,"6nx2fpsn1549tqew7098csqg9, 3nmk8e4y0vu8ov2whpdannnkk, f0m3ncnvrrrj3wcgzrz7ja44q, 4u67uu52ej13738mz4dh9bj3e, si7seewiwpo5s7yi3jbxuo2y, f2wy9lcvcg47ufsat67mdf0et, 88cflr7hnw1o3ej6y3wsj5p0p, 3jsqviuejf6t4u53cdgbeix62, 8xr1zxvovvxckh586adphufvt, eb1k3xi1oy9c5xkc30fgodg4, 2lh6bupkrijpm9n916446nbop, ekctrwv020vt9iuv6jkpfivv9, ennkxlwawwoc8go6bx5ntskp, 1k0lkh2uqjo6c42khduv89dk9, 69hzl68t1f58dxs461jizyjje, 1jepco4u9frbnmu5lyotlgu8k, bows51pg0h4042274cvzwtmcq, 85vgjvamflqyzs4ov1fnaai95, ak7rstu77leltpt7c104ca4q2, ef8jptd63fi9rll1e1gx61z6y, bpk64d0puoo2xofbb5k4ffuac",4189317645,130,8,4189317643,59,"1, 3, 17, 29, 6, 8, 16, 12, 9, 15, 11, 7, 10, 13, 18, 19, 20, 21, 22, 27, 28",4189317651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189317641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189348505,197,3973,4189317647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189317649,194,f2wy9lcvcg47ufsat67mdf0et,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447867,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-04-15T09:58:13.221Z,2023-04-15T09:58:13Z,4189352377,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447869,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-04-15T09:58:13.221Z,2023-04-15T09:58:15Z,4189352389,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447877,3,1,1,0,0,1azk57wev30h044w949j46kpu,1,50.1,50,2023-04-15T09:58:13.321Z,2023-04-15T09:58:17Z,4189352435,279,S,4189352433,213,3.6,4189352425,56,Back,4189352429,141,30.2,4189352431,212,28.6,4189352427,140,26.1,,,,,,,eb1k3xi1oy9c5xkc30fgodg4,Clara Pinedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447889,4,1,1,0,4,1azk57wev30h044w949j46kpu,0,31.7,31.4,2023-04-15T09:58:17.258Z,2023-04-15T09:58:22Z,4189352513,56,Center,4189352521,213,0.4,4189352515,140,77.1,4189352519,212,51.3,4189352523,1,,4189352517,141,59.1,4189352511,155,,,,,si7seewiwpo5s7yi3jbxuo2y,Oihane Valdezate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447887,3,44,1,0,7,7mk4va7b2p6tnv2xjxcgjy8h6,1,24.4,37,2023-04-15T09:58:20.499Z,2023-04-15T13:58:51Z,4189352509,285,,4189352507,56,Back,4189352543,233,5,,,,,,,,,,,,,,,,d2at1haixfnekibqj89y4nxed,O. Ohale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447891,5,44,1,0,7,1azk57wev30h044w949j46kpu,0,75.6,63,2023-04-15T09:58:20.500Z,2023-04-15T13:58:52Z,4190258947,233,3,4189352527,56,Center,4189352529,286,,,,,,,,,,,,,,,,,8xr1zxvovvxckh586adphufvt,Yulema Corres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447895,4,1,1,0,7,7mk4va7b2p6tnv2xjxcgjy8h6,1,27.4,23.4,2023-04-15T09:58:21.202Z,2023-04-15T09:58:23Z,4189352557,56,Back,4189352559,140,30.3,4189352561,141,39.7,4189352555,3,,4189352563,212,11.5,4189352565,213,1.3,,,,,,,d2at1haixfnekibqj89y4nxed,O. Ohale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447899,5,1,1,0,10,7mk4va7b2p6tnv2xjxcgjy8h6,0,30.3,39.7,2023-04-15T09:58:23.378Z,2023-04-15T09:58:24Z,4189352589,141,69.8,4189352581,157,,4189352597,1,,4189352583,56,Back,4189352595,213,1.1,4189352593,212,23.3,4189352585,140,40.9,,,,3u9vtcqa5td8weoufpzirruhg,Gema Soliveres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447909,6,50,1,0,16,1azk57wev30h044w949j46kpu,1,72.8,8,2023-04-15T09:58:29.392Z,2023-04-15T12:06:47Z,4189352649,286,,4189352715,233,6,4189352647,56,Right,,,,,,,,,,,,,,,,3jsqviuejf6t4u53cdgbeix62,Irene Oguiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447915,6,7,1,0,16,7mk4va7b2p6tnv2xjxcgjy8h6,1,27.2,92,2023-04-15T09:58:29.393Z,2023-04-15T12:05:28Z,4189352683,56,Back,4189352681,167,,4189352685,285,,4189352709,233,6,,,,,,,,,,,,,61ho0mi13ewpotj5udjt7mz2s,Sara Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447929,7,5,1,0,17,1azk57wev30h044w949j46kpu,1,78,-1.4,2023-04-15T09:58:31.186Z,2023-04-15T12:06:45Z,4189352761,347,,4189352759,56,Right,4189352771,233,7,,,,,,,,,,,,,,,,3jsqviuejf6t4u53cdgbeix62,Irene Oguiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447917,7,5,1,0,17,7mk4va7b2p6tnv2xjxcgjy8h6,0,22,101.4,2023-04-15T09:58:31.186Z,2023-04-15T09:58:35Z,4189352691,347,,4189352689,56,Back,4189352777,233,7,,,,,,,,,,,,,,,,61ho0mi13ewpotj5udjt7mz2s,Sara Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447947,8,1,1,0,23,1azk57wev30h044w949j46kpu,1,81.9,0,2023-04-15T09:58:36.433Z,2023-04-15T09:58:40Z,4189352853,141,7.0,4189352857,213,0.6,4189352847,107,,4189352855,212,8.9,4189352849,56,Right,4189352851,140,88.7,,,,,,,3nmk8e4y0vu8ov2whpdannnkk,Naia Landaluze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447951,9,1,1,0,25,1azk57wev30h044w949j46kpu,0,95.9,7.1,2023-04-15T09:58:38.847Z,2023-04-15T09:58:48Z,4189352969,286,,4189352875,141,9.7,4189352873,140,96.4,4189352963,236,,4189352871,56,Right,4189352879,213,1.3,4189352869,155,,4189352965,233,8,88cflr7hnw1o3ej6y3wsj5p0p,Ane Azkona,4189352867,2,4189352877,212,1.8,,,,,,,,,,,,,,,,,,,,,,,,
2533447945,8,12,1,0,25,7mk4va7b2p6tnv2xjxcgjy8h6,1,4,91.5,2023-04-15T09:58:38.947Z,2023-04-15T09:58:49Z,4189352841,56,Back,4189352973,233,9,4189352949,185,,,,,,,,,,,,,,,,,q3xvi1pbz5hmr6zw6np6v4yd,C. Sáez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447955,9,5,1,0,27,7mk4va7b2p6tnv2xjxcgjy8h6,0,8,101.7,2023-04-15T09:58:40.498Z,2023-04-15T09:58:48Z,4189352883,347,,4189352951,233,10,4189352881,56,Back,,,,,,,,,,,,,,,,q3xvi1pbz5hmr6zw6np6v4yd,C. Sáez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533447963,10,5,1,0,27,1azk57wev30h044w949j46kpu,1,92,-1.7,2023-04-15T09:58:40.498Z,2023-04-15T10:08:25Z,4189352935,347,,4189352933,56,Right,4189352945,233,9,,,,,,,,,,,,,,,,8xr1zxvovvxckh586adphufvt,Yulema Corres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448011,11,1,1,0,40,1azk57wev30h044w949j46kpu,0,92.4,0,2023-04-15T09:58:53.569Z,2023-04-15T09:58:57Z,4189353139,212,19.1,4189353137,141,26.3,4189353131,107,,4189353133,56,Center,4189353141,213,1.4,4189353135,140,94.8,,,,,,,3nmk8e4y0vu8ov2whpdannnkk,Naia Landaluze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448019,10,44,1,0,43,7mk4va7b2p6tnv2xjxcgjy8h6,1,4.8,74.4,2023-04-15T09:58:56.720Z,2023-04-15T09:58:58Z,4189353159,285,,4189353157,56,Back,4189353167,233,12,,,,,,,,,,,,,,,,8vwiezkux2gxs99ziy7x69fu2,Elba Vergés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448015,12,44,1,0,43,1azk57wev30h044w949j46kpu,0,95.2,25.6,2023-04-15T09:58:56.721Z,2023-04-15T09:58:59Z,4189353151,286,,4189353173,233,10,4189353149,56,Center,,,,,,,,,,,,,,,,3jsqviuejf6t4u53cdgbeix62,Irene Oguiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
