id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist
2547663459,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-05-13T09:14:47.707Z,2023-05-13T10:00:09Z,4272079367,194,5h9k65zukry196snla3xgmh91,4272030519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272030511,30,"11so3nfejun31ajhmqjlwapqt, 5h9k65zukry196snla3xgmh91, f0cwpq45aa7b5de10j9skw44p, cvy1q6gtx1gs9ddemdpcf8ded, 3kfxvwa38a7oq0d126jm4o9ka, 4n6mnhjzt6zpicfea3ym678id, 5ovqn6llocczhae9n1kzj5nf9, 22zrashyijuh9pnjovqpyl8lx, c1r1tmscj963olp4yo8kedqdx, 2cl7scn4j10rfq44mweo735cl, 40wxai4gm0pdry6545i5c68ve, bgzh3zwl99bpnnpj37jn4dmtx, 3ruj0we4jma5m60xumyoir1ii, 9gdocwx006j6wyz4mnhzgzydx, 6291bj0xqq1w2631bajrpeb4l, 5exouoey2r6wtpympr6drg3it, 7yd1zxbm6jnvxhmk1v2xyh9m1, dzhvgrdkl4nuj8z4fd9to0ag9, 9t2pn6dp6w38b169a5qo9c60a, 8h7r4d4z2gjne58xwu3koiok5, enc694gvlgycx72bhat5f7wbu",4272030517,130,4,4272079369,197,17519,4272030521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272030513,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4272030515,59,"1, 8, 22, 23, 3, 4, 14, 12, 20, 10, 17, 2, 5, 7, 9, 11, 13, 18, 19, 21, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547664993,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-05-13T09:19:10.683Z,2023-05-13T10:00:02Z,4272038071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272079343,197,3973,4272038063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4272038065,59,"1, 3, 17, 29, 6, 8, 11, 19, 20, 15, 31, 5, 7, 9, 10, 13, 14, 18, 22",4272038059,30,"6nx2fpsn1549tqew7098csqg9, 3nmk8e4y0vu8ov2whpdannnkk, f0m3ncnvrrrj3wcgzrz7ja44q, 4u67uu52ej13738mz4dh9bj3e, si7seewiwpo5s7yi3jbxuo2y, f2wy9lcvcg47ufsat67mdf0et, 2lh6bupkrijpm9n916446nbop, 1jepco4u9frbnmu5lyotlgu8k, bows51pg0h4042274cvzwtmcq, eb1k3xi1oy9c5xkc30fgodg4, envd6nvea5ssa98mq2bnd7otm, alcmg8hi95r5q7etrck1uyusq, ekctrwv020vt9iuv6jkpfivv9, 8xr1zxvovvxckh586adphufvt, ennkxlwawwoc8go6bx5ntskp, 1k0lkh2uqjo6c42khduv89dk9, er787gw0uh9wwlo98tzsc83qh, 69hzl68t1f58dxs461jizyjje, ak7rstu77leltpt7c104ca4q2",4272038067,130,8,4272079341,194,f2wy9lcvcg47ufsat67mdf0et,4272038069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673263,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-05-13T10:01:42.186Z,2023-05-13T10:01:44Z,4272081247,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673255,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-05-13T10:01:42.186Z,2023-05-13T10:01:42Z,4272081217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673275,3,1,1,0,0,1azk57wev30h044w949j46kpu,1,50.3,49.9,2023-05-13T10:01:42.286Z,2023-05-13T10:03:45Z,4272081291,140,23.6,4272081299,279,S,4272081297,213,3.4,4272081289,56,Back,4272081293,141,37.7,4272081295,212,29.2,,,,,,,bows51pg0h4042274cvzwtmcq,Paula Arana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673305,4,1,1,0,3,1azk57wev30h044w949j46kpu,0,30.8,41.6,2023-05-13T10:01:45.599Z,2023-05-13T10:01:48Z,4272081465,155,,4272081471,141,72.0,4272081467,56,Center,4272081473,212,52.8,4272081469,140,77.1,4272081477,1,,4272081475,213,0.4,,,,si7seewiwpo5s7yi3jbxuo2y,Oihane Valdezate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673327,3,1,1,0,6,bop6aslxmwvzsapdxsw3xbvfg,1,24.1,31.8,2023-05-13T10:01:49.081Z,2023-05-13T10:01:51Z,4272081611,213,0.8,4272081605,140,35.9,4272081603,56,Back,4272081609,212,17.2,4272081601,3,,4272081607,141,49.3,,,,,,,3kfxvwa38a7oq0d126jm4o9ka,Laia Codina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673329,4,49,1,0,9,bop6aslxmwvzsapdxsw3xbvfg,1,36,51.2,2023-05-13T10:01:51.622Z,2023-05-13T10:01:52Z,,,,,,,,,,,,,,,,,,,,,,,,,40wxai4gm0pdry6545i5c68ve,Salma Paralluelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673363,5,1,1,0,12,bop6aslxmwvzsapdxsw3xbvfg,1,34.4,43.7,2023-05-13T10:01:54.534Z,2023-05-13T10:01:56Z,4272081791,140,28.3,4272081795,212,11.9,4272081789,56,Back,4272081797,213,4.1,4272081793,141,28.9,,,,,,,,,,40wxai4gm0pdry6545i5c68ve,Salma Paralluelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673373,6,1,1,0,14,bop6aslxmwvzsapdxsw3xbvfg,1,28.1,27.4,2023-05-13T10:01:56.630Z,2023-05-13T10:01:57Z,4272081843,56,Back,4272081845,140,28.9,4272081851,213,4.8,4272081847,141,15.6,4272081849,212,8.1,,,,,,,,,,5h9k65zukry196snla3xgmh91,Marta Torrejón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
