id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,assist,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2503947487,1,34,16,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-02-04T16:33:22.226Z,2023-02-04T17:20:28Z,4012383923,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4012383931,194,d4gjsmv5dqgv9w2e115gh7kk5,4012383927,130,4,4012383929,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012383933,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012653097,197,16553,4012383925,59,"1, 2, 7, 6, 14, 4, 22, 21, 11, 10, 20, 3, 5, 9, 13, 15, 16, 18, 23, 24",4012383921,30,"6h41rdmhfs08723t23zgi5vjd, d4gjsmv5dqgv9w2e115gh7kk5, cq38p3rul6qi2tpvr077v8n6y, 7l3val0z7xwpaptf5ebgimnyt, 8tux0w5del0ggtozbon3x92lm, 245eszqeqx2xeair8h5n4z8b9, 4trjsb4uoasjj3jwr77rh0k16, dlbgel5sg62n5z89ev1tkusph, dgkmt7f5k9oqruxzsi3x9em6t, 13hy7ggmnhfalmdqlbp6lzv11, 79gb1aba3b9e3bht7frq0lqp6, 4vk1yd7zqaqapuejahqx7zi09, 59k0w00mz9tbm2mehy6ix113p, evfl561yy3cwa51hwnme6mifp, 4rs6pmptx7w4moy8ks2vyrff9, a5b2mmssttscc0k5rss87lhey, 9k9f6c1xb7kfaq3siophz7ca1, cp37td3qaw8oyf3mznoh45o15, 10w88nr6r2nzxank4gv5gokbt, 47wzwvf5ksv7kdivj9ra96l0p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503953025,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-02-04T16:36:33.277Z,2023-02-04T17:25:32Z,4012414721,30,"3qu360b871q8wssodtkeq6oa2, 2qh8rg0ekcnh8qjvnnrpc9olx, 5o5f6l99dzhim5k1jnnmog6hh, bdaicql6er9antum0eaar9x0q, w3vjdjxeuaauh8na84fkwhuy, 2me13zmgmf0r0wtsjmxid1zvt, er6khxd9z3wfjekigs4nxf8q, 5cpnfg3x95yjy00c6h2g22tp1, b9rcv1fsqcwockfpbkl58tl, 6mzsev0k2iqswrjncctnnawic, 4nvfy4deuo9cmsegz492aq2g9, 8jvs33mize0fkkihe2zot28k5, 280d6mnvu6kjcebwq4ovv1afo, 7rm6858rwtecoxlt5ud31dmy2, bu6otdhlxkznbdm7v6gq1gq21, 1533xkmkmi8rpb6yoa8807xn8, cqzvybjo8i63y1avibzhpvdud, 5w3y2f2ydr2ecq90cdzbn6ns9, 5bx3a7j6m109a4jw82appuhre, a0700ecz96fl1yvj8a6zamql0, dn503idumyhiea35ayzeesj6c, 9w8g9it556ipl3zhatke1srca",4012414725,59,"1, 15, 3, 10, 4, 2, 9, 5, 17, 30, 11, 7, 12, 13, 14, 16, 18, 21, 22, 26, 33, 39",4012648349,197,3935,4012414729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012414727,130,8,4012414731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012429359,194,5cpnfg3x95yjy00c6h2g22tp1,4012414723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997547,2,32,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-02-04T17:15:13.006Z,2023-02-04T17:15:13Z,4012656161,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997587,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-02-04T17:15:13.006Z,2023-02-04T17:15:15Z,4012656359,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997659,3,1,1,0,2,cd1ottifbgcfrn6pdrdpwt7z0,1,50.1,49.3,2023-02-04T17:15:15.655Z,2023-02-04T17:16:04Z,4012656545,213,3.1,4012656541,141,49.3,4012659547,279,S,4012656539,140,33.0,4012656537,56,Back,4012656543,212,18.0,,,,,,,4nvfy4deuo9cmsegz492aq2g9,Macarena Portales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997675,4,1,1,0,4,cd1ottifbgcfrn6pdrdpwt7z0,1,34.3,49.4,2023-02-04T17:15:17.681Z,2023-02-04T17:15:19Z,4012656633,212,15.0,4012656635,213,4.0,4012656627,56,Back,4012656629,140,24.9,4012656631,141,32.7,,,,,,,,,,5cpnfg3x95yjy00c6h2g22tp1,Marta Carro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997707,5,1,1,0,6,cd1ottifbgcfrn6pdrdpwt7z0,1,24.9,32.7,2023-02-04T17:15:19.072Z,2023-02-04T17:15:22Z,4012656767,141,80.2,4012656769,212,32.3,4012656773,1,,4012656763,56,Back,4012656765,140,26.4,4012656771,213,1.5,,,,,,,w3vjdjxeuaauh8na84fkwhuy,María Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997743,6,1,1,0,9,cd1ottifbgcfrn6pdrdpwt7z0,1,26.4,80.5,2023-02-04T17:15:22.065Z,2023-02-04T17:15:23Z,4012656899,141,52.5,4012656897,140,13.8,4012656895,56,Back,4012656901,212,23.2,4012656905,213,4.1,,,,,,,,,,2me13zmgmf0r0wtsjmxid1zvt,Berta Pujadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997795,7,1,1,0,10,cd1ottifbgcfrn6pdrdpwt7z0,1,13.8,52.5,2023-02-04T17:15:23.809Z,2023-02-04T17:15:28Z,4012657157,141,24.4,4012657159,212,20.4,4012657153,56,Back,4012657161,213,5.1,4012657155,140,20.7,,,,,,,,,,3qu360b871q8wssodtkeq6oa2,Enith Salón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997861,8,1,1,0,15,cd1ottifbgcfrn6pdrdpwt7z0,1,25.9,5.6,2023-02-04T17:15:28.545Z,2023-02-04T17:15:33Z,4012657451,1,,4012657443,141,3.2,4012657449,213,6.2,4012657437,140,67.9,4012657447,212,44.1,4012657435,56,Right,,,,,,,w3vjdjxeuaauh8na84fkwhuy,María Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
