id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/9/value,qualifier/13/value,keyPass,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2518146369,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-03-11T10:31:23.226Z,2023-03-11T11:06:55Z,4087358205,194,1dfho5ul0u10h5m7cmtmj5x7u,4087358203,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087358201,130,10,4087358197,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087358207,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087358195,30,"epgai2aff40j82jb3gumaehka, 1dfho5ul0u10h5m7cmtmj5x7u, 89zl8l8wouupdzgepnm1ogqhg, q3xvi1pbz5hmr6zw6np6v4yd, d2at1haixfnekibqj89y4nxed, c3plg9ommu3i24xx3nfm6wbxm, 5q1oexaovibgn83v5kmjfanvu, 8vwiezkux2gxs99ziy7x69fu2, du4sd3yhhb3avedd8yzjd6dey, 2j37sn6v53zhgz2hf1q33gzdg, 61ho0mi13ewpotj5udjt7mz2s, beiyf464bpeeezm7jiqh2pzis, 1bvbnq69gxx0nciovzzf6o8dm, 3u9vtcqa5td8weoufpzirruhg, du0eybpvf5vcvtuj074x74jdg, a0g0ldiol9fzw09gk5i9e15w4, c1ll2hqt71suy8bgwswpci9uy, 6lruud03b1so5uyjduuthtuj9, 7dlyawb4x2lr5gjcz5b1y5ivp, 4ts1xba21nxqu8shbfzcvj27d, cfmly5uuomypp4t0pibgtfazu, 9rk08avs1361jws1ibs5frl04",4087358199,59,"13, 22, 12, 4, 3, 30, 16, 2, 18, 9, 19, 5, 1, 6, 7, 8, 11, 14, 17, 20, 21, 27",4087385893,197,12185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518146715,1,34,16,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-03-11T10:33:19.963Z,2023-03-11T10:59:29Z,4087360411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4087360415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087360413,194,470znxtt0sf52aav1o8s1hkdm,4087360409,130,8,4087360403,30,"dri6ywllr5aapmost881p4991, aa93kg4nfvrpthvfkkofixwtm, c60g2qtl13gydk9p2pqbbnsb8, 470znxtt0sf52aav1o8s1hkdm, 8hmntjeezmx4ch9yeti4x9y50, 6ufssidf65zo52ru9q644hq3u, 5wubhrq7ftqx0ryckwbrdxc5x, 9s5jdwjyk9klobfdt4wwt5jvt, awauajziz79qwnek1scaxcmad, 7dqs072o1rqh9l8rv9nus4qtx, eitv6t0xve84dgqlxutee0ys4, 8tmzjcaglix0qj8zy7yp8w7o, 1vcx3sprpnorl4q43abs8iuei, f6dtaackj9nd3ngnvs5nq0o9, 67kef1hzytkax2iyeg2il5nth, 16sc4hlsrq610rhfzi6m2squh, 4l0t0twvkms04gm3w3b2xvhsl, 8fswi9ldpiuemw0y922tf7dud",4087360405,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4087386481,197,14313,4087360407,59,"1, 15, 18, 16, 19, 14, 20, 5, 6, 7, 12, 4, 9, 10, 11, 13, 22, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518152175,2,32,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-03-11T11:02:43.476Z,2023-03-11T11:02:43Z,4087389695,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518152179,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-03-11T11:02:43.476Z,2023-03-11T11:02:46Z,4087389699,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518152181,3,1,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,50,50.1,2023-03-11T11:02:43.689Z,2023-03-11T13:22:07Z,4087389709,212,14.8,4087389713,213,3.2,4087389703,56,Back,4087389705,140,35.9,4087389717,279,S,4087389707,141,49.3,,,,,,,5q1oexaovibgn83v5kmjfanvu,Ornella Vignola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518152205,4,1,1,0,2,7mk4va7b2p6tnv2xjxcgjy8h6,1,34.4,43.3,2023-03-11T11:02:45.975Z,2023-03-11T11:02:48Z,4087389827,213,2.3,4087389823,141,63.1,4087389825,212,17.5,4087389819,56,Back,4087389821,140,23.7,,,,,,,,,,61ho0mi13ewpotj5udjt7mz2s,Sara Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518152215,5,1,1,0,4,7mk4va7b2p6tnv2xjxcgjy8h6,1,23.7,63.1,2023-03-11T11:02:48.247Z,2023-03-11T11:02:51Z,4087389899,141,14.1,4087389895,56,Right,4087389893,157,,4087389905,1,,4087389903,213,5.7,4087389897,140,68.1,4087389901,212,57.3,,,,q3xvi1pbz5hmr6zw6np6v4yd,C. Sáez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518152227,6,1,1,0,7,7mk4va7b2p6tnv2xjxcgjy8h6,0,68.1,14.1,2023-03-11T11:02:51.255Z,2023-03-11T11:02:54Z,4087389949,213,0.2,4087389947,212,26.7,4087389943,140,92.9,4087389945,141,22.7,4087389939,3,,4087389941,56,Center,,,,,,,du4sd3yhhb3avedd8yzjd6dey,L. Chamorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518152229,3,49,1,0,11,b9ecgxh884j2ugjrxwvpym192,1,16.8,87.8,2023-03-11T11:02:54.558Z,2023-03-11T11:55:59Z,,,,,,,,,,,,,,,,,,,,,,,,,aa93kg4nfvrpthvfkkofixwtm,Patri Ojeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518152253,4,50,1,0,14,b9ecgxh884j2ugjrxwvpym192,1,4.4,94.2,2023-03-11T11:02:57.852Z,2023-03-11T11:56:02Z,4087390069,285,,4087390161,233,7,4087390067,56,Back,,,,,,,,,,,,,,,,aa93kg4nfvrpthvfkkofixwtm,Patri Ojeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
