id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,keyPass,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2497075409,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-01-14T10:25:10.485Z,2023-01-14T10:57:37Z,3976322871,30,"epgai2aff40j82jb3gumaehka, 1dfho5ul0u10h5m7cmtmj5x7u, cfmly5uuomypp4t0pibgtfazu, 7dlyawb4x2lr5gjcz5b1y5ivp, 8vwiezkux2gxs99ziy7x69fu2, q3xvi1pbz5hmr6zw6np6v4yd, a0g0ldiol9fzw09gk5i9e15w4, 61ho0mi13ewpotj5udjt7mz2s, 2j37sn6v53zhgz2hf1q33gzdg, du0eybpvf5vcvtuj074x74jdg, 6lruud03b1so5uyjduuthtuj9, 1bvbnq69gxx0nciovzzf6o8dm, d2at1haixfnekibqj89y4nxed, 3u9vtcqa5td8weoufpzirruhg, 83wqrctlm3zpp10zmx1tjc9ka, c1ll2hqt71suy8bgwswpci9uy, 89zl8l8wouupdzgepnm1ogqhg, du4sd3yhhb3avedd8yzjd6dey, 9rk08avs1361jws1ibs5frl04",3976322879,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3976322881,194,6lruud03b1so5uyjduuthtuj9,3976362175,197,12185,3976322883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976322875,59,"13, 22, 21, 17, 2, 4, 8, 19, 9, 7, 14, 1, 3, 6, 10, 11, 12, 18, 27",3976322877,130,23,3976322873,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497076215,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-01-14T10:29:26.352Z,2023-01-14T11:07:31Z,3976327011,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3976327019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976363671,197,17819,3976363903,194,ez9in0ld6mrlrab7bi1kvuhd6,3976327015,130,7,3976327017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3976327009,30,"6d7hdegq9cbh7kr8sqvao1qt, 5yvzsnnawnxbki7rqnamwr3yt, d5i62fwuf8ohc8fcq3lxboiga, antfb8hyo1sn4o68itu4oi904, 99ej60g3qy5e1i6v62scse8yx, fge9gic869tnpk4tetnxuv4k, avhw3o6tm33ptddzgwfsqod4a, ez9in0ld6mrlrab7bi1kvuhd6, 5niwewtgzxf25d1q2ytxrlpsl, a6wwf7jl8eis7wvrhhwhdq3f9, ahmylmsg9wyiax33v6jwuj9qs, 4yoo22f8dgwz2n8fkqzoir8k4, 3rif0qvun4mmll1xf2qzykums, 5sxloac78uf7i1kuscy5qwlw5, 1sr39v8ooejvspbdo6fqpckyc, 52mkbnt2oveh76tfrlojocgyd, 2gbtp1lbsmi63pycn76g3u7tg, 4nkpo5caqdsdr7vbtfxwj95as, elysl00h0wh9zng8867gozt3o",3976327013,59,"24, 5, 15, 8, 4, 14, 11, 21, 6, 19, 7, 20, 2, 10, 12, 16, 26, 28, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497084903,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-01-14T11:00:41.652Z,2023-01-14T11:00:43Z,3976365559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497084897,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-01-14T11:00:41.652Z,2023-01-14T11:00:41Z,3976365547,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497084915,3,1,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,49.9,49.7,2023-01-14T11:00:41.752Z,2023-01-14T11:00:45Z,3976365599,212,12.1,3976365601,213,3.4,3976365603,279,S,3976365593,56,Back,3976365595,140,38.8,3976365597,141,44.8,,,,,,,a0g0ldiol9fzw09gk5i9e15w4,Miku Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497084925,4,1,1,0,3,7mk4va7b2p6tnv2xjxcgjy8h6,1,39.3,42.1,2023-01-14T11:00:44.994Z,2023-01-14T11:00:47Z,3976365651,141,61.5,3976365647,56,Back,3976365655,213,2.4,3976365653,212,19.1,3976365649,140,26.2,,,,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497084947,5,1,1,0,5,7mk4va7b2p6tnv2xjxcgjy8h6,1,26.1,60.9,2023-01-14T11:00:47.075Z,2023-01-14T11:00:51Z,3976365731,1,,3976365729,213,5.7,3976365721,56,Right,3976365725,141,8.3,3976365727,212,69.6,3976365723,140,83.0,3976365719,155,,,,,q3xvi1pbz5hmr6zw6np6v4yd,C. Sáez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497084949,6,61,1,0,9,7mk4va7b2p6tnv2xjxcgjy8h6,0,83.3,8.3,2023-01-14T11:00:51.346Z,2023-01-14T11:00:51Z,3976365735,56,Right,,,,,,,,,,,,,,,,,,,,,,2j37sn6v53zhgz2hf1q33gzdg,Sanadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497084971,3,12,1,0,10,e7p3lxg97gac51s71hotzi0a5,1,14,70.9,2023-01-14T11:00:52.390Z,2023-01-14T11:00:55Z,3976365801,141,74.4,3976365799,140,15.6,3976365805,213,1.0,3976365803,212,2.9,3976365797,56,Back,,,,,,,,,,d5i62fwuf8ohc8fcq3lxboiga,Esther Martín-Pozuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497084959,7,61,1,0,10,7mk4va7b2p6tnv2xjxcgjy8h6,1,83.3,8.3,2023-01-14T11:00:52.577Z,2023-01-14T11:00:52Z,3976365767,56,Right,,,,,,,,,,,,,,,,,,,,,,2j37sn6v53zhgz2hf1q33gzdg,Sanadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
