id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/13/value,assist
2495989147,1,34,16,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-01-08T16:10:36.117Z,2023-01-08T16:57:01Z,3970718331,197,17784,3970630457,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3970630463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970630465,194,d4gjsmv5dqgv9w2e115gh7kk5,3970630459,59,"1, 2, 23, 21, 14, 4, 22, 8, 10, 11, 20, 3, 5, 7, 9, 13, 15, 16, 18, 24",3970630461,130,8,3970630455,30,"6h41rdmhfs08723t23zgi5vjd, d4gjsmv5dqgv9w2e115gh7kk5, 10w88nr6r2nzxank4gv5gokbt, dlbgel5sg62n5z89ev1tkusph, 8tux0w5del0ggtozbon3x92lm, 245eszqeqx2xeair8h5n4z8b9, 4trjsb4uoasjj3jwr77rh0k16, 5nad4qgy5hlwfsm64mhkwadw5, 13hy7ggmnhfalmdqlbp6lzv11, dgkmt7f5k9oqruxzsi3x9em6t, 79gb1aba3b9e3bht7frq0lqp6, 4vk1yd7zqaqapuejahqx7zi09, 59k0w00mz9tbm2mehy6ix113p, cq38p3rul6qi2tpvr077v8n6y, evfl561yy3cwa51hwnme6mifp, 4rs6pmptx7w4moy8ks2vyrff9, a5b2mmssttscc0k5rss87lhey, 9k9f6c1xb7kfaq3siophz7ca1, cp37td3qaw8oyf3mznoh45o15, 47wzwvf5ksv7kdivj9ra96l0p",3970630467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495993413,1,34,16,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-01-08T16:21:10.999Z,2023-01-08T17:03:07Z,3970717075,197,3946,3970653237,59,"1, 16, 7, 4, 6, 5, 11, 20, 3, 9, 8, 13, 15, 18, 21, 22, 26, 27, 28, 32",3970653239,130,19,3970653241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970653243,194,77pobry4mbh5wojka1ikgty7e,3970653245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970653235,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3970653233,30,"77pobry4mbh5wojka1ikgty7e, 5z6z0sw5jlr432mdo2yu5riay, 5onfamqh0uteez2wtx463dknp, 51t40jr0wwgmuya85pnhjgx2i, z2pihtvpr5ei4ip9z9jtqn6x, 3iangrthyltpl31m4v1qkgn2t, cyqlcyzogla6wql5pms4i02d, 31q50ese977zfgiwi9bc1ehre, a88r8d1jd5r928pvskginyiqy, bpmtdn2uqnwhllfnm59ck6rit, 6msenows401fssj9jaih9g0a2, aietcywmok362027i2brpg4q1, 1g7gyw5fbuujomrqso7fzajxm, ergobfal6ny5w6xy1hsixrdhw, a4jf0e2bojp6n0cmd01zppsoa, e4glbrjataxggtxf953n1jsnp, 1zlt1xabh07byc3u8oid9gdn8, as46cuq3qee83uxgifxo0r88a, 1jvdg65bw5yns9j98jubcetqs, 24fopza4zrtm63pyjkl55beac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496006495,2,32,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-01-08T17:00:41.649Z,2023-01-08T17:00:41Z,3970723851,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496006503,3,32,1,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-01-08T17:00:41.649Z,2023-01-08T17:00:42Z,3970723905,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496006527,3,1,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,50.2,50,2023-01-08T17:00:41.749Z,2023-01-08T17:00:45Z,3970724031,212,15.2,3970724025,56,Back,3970724035,279,S,3970724033,213,3.1,3970724027,140,35.7,3970724029,141,50.6,,,,,,,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496006555,4,1,1,0,3,vaikl8nl7hdr4y9jj4jyb9ey,1,43.6,55.8,2023-01-08T17:00:45.269Z,2023-01-08T17:00:48Z,3970724153,213,1.6,3970724147,140,42.6,3970724149,141,89.3,3970724145,56,Back,3970724151,212,22.8,,,,,,,,,,dlbgel5sg62n5z89ev1tkusph,Claudia Zornoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496006581,5,1,1,0,6,vaikl8nl7hdr4y9jj4jyb9ey,1,44.5,93.9,2023-01-08T17:00:47.957Z,2023-01-08T17:00:51Z,3970724329,140,27.3,3970724333,212,23.1,3970724335,213,3.8,3970724327,56,Back,3970724331,141,72.7,,,,,,,,,,10w88nr6r2nzxank4gv5gokbt,S. Svava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496006593,6,1,1,0,9,vaikl8nl7hdr4y9jj4jyb9ey,1,32.2,70,2023-01-08T17:00:51.205Z,2023-01-08T17:00:53Z,3970724389,56,Back,3970724395,212,25.3,3970724393,141,32.8,3970724391,140,32.5,3970724397,213,4.7,,,,,,,,,,245eszqeqx2xeair8h5n4z8b9,Rocío Gálvez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496006609,7,1,1,0,11,vaikl8nl7hdr4y9jj4jyb9ey,1,33.7,33,2023-01-08T17:00:52.965Z,2023-01-08T17:00:56Z,3970724459,140,36.3,3970724465,213,4.9,3970724463,212,17.0,3970724457,56,Back,3970724461,141,8.3,,,,,,,,,,8tux0w5del0ggtozbon3x92lm,Kathellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496006617,8,1,1,0,14,vaikl8nl7hdr4y9jj4jyb9ey,1,37.8,5.3,2023-01-08T17:00:55.973Z,2023-01-08T17:00:58Z,3970724503,141,23.4,3970724505,212,16.5,3970724501,140,27.4,3970724499,56,Back,3970724507,213,2.3,,,,,,,,,,d4gjsmv5dqgv9w2e115gh7kk5,K. Robles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
