id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2526320783,1,34,16,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-04-01T09:17:55.020Z,2023-04-01T10:47:22Z,4151450859,59,"36, 5, 20, 12, 4, 19, 11, 9, 10, 7, 6, 8, 14, 16, 18, 21, 22, 25, 35",4151485831,194,zuec10u63781iv5rojm31yzu,4151450857,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4151450863,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4151450865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151485693,197,3945,4151450855,30,"6uttq0cpsnicezpcqy36p7r4k, e7e86fnm9fyy937yep9pocbft, 3ws5zg8wy6j86cr8yrqxnsx9m, 4by0xo4xinb0m8nziofw0g3bp, zuec10u63781iv5rojm31yzu, 1ite4628zwl6kanllmr7qb1zp, 25u358p365rnbnt0cptnyt3h1, 9ld622ld2el1ql9vy2akchfit, eu6nudazhvggen5s7abc46bpx, 27oce8op8b7a6fmyp8utoz5gq, 1z29kbiufzx7u32mh1fvy1rs9, 4duzcq6r3j9ejv5b6koygle22, 13mb0sv3j53kze8l7ehr4izmd, ybmp63ubo0wcvjut4ljomgru, bu0u419xeqlkwvpsrx6a0ma51, 1szjchjw88hnlrwejnia4yyuh, 7n5a86810eorw5ugrdkognd62, b21lh284pf59feun9ktzfmc8a, 453st4qm4pnm6rrtzpm5jl2c4",4151450861,130,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526323543,1,34,16,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-04-01T09:29:53.216Z,2023-04-01T10:01:23Z,4151463535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151463533,130,19,4151463529,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4151463527,30,"77pobry4mbh5wojka1ikgty7e, 5z6z0sw5jlr432mdo2yu5riay, 6msenows401fssj9jaih9g0a2, 3iangrthyltpl31m4v1qkgn2t, z2pihtvpr5ei4ip9z9jtqn6x, 51t40jr0wwgmuya85pnhjgx2i, 5onfamqh0uteez2wtx463dknp, 31q50ese977zfgiwi9bc1ehre, a88r8d1jd5r928pvskginyiqy, bpmtdn2uqnwhllfnm59ck6rit, cyqlcyzogla6wql5pms4i02d, aietcywmok362027i2brpg4q1, 1g7gyw5fbuujomrqso7fzajxm, ergobfal6ny5w6xy1hsixrdhw, a4jf0e2bojp6n0cmd01zppsoa, e4glbrjataxggtxf953n1jsnp, ddq90t1cfklvuhk0xkbydfsut, 1zlt1xabh07byc3u8oid9gdn8, 1jvdg65bw5yns9j98jubcetqs, 24fopza4zrtm63pyjkl55beac",4151463537,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151463531,59,"1, 16, 8, 5, 6, 4, 7, 20, 3, 9, 11, 13, 15, 18, 21, 22, 24, 26, 28, 32",4151485919,197,3946,4151485917,194,77pobry4mbh5wojka1ikgty7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328323,2,32,1,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2023-04-01T10:02:19.356Z,2023-04-01T10:02:19Z,4151486615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328327,2,32,1,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-04-01T10:02:19.356Z,2023-04-01T10:02:21Z,4151486619,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328343,3,1,1,0,0,9ns699xp353c84r1g6epazycl,1,49.8,50,2023-04-01T10:02:19.456Z,2023-04-01T10:02:22Z,4151486681,212,14.4,4151486675,56,Back,4151486683,213,3.4,4151486685,279,S,4151486677,140,36.5,4151486679,141,44.6,,,,,,,eu6nudazhvggen5s7abc46bpx,Alba Redondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328357,4,1,1,0,2,9ns699xp353c84r1g6epazycl,1,37.4,44.5,2023-04-01T10:02:22.201Z,2023-04-01T10:02:24Z,4151486761,213,2.2,4151486753,56,Back,4151486759,212,18.3,4151486757,141,66.6,4151486755,140,27.5,,,,,,,,,,4by0xo4xinb0m8nziofw0g3bp,Leire Baños,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328371,5,1,1,0,4,9ns699xp353c84r1g6epazycl,1,29.5,67.5,2023-04-01T10:02:24.305Z,2023-04-01T10:02:27Z,4151486835,141,34.9,4151486837,212,22.3,4151486831,56,Back,4151486839,213,4.6,4151486833,140,26.8,,,,,,,,,,1ite4628zwl6kanllmr7qb1zp,V. Calligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328399,6,1,1,0,7,9ns699xp353c84r1g6epazycl,1,26.9,34.8,2023-04-01T10:02:27.121Z,2023-04-01T10:02:33Z,4151486981,213,5.4,4151486973,56,Back,4151486979,212,19.5,4151486977,141,11.9,4151486975,140,38.0,,,,,,,,,,zuec10u63781iv5rojm31yzu,María Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328417,7,1,1,0,13,9ns699xp353c84r1g6epazycl,1,57.1,14,2023-04-01T10:02:32.929Z,2023-04-01T10:02:36Z,4151487041,56,Center,4151487047,212,42.6,4151487051,1,,4151487049,213,1.0,4151487039,155,,4151487045,141,67.5,4151487043,140,78.3,,,,e7e86fnm9fyy937yep9pocbft,Antônia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328423,8,1,1,0,16,9ns699xp353c84r1g6epazycl,0,78.5,67,2023-04-01T10:02:36.042Z,2023-04-01T10:02:38Z,4151487077,140,86.5,4151487075,56,Left,4151487079,141,84.5,4151487073,3,,4151487083,213,1.0,4151487081,212,14.6,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
