id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2489016339,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2022-12-04T10:20:49.744Z,2022-12-04T11:06:41Z,3933677801,59,"1, 22, 4, 14, 3, 2, 17, 6, 9, 11, 7, 8, 18, 19, 20, 21, 13, 27",3933677799,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3933709445,194,6lruud03b1so5uyjduuthtuj9,3933677805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3933707689,197,17635,3933677803,130,4,3933677797,30,"1bvbnq69gxx0nciovzzf6o8dm, 1dfho5ul0u10h5m7cmtmj5x7u, q3xvi1pbz5hmr6zw6np6v4yd, 6lruud03b1so5uyjduuthtuj9, d2at1haixfnekibqj89y4nxed, 8vwiezkux2gxs99ziy7x69fu2, 7dlyawb4x2lr5gjcz5b1y5ivp, 3u9vtcqa5td8weoufpzirruhg, 2j37sn6v53zhgz2hf1q33gzdg, c1ll2hqt71suy8bgwswpci9uy, du0eybpvf5vcvtuj074x74jdg, a0g0ldiol9fzw09gk5i9e15w4, du4sd3yhhb3avedd8yzjd6dey, 61ho0mi13ewpotj5udjt7mz2s, 4ts1xba21nxqu8shbfzcvj27d, cfmly5uuomypp4t0pibgtfazu, epgai2aff40j82jb3gumaehka, 9rk08avs1361jws1ibs5frl04",3933677807,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489016443,1,34,16,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2022-12-04T10:21:19.286Z,2022-12-04T11:07:14Z,3933678375,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3933708197,194,470znxtt0sf52aav1o8s1hkdm,3933678371,130,8,3933678367,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3933678365,30,"16sc4hlsrq610rhfzi6m2squh, 8hmntjeezmx4ch9yeti4x9y50, 8tmzjcaglix0qj8zy7yp8w7o, 8fswi9ldpiuemw0y922tf7dud, 6ufssidf65zo52ru9q644hq3u, aa93kg4nfvrpthvfkkofixwtm, 5wubhrq7ftqx0ryckwbrdxc5x, 470znxtt0sf52aav1o8s1hkdm, 67nqgmgyb28btwrkdykjitylm, 67kef1hzytkax2iyeg2il5nth, 1vcx3sprpnorl4q43abs8iuei, 2e2l9v7d7vumbpdrtcfh40lqs, 3p0v6us6uzsbzoq4848n9i39w, eitv6t0xve84dgqlxutee0ys4, 6zyach9kkb2p1fuih4dm5ow7o, c60g2qtl13gydk9p2pqbbnsb8, cyvjdizn0kqcocblmtvjfvzvu, bhkg59znnsfeebgusq1jqasr8",3933678373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3933678369,59,"13, 19, 4, 23, 14, 15, 20, 16, 8, 11, 9, 7, 24, 12, 17, 18, 21, 25",3933728531,197,3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489027289,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2022-12-04T11:01:34.606Z,2022-12-04T11:01:37Z,3933734815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489027285,2,32,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2022-12-04T11:01:34.606Z,2022-12-04T11:01:34Z,3933734793,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489027297,3,1,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,50,50,2022-12-04T11:01:34.706Z,2022-12-04T11:01:53Z,3933734851,141,50.6,3933734849,140,38.2,3933734855,213,3.1,3933734857,279,S,3933734853,212,12.4,3933734847,56,Back,,,,,,,c1ll2hqt71suy8bgwswpci9uy,Carla Armengol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489027317,4,1,1,0,2,7mk4va7b2p6tnv2xjxcgjy8h6,1,38.3,50.6,2022-12-04T11:01:37.331Z,2022-12-04T11:01:38Z,3933734975,212,7.4,3933734971,140,32.7,3933734977,213,2.5,3933734973,141,57.2,3933734969,56,Back,,,,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489027323,5,1,1,0,3,7mk4va7b2p6tnv2xjxcgjy8h6,0,32.7,57.3,2022-12-04T11:01:38.468Z,2022-12-04T11:01:40Z,3933735019,56,Center,3933735029,1,,3933735023,141,40.6,3933735021,140,71.7,3933735025,212,42.5,3933735027,213,6.0,3933735017,155,,,,,8vwiezkux2gxs99ziy7x69fu2,Elba Vergés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489027343,3,1,1,0,5,b9ecgxh884j2ugjrxwvpym192,0,30.2,51,2022-12-04T11:01:40.505Z,2022-12-04T11:01:45Z,3933735159,141,53.8,3933735155,56,Back,3933735163,213,2.8,3933735157,140,24.9,3933735165,1,,3933735153,157,,3933735161,212,5.9,,,,aa93kg4nfvrpthvfkkofixwtm,Patri Ojeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489027373,6,61,1,0,9,7mk4va7b2p6tnv2xjxcgjy8h6,0,81.8,44.6,2022-12-04T11:01:43.918Z,2022-12-04T11:02:18Z,3933735351,56,Center,,,,,,,,,,,,,,,,,,,,,,2j37sn6v53zhgz2hf1q33gzdg,Sanadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489027367,4,49,1,0,11,b9ecgxh884j2ugjrxwvpym192,1,13.8,61.4,2022-12-04T11:01:46.489Z,2022-12-04T11:01:46Z,,,,,,,,,,,,,,,,,,,,,,,,,aa93kg4nfvrpthvfkkofixwtm,Patri Ojeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
