id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value
2516088165,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-03-05T16:36:17.561Z,2023-03-05T17:02:32Z,4076384693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4076384695,59,"1, 11, 21, 20, 4, 19, 7, 15, 18, 10, 16, 2, 8, 9, 14, 23, 24, 27",4076384705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076384703,197,12189,4076384699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4076384697,130,4,4076384691,30,"5zhcjr5kxyxd2jmq1wel3ug9h, 5xlqh4i9zb5daj4khs1mbbxpm, ev8an510kk4nb6dabnsa962tx, 1nhju64j5loikn6t0j9m6au39, 24bz5vlm76nrqcnblyxfkt8x6, 2dsgmfs9crnzz3425si3m9uj9, 5kio1iodx7cq9i9p9kql1nuuh, 1cfjcoum4z07r1p3uyy2p9x49, 3z91j68ij26ar4vifyqyp34k, et6offb5y91ch6mlol3dwcd0p, 4ngzyppqh4iaqqy0vrynwz66s, 63atfboq056luh7gzplxooyui, 8i42x5mpk5bpm1i0gvgubx9pm, 67i9jwkech61ihpglnmpzygvd, 31mhclmjwpn7zik6nphr4pwtm, 35uen906vvtndlnv3hrm5zo8a, hf67c0ip1chljjy1udsjpt2i, 4a8y7vdsg6pz1nxnmu7wcqe50",4076384701,194,5xlqh4i9zb5daj4khs1mbbxpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516091761,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-03-05T16:40:15.355Z,2023-03-05T18:36:22Z,4076403713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076403707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076403701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4076403709,197,16717,4076403699,30,"6d7hdegq9cbh7kr8sqvao1qt, 5yvzsnnawnxbki7rqnamwr3yt, antfb8hyo1sn4o68itu4oi904, ez9in0ld6mrlrab7bi1kvuhd6, 99ej60g3qy5e1i6v62scse8yx, fge9gic869tnpk4tetnxuv4k, avhw3o6tm33ptddzgwfsqod4a, 1sr39v8ooejvspbdo6fqpckyc, 5sxloac78uf7i1kuscy5qwlw5, 25b3sxqo1ujqqc2pef3iwqnoq, ahmylmsg9wyiax33v6jwuj9qs, 9806puntyqdx2m1gp55p2qbfu, ccvlwuog9vngbz1ni809nc639, 3rif0qvun4mmll1xf2qzykums, 52mkbnt2oveh76tfrlojocgyd, a6wwf7jl8eis7wvrhhwhdq3f9, aer03dwlu8hpnejk4uufpxisq, 8k3xs4havqvd53pxchucb2vbo, 4nkpo5caqdsdr7vbtfxwj95as, 3rnmjtzlkasni6q9wb62hj7kk",4076403705,130,7,4076482705,194,5sxloac78uf7i1kuscy5qwlw5,4076403703,59,"24, 5, 8, 21, 4, 14, 11, 12, 10, 17, 7, 13, 22, 2, 16, 19, 23, 27, 28, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107693,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-03-05T17:00:30.757Z,2023-03-05T17:00:33Z,4076489005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107679,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-03-05T17:00:30.757Z,2023-03-05T17:00:30Z,4076488969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107729,3,1,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,50.1,49.7,2023-03-05T17:00:30.857Z,2023-03-05T17:00:35Z,4076489179,279,S,4076489169,56,Back,4076489171,140,35.7,4076489177,213,3.1,4076489173,141,50.3,4076489175,212,15.1,,,,,,,5sxloac78uf7i1kuscy5qwlw5,Mari Paz Vilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107739,4,1,1,0,4,e7p3lxg97gac51s71hotzi0a5,0,33.3,46,2023-03-05T17:00:35.395Z,2023-03-05T17:00:36Z,4076489225,140,64.3,4076489227,141,29.5,4076489221,155,,4076489223,56,Center,4076489229,212,34.4,4076489233,1,,4076489231,213,6.0,,,,ez9in0ld6mrlrab7bi1kvuhd6,Y. Mrabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107741,3,61,1,0,6,djz9e25b9zuiu5rmv1zha3i6f,1,35.6,71.5,2023-03-05T17:00:37.506Z,2023-03-05T17:00:37Z,4076489253,56,Back,,,,,,,,,,,,,,,,,,,,,,1nhju64j5loikn6t0j9m6au39,Leles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107751,5,1,1,0,7,e7p3lxg97gac51s71hotzi0a5,1,59.8,22.1,2023-03-05T17:00:38.079Z,2023-03-05T17:00:39Z,4076489281,212,13.2,4076489275,56,Right,4076489283,213,6.2,4076489279,141,20.3,4076489277,140,72.3,,,,,,,,,,1sr39v8ooejvspbdo6fqpckyc,N. Muth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107761,6,1,1,0,8,e7p3lxg97gac51s71hotzi0a5,1,71.8,31.4,2023-03-05T17:00:38.979Z,2023-03-05T17:49:18Z,4076489337,213,1.6,4076489335,212,6.3,4076489331,140,71.8,4076489333,141,40.6,4076489329,56,Center,,,,,,,,,,avhw3o6tm33ptddzgwfsqod4a,Elena Julve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516107785,7,3,1,0,11,e7p3lxg97gac51s71hotzi0a5,0,70.8,33.2,2023-03-05T17:00:41.965Z,2023-03-05T17:49:50Z,4076489489,56,Center,4076489491,286,,4076664849,233,4,,,,,,,,,,,,,,,,5sxloac78uf7i1kuscy5qwlw5,Mari Paz Vilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
