id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist
2497712303,1,34,16,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-01-15T14:13:01.033Z,2023-01-15T15:04:53Z,3979705177,59,"1, 22, 23, 14, 5, 4, 11, 21, 10, 20, 8, 2, 3, 7, 9, 13, 15, 16, 18, 24, 27, 28",3979705183,194,59k0w00mz9tbm2mehy6ix113p,3979705175,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979880113,197,8978,3979705181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979705179,130,19,3979705185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979705173,30,"6h41rdmhfs08723t23zgi5vjd, 4trjsb4uoasjj3jwr77rh0k16, 10w88nr6r2nzxank4gv5gokbt, 8tux0w5del0ggtozbon3x92lm, 59k0w00mz9tbm2mehy6ix113p, 245eszqeqx2xeair8h5n4z8b9, dgkmt7f5k9oqruxzsi3x9em6t, dlbgel5sg62n5z89ev1tkusph, 13hy7ggmnhfalmdqlbp6lzv11, 79gb1aba3b9e3bht7frq0lqp6, 5nad4qgy5hlwfsm64mhkwadw5, d4gjsmv5dqgv9w2e115gh7kk5, 4vk1yd7zqaqapuejahqx7zi09, cq38p3rul6qi2tpvr077v8n6y, evfl561yy3cwa51hwnme6mifp, 4rs6pmptx7w4moy8ks2vyrff9, a5b2mmssttscc0k5rss87lhey, 9k9f6c1xb7kfaq3siophz7ca1, cp37td3qaw8oyf3mznoh45o15, 47wzwvf5ksv7kdivj9ra96l0p, 2zjmvlq2y7op9hex0l24pz9xw, sajxpypxygu608bx3j02yivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497722701,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-01-15T14:27:16.808Z,2023-01-15T15:22:49Z,3979762785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3979762787,194,5kio1iodx7cq9i9p9kql1nuuh,3979762779,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3979762777,30,"5zhcjr5kxyxd2jmq1wel3ug9h, 24bz5vlm76nrqcnblyxfkt8x6, 4ngzyppqh4iaqqy0vrynwz66s, 5kio1iodx7cq9i9p9kql1nuuh, 2dsgmfs9crnzz3425si3m9uj9, ev8an510kk4nb6dabnsa962tx, 1cfjcoum4z07r1p3uyy2p9x49, 1nhju64j5loikn6t0j9m6au39, cgunamq8fn3bre2d3cimwh6cq, 9742qffzdwiz9y3y7et40863t, 8i42x5mpk5bpm1i0gvgubx9pm, 67i9jwkech61ihpglnmpzygvd, 5xlqh4i9zb5daj4khs1mbbxpm, 31mhclmjwpn7zik6nphr4pwtm, 3z91j68ij26ar4vifyqyp34k, ent5lfgq42d5ngi3ebyy7p1w5, 35uen906vvtndlnv3hrm5zo8a, hf67c0ip1chljjy1udsjpt2i, 4su6y0sg2fw9vvi8y5cjazk0k",3979762783,130,4,3979762789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979762781,59,"1, 4, 16, 7, 19, 21, 15, 20, 28, 12, 8, 9, 11, 14, 18, 22, 23, 24, 25",3979880885,197,12190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743275,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-01-15T15:00:43.461Z,2023-01-15T15:00:43Z,3979882361,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743279,2,32,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2023-01-15T15:00:43.461Z,2023-01-15T15:00:45Z,3979882381,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743281,3,1,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,50,50,2023-01-15T15:00:43.561Z,2023-01-15T15:40:53Z,3979882387,141,44.9,3979882385,140,34.4,3979882391,213,3.4,3979882393,279,S,3979882383,56,Back,3979882389,212,16.7,,,,,,,79gb1aba3b9e3bht7frq0lqp6,N. Feller,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743323,4,1,1,0,2,vaikl8nl7hdr4y9jj4jyb9ey,1,34.4,44.9,2023-01-15T15:00:46.064Z,2023-01-15T15:00:51Z,3979882691,140,34.2,3979882689,56,Back,3979882693,141,15.9,3979882695,212,19.7,3979882697,213,4.7,,,,,,,,,,dlbgel5sg62n5z89ev1tkusph,Claudia Zornoza,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743335,5,1,1,0,7,vaikl8nl7hdr4y9jj4jyb9ey,1,36.2,19.4,2023-01-15T15:00:51.424Z,2023-01-15T15:47:32Z,3979882767,212,33.4,3979882765,141,68.5,3979882761,56,Back,3979882771,1,,3979882769,213,1.6,3979882763,140,34.9,,,,,,,59k0w00mz9tbm2mehy6ix113p,Ivana Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743349,6,1,1,0,9,vaikl8nl7hdr4y9jj4jyb9ey,1,40.6,71.8,2023-01-15T15:00:53.008Z,2023-01-15T15:00:55Z,3979882859,213,0.1,3979882853,140,62.4,3979882857,212,23.1,3979882855,141,76.6,3979882851,56,Center,,,,,,,,,,245eszqeqx2xeair8h5n4z8b9,Rocío Gálvez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743351,7,1,1,0,11,vaikl8nl7hdr4y9jj4jyb9ey,0,56.1,78.4,2023-01-15T15:00:55.105Z,2023-01-15T15:01:00Z,3979882863,56,Left,3979882867,140,70.2,3979882875,212,17.3,3979882879,213,0.5,3979882871,141,91.7,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743355,3,8,1,0,12,djz9e25b9zuiu5rmv1zha3i6f,1,24.7,11.9,2023-01-15T15:00:55.979Z,2023-01-15T15:00:56Z,3979882885,56,Back,,,,,,,,,,,,,,,,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,
