id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2481898471,1,34,16,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2022-11-05T16:27:21.549Z,2022-11-05T17:17:23Z,3896353319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896656513,197,3971,3896353307,30,"16sc4hlsrq610rhfzi6m2squh, 6ufssidf65zo52ru9q644hq3u, 8tmzjcaglix0qj8zy7yp8w7o, 9s5jdwjyk9klobfdt4wwt5jvt, auqzv0poi2q7tcardivb21m8l, aa93kg4nfvrpthvfkkofixwtm, 67kef1hzytkax2iyeg2il5nth, 470znxtt0sf52aav1o8s1hkdm, 67nqgmgyb28btwrkdykjitylm, f6dtaackj9nd3ngnvs5nq0o9, 5wubhrq7ftqx0ryckwbrdxc5x, dri6ywllr5aapmost881p4991, 1vcx3sprpnorl4q43abs8iuei, eitv6t0xve84dgqlxutee0ys4, 8hmntjeezmx4ch9yeti4x9y50, cyvjdizn0kqcocblmtvjfvzvu, 8fswi9ldpiuemw0y922tf7dud",3896353317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3896353311,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3896426089,194,470znxtt0sf52aav1o8s1hkdm,3896353315,130,2,3896353313,59,"13, 14, 4, 5, 3, 15, 11, 16, 8, 10, 20, 1, 9, 12, 19, 21, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481910607,1,34,16,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2022-11-05T16:36:12.876Z,2022-11-05T17:16:51Z,3896653513,197,3945,3896420507,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3896420517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896420515,194,eu6nudazhvggen5s7abc46bpx,3896420511,130,23,3896420513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896420505,30,"d1iaa35qeww3me6qcyisvlsh6, e7e86fnm9fyy937yep9pocbft, 3ws5zg8wy6j86cr8yrqxnsx9m, 4duzcq6r3j9ejv5b6koygle22, 1ite4628zwl6kanllmr7qb1zp, 9jxxujnb2eoo7avj278ppnqvp, 4by0xo4xinb0m8nziofw0g3bp, 9ld622ld2el1ql9vy2akchfit, 27oce8op8b7a6fmyp8utoz5gq, eu6nudazhvggen5s7abc46bpx, 25u358p365rnbnt0cptnyt3h1, zuec10u63781iv5rojm31yzu, 1z29kbiufzx7u32mh1fvy1rs9, 13mb0sv3j53kze8l7ehr4izmd, ybmp63ubo0wcvjut4ljomgru, 52ic0j91dhgr0vud2agr4ev2t, 1szjchjw88hnlrwejnia4yyuh, 7n5a86810eorw5ugrdkognd62, 44j03m9xpbhjuxmqz6vge9y0a, 6uttq0cpsnicezpcqy36p7r4k",3896420509,59,"1, 5, 20, 8, 19, 3, 12, 9, 7, 10, 11, 4, 6, 14, 16, 17, 21, 22, 23, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481955611,2,32,1,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2022-11-05T17:16:11.662Z,2022-11-05T17:16:11Z,3896664895,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481955625,2,32,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2022-11-05T17:16:11.662Z,2022-11-05T17:16:12Z,3896664969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481955665,3,1,1,0,0,9ns699xp353c84r1g6epazycl,1,50.1,50.1,2022-11-05T17:16:11.762Z,2022-11-05T17:16:16Z,3896665211,279,S,3896665203,140,31.4,3896665205,141,57.8,3896665201,56,Back,3896665207,212,20.3,3896665209,213,2.9,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481955691,4,1,1,0,4,9ns699xp353c84r1g6epazycl,1,31.4,57.8,2022-11-05T17:16:16.522Z,2022-11-05T17:16:25Z,3896665373,213,4.5,3896665365,141,40.3,3896665363,140,29.4,3896665369,212,12.1,3896665359,56,Back,,,,,,,,,,4duzcq6r3j9ejv5b6koygle22,Silvia Lloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481955737,5,1,1,0,6,9ns699xp353c84r1g6epazycl,1,29.4,40.7,2022-11-05T17:16:18.460Z,2022-11-05T17:16:22Z,3896665617,141,72.3,3896665619,212,21.6,3896665613,56,Back,3896665615,140,27.6,3896665621,213,1.7,,,,,,,,,,1ite4628zwl6kanllmr7qb1zp,V. Calligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481955793,6,1,1,0,10,9ns699xp353c84r1g6epazycl,1,28.1,71.4,2022-11-05T17:16:21.980Z,2022-11-05T17:16:25Z,3896665849,141,36.9,3896665853,213,4.9,3896665851,212,23.8,3896665847,140,32.0,3896665845,56,Back,,,,,,,,,,9jxxujnb2eoo7avj278ppnqvp,Núria Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481955835,7,1,1,0,15,9ns699xp353c84r1g6epazycl,1,31.9,30.9,2022-11-05T17:16:26.828Z,2022-11-05T17:16:27Z,3896666037,141,6.2,3896666035,140,45.5,3896666041,213,5.4,3896666033,56,Back,3896666039,212,22.0,,,,,,,,,,1ite4628zwl6kanllmr7qb1zp,V. Calligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481955861,8,1,1,0,16,9ns699xp353c84r1g6epazycl,1,46,5.8,2022-11-05T17:16:27.820Z,2022-11-05T17:16:29Z,3896666197,141,1.6,3896666193,56,Right,3896666201,213,6.0,3896666195,140,56.6,3896666199,212,11.5,,,,,,,,,,4by0xo4xinb0m8nziofw0g3bp,Leire Baños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
