id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2482616789,1,34,16,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2022-11-06T16:34:18.164Z,2022-11-06T17:36:47Z,3900146951,30,"6h41rdmhfs08723t23zgi5vjd, cp37td3qaw8oyf3mznoh45o15, 10w88nr6r2nzxank4gv5gokbt, 7l3val0z7xwpaptf5ebgimnyt, 8tux0w5del0ggtozbon3x92lm, 245eszqeqx2xeair8h5n4z8b9, dgkmt7f5k9oqruxzsi3x9em6t, 4vk1yd7zqaqapuejahqx7zi09, 13hy7ggmnhfalmdqlbp6lzv11, dlbgel5sg62n5z89ev1tkusph, 4trjsb4uoasjj3jwr77rh0k16, d4gjsmv5dqgv9w2e115gh7kk5, 59k0w00mz9tbm2mehy6ix113p, cq38p3rul6qi2tpvr077v8n6y, 5nad4qgy5hlwfsm64mhkwadw5, evfl561yy3cwa51hwnme6mifp, uw9iyklqljuminu89utfq295, 4rs6pmptx7w4moy8ks2vyrff9, a5b2mmssttscc0k5rss87lhey, 9k9f6c1xb7kfaq3siophz7ca1, 47wzwvf5ksv7kdivj9ra96l0p, sajxpypxygu608bx3j02yivo",3900441683,197,8978,3900146953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3900146959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900146957,130,8,3900146961,194,6h41rdmhfs08723t23zgi5vjd,3900146955,59,"1, 18, 23, 6, 14, 4, 11, 3, 10, 21, 22, 2, 5, 7, 8, 9, 12, 13, 15, 16, 24, 28",3900146963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482621303,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2022-11-06T16:38:20.677Z,2022-11-06T17:37:55Z,3900171539,130,4,3900447889,194,4n6mnhjzt6zpicfea3ym678id,3900171533,30,"11so3nfejun31ajhmqjlwapqt, 1dg7whnmk3nb1adw7n8a7nnbp, 1vqpa944d79cnljfbjb8yjlcl, 8h7r4d4z2gjne58xwu3koiok5, bgzh3zwl99bpnnpj37jn4dmtx, 4n6mnhjzt6zpicfea3ym678id, 5ovqn6llocczhae9n1kzj5nf9, 22zrashyijuh9pnjovqpyl8lx, dzhvgrdkl4nuj8z4fd9to0ag9, 9gdocwx006j6wyz4mnhzgzydx, aib5wgtlgl48jaezcguoxkmp5, 5h9k65zukry196snla3xgmh91, 40wxai4gm0pdry6545i5c68ve, c1r1tmscj963olp4yo8kedqdx, f0cwpq45aa7b5de10j9skw44p, cvy1q6gtx1gs9ddemdpcf8ded, 2qfg4adqsjv2qmt9up7iq2t7u, 7mehm5v7egyc1r4qioexklbmc, 293y2r9th3zox13comwm05vdg, 40jps4rajqmy3werl8t3uzcwk",3900171541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900171535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3900171543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900171537,59,"1, 15, 16, 21, 2, 4, 14, 12, 18, 7, 6, 8, 17, 20, 22, 23, 24, 30, 33, 27",3900447891,197,17519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482638959,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2022-11-06T16:58:02.640Z,2022-11-06T16:58:23Z,3900267677,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482639033,2,32,1,0,0,vaikl8nl7hdr4y9jj4jyb9ey,1,0,0,2022-11-06T16:58:02.640Z,2022-11-06T16:58:24Z,3900268073,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482648295,96,1,1,0,1,bop6aslxmwvzsapdxsw3xbvfg,1,49.9,50.4,2022-11-06T16:58:03.995Z,2022-11-06T17:09:54Z,3900318353,212,7.2,3900318347,56,Back,3900318351,141,54.8,3900318619,279,S,3900318349,140,43.7,3900318355,213,2.7,,,,,,,dzhvgrdkl4nuj8z4fd9to0ag9,Geyse Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482648471,97,1,1,0,2,bop6aslxmwvzsapdxsw3xbvfg,1,42.8,53.6,2022-11-06T16:58:05.386Z,2022-11-06T17:10:00Z,3900319289,141,60.6,3900319285,56,Back,3900319293,213,1.0,3900319287,140,45.5,3900319291,212,5.5,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482677675,435,1,1,0,3,bop6aslxmwvzsapdxsw3xbvfg,1,40.2,58.7,2022-11-06T16:58:05.640Z,2022-11-06T17:44:30Z,3900480891,213,2.7,3900480887,141,67.8,3900480883,56,Back,3900480889,212,13.5,3900480885,140,28.8,,,,,,,,,,22zrashyijuh9pnjovqpyl8lx,Patri Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482677795,436,1,1,0,6,bop6aslxmwvzsapdxsw3xbvfg,1,31.3,71.2,2022-11-06T16:58:08.640Z,2022-11-06T17:44:38Z,3900481593,56,Back,3900481597,141,95.4,3900481599,212,17.4,3900481601,213,1.2,3900481595,140,36.6,,,,,,,,,,4n6mnhjzt6zpicfea3ym678id,Mapi León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482677899,437,1,1,0,9,bop6aslxmwvzsapdxsw3xbvfg,1,38.1,94.8,2022-11-06T16:58:11.640Z,2022-11-06T17:44:48Z,3900482319,212,27.5,3900482321,213,6.0,3900482313,56,Left,3900482311,155,,3900482315,140,63.2,3900482317,141,83.0,,,,,,,1vqpa944d79cnljfbjb8yjlcl,F. Rolfö,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482677989,438,61,1,0,12,bop6aslxmwvzsapdxsw3xbvfg,0,64,82.9,2022-11-06T16:58:14.640Z,2022-11-06T17:44:55Z,3900482819,56,Left,,,,,,,,,,,,,,,,,,,,,,dzhvgrdkl4nuj8z4fd9to0ag9,Geyse Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
