id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2502138485,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-01-29T16:22:37.032Z,2023-01-29T17:04:49Z,4002878967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002878957,30,"8jok7wopda70yus7gj5qwi1nt, 982xo55a6ehu6960fxwr3bfje, 5ic26p6vixiy9kqtxniuh9zh1, 42t82kh0hqfa7h92x1ujdz97u, 9le3udqhtfsbnlr6py67cj71m, c7phsuwshglgu1nud007agqnd, 4wq471cuusdudbev0bhruq4bu, 80bmdjixjy34wx3e5fb8re961, eno0e1nmkn4ts5yy103k7inzd, 3rob14yal0zrzxj2tdpp4sewa, aoy956n72pya0cc6bqj5x736x, 7yjvzelaq5iir99b4631uiyg9, yay5mq8trvoxv9mwm4mqzn8q, cfjrwsqj3ktavvjte6sddgmi, 5ql8n3lw656v4i4wk74cselm1, buqygjztmnvmul49w3grzuo5x, 1au0af90j09ol6827vodhg1k9, cndbae3p3ag0t2qpt22wafo8a, dc80qat3wirccbux02od5ogyd, f20f6etew7qc0bgwp7j1bgyne",4003013767,194,42t82kh0hqfa7h92x1ujdz97u,4002878961,59,"1, 16, 23, 22, 4, 3, 11, 14, 8, 6, 17, 13, 24, 2, 31, 10, 12, 19, 20, 21",4003009557,197,13820,4002878965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002878963,130,11,4002878959,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502138807,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-01-29T16:23:07.132Z,2023-01-29T17:04:16Z,4002899807,197,12936,4002880595,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002880593,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4002880585,30,"11so3nfejun31ajhmqjlwapqt, 1dg7whnmk3nb1adw7n8a7nnbp, 1vqpa944d79cnljfbjb8yjlcl, 22zrashyijuh9pnjovqpyl8lx, bgzh3zwl99bpnnpj37jn4dmtx, 4n6mnhjzt6zpicfea3ym678id, 5ovqn6llocczhae9n1kzj5nf9, aib5wgtlgl48jaezcguoxkmp5, c1r1tmscj963olp4yo8kedqdx, 9gdocwx006j6wyz4mnhzgzydx, 6291bj0xqq1w2631bajrpeb4l, 3kfxvwa38a7oq0d126jm4o9ka, 5h9k65zukry196snla3xgmh91, dzhvgrdkl4nuj8z4fd9to0ag9, 8h7r4d4z2gjne58xwu3koiok5, f0cwpq45aa7b5de10j9skw44p, 2qfg4adqsjv2qmt9up7iq2t7u, enc694gvlgycx72bhat5f7wbu, 40jps4rajqmy3werl8t3uzcwk",4002880587,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4002880591,130,4,4002880589,59,"1, 15, 16, 12, 2, 4, 14, 6, 20, 7, 9, 3, 8, 18, 21, 22, 24, 25, 27",4003015321,194,11so3nfejun31ajhmqjlwapqt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502164923,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-01-29T17:00:53.106Z,2023-01-29T17:00:53Z,4003017755,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502164903,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-01-29T17:00:53.106Z,2023-01-29T17:00:53Z,4003017687,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502202343,553,43,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-01-29T17:00:53.106Z,2023-01-29T17:51:56Z,4003215285,141,47.0,4003215283,140,100.0,4003215289,213,5.7,4003215291,1,0,4003215281,56,Center,4003224649,144,1,4003215287,212,0.4,4003215279,157,0,5ovqn6llocczhae9n1kzj5nf9,Aitana Bonmatí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502164969,3,1,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,49.9,50.4,2023-01-29T17:00:53.206Z,2023-01-29T17:00:58Z,4003017991,140,27.0,4003017997,212,24.1,4003017987,56,Back,4003018001,279,S,4003017999,213,3.1,4003017995,141,52.8,,,,,,,c1r1tmscj963olp4yo8kedqdx,A. Oshoala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502164975,4,1,1,0,5,bop6aslxmwvzsapdxsw3xbvfg,1,26.8,51.8,2023-01-29T17:00:58.118Z,2023-01-29T17:00:59Z,4003018055,56,Back,4003018057,140,30.1,4003018059,141,38.8,4003018063,213,5.1,4003018061,212,9.5,,,,,,,,,,22zrashyijuh9pnjovqpyl8lx,Patri Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502164997,5,1,1,0,6,bop6aslxmwvzsapdxsw3xbvfg,1,32.6,37.1,2023-01-29T17:00:59.206Z,2023-01-29T17:01:00Z,4003018185,56,Back,4003018187,140,29.0,4003018189,141,16.8,4003018191,212,14.3,4003018193,213,4.4,,,,,,,,,,aib5wgtlgl48jaezcguoxkmp5,Clàudia Pina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502165021,6,1,1,0,7,bop6aslxmwvzsapdxsw3xbvfg,1,27.8,17.7,2023-01-29T17:01:00.629Z,2023-01-29T17:47:23Z,4003018331,56,Back,4003018337,212,10.9,4003018335,141,31.8,4003018333,140,22.9,4003018339,213,2.1,,,,,,,,,,1dg7whnmk3nb1adw7n8a7nnbp,L. Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502165051,7,1,1,0,9,bop6aslxmwvzsapdxsw3xbvfg,1,22.3,31.8,2023-01-29T17:01:03.094Z,2023-01-29T17:47:26Z,4003018505,140,25.5,4003018503,56,Back,4003018507,141,33.1,4003018509,212,3.5,4003018511,213,0.3,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
