id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId
2502030157,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-01-29T14:14:50.370Z,2023-01-29T15:01:07Z,4002306753,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4002306749,59,"1, 15, 3, 5, 4, 2, 21, 10, 17, 9, 11, 7, 13, 16, 26, 30, 33, 39",4002306745,30,"3qu360b871q8wssodtkeq6oa2, 2qh8rg0ekcnh8qjvnnrpc9olx, 5o5f6l99dzhim5k1jnnmog6hh, 5cpnfg3x95yjy00c6h2g22tp1, w3vjdjxeuaauh8na84fkwhuy, 2me13zmgmf0r0wtsjmxid1zvt, 5w3y2f2ydr2ecq90cdzbn6ns9, bdaicql6er9antum0eaar9x0q, b9rcv1fsqcwockfpbkl58tl, er6khxd9z3wfjekigs4nxf8q, 4nvfy4deuo9cmsegz492aq2g9, 8jvs33mize0fkkihe2zot28k5, 7rm6858rwtecoxlt5ud31dmy2, 1533xkmkmi8rpb6yoa8807xn8, a0700ecz96fl1yvj8a6zamql0, 6mzsev0k2iqswrjncctnnawic, dn503idumyhiea35ayzeesj6c, 9w8g9it556ipl3zhatke1srca",4002306755,194,5cpnfg3x95yjy00c6h2g22tp1,4002528991,197,16933,4002306751,130,4,4002306747,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4002306757,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502033759,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-01-29T14:17:39.765Z,2023-01-29T15:02:07Z,4002325303,59,"24, 5, 15, 21, 16, 14, 11, 19, 10, 17, 7, 2, 8, 12, 20, 27, 28, 30",4002325305,130,7,4002325309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002325299,30,"6d7hdegq9cbh7kr8sqvao1qt, 5yvzsnnawnxbki7rqnamwr3yt, d5i62fwuf8ohc8fcq3lxboiga, ez9in0ld6mrlrab7bi1kvuhd6, 52mkbnt2oveh76tfrlojocgyd, fge9gic869tnpk4tetnxuv4k, avhw3o6tm33ptddzgwfsqod4a, a6wwf7jl8eis7wvrhhwhdq3f9, 5sxloac78uf7i1kuscy5qwlw5, 25b3sxqo1ujqqc2pef3iwqnoq, ahmylmsg9wyiax33v6jwuj9qs, 3rif0qvun4mmll1xf2qzykums, antfb8hyo1sn4o68itu4oi904, 1sr39v8ooejvspbdo6fqpckyc, 4yoo22f8dgwz2n8fkqzoir8k4, 8k3xs4havqvd53pxchucb2vbo, 4nkpo5caqdsdr7vbtfxwj95as, elysl00h0wh9zng8867gozt3o",4002522411,194,5sxloac78uf7i1kuscy5qwlw5,4002522413,197,16717,4002325301,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4002325307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502072925,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-01-29T15:01:39.234Z,2023-01-29T15:01:39Z,4002530905,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502072939,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-01-29T15:01:39.234Z,2023-01-29T15:01:40Z,4002530983,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502072991,3,1,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,50.2,49.9,2023-01-29T15:01:39.334Z,2023-01-29T15:01:42Z,4002531241,213,3.2,4002531237,212,16.6,4002531229,140,34.5,4002531233,141,47.6,4002531225,56,Back,4002531245,279,S,,,,,,,b9rcv1fsqcwockfpbkl58tl,Ana Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502073037,4,1,1,0,3,cd1ottifbgcfrn6pdrdpwt7z0,1,34.1,46.6,2023-01-29T15:01:42.737Z,2023-01-29T15:01:46Z,4002531551,141,23.1,4002531555,213,4.2,4002531549,140,25.6,4002531545,56,Back,4002531553,212,18.3,,,,,,,,,,5cpnfg3x95yjy00c6h2g22tp1,Marta Carro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502073075,5,1,1,0,7,cd1ottifbgcfrn6pdrdpwt7z0,1,25.6,23.1,2023-01-29T15:01:46.425Z,2023-01-29T15:01:48Z,4002531719,56,Back,4002531727,141,67.2,4002531731,212,30.1,4002531739,213,1.5,4002531723,140,28.4,,,,,,,,,,w3vjdjxeuaauh8na84fkwhuy,María Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502073091,6,1,1,0,8,cd1ottifbgcfrn6pdrdpwt7z0,1,28.4,67.2,2023-01-29T15:01:48.178Z,2023-01-29T15:01:49Z,4002531849,213,4.7,4002531841,56,Back,4002531845,141,23.6,4002531847,212,29.6,4002531843,140,28.3,,,,,,,,,,2me13zmgmf0r0wtsjmxid1zvt,Berta Pujadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502073173,7,1,1,0,10,cd1ottifbgcfrn6pdrdpwt7z0,1,28.3,23.6,2023-01-29T15:01:49.817Z,2023-01-29T15:01:55Z,4002532259,212,26.9,4002532255,140,28.5,4002532261,213,1.6,4002532253,56,Back,4002532257,141,63.1,,,,,,,,,,w3vjdjxeuaauh8na84fkwhuy,María Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502073205,8,1,1,0,15,cd1ottifbgcfrn6pdrdpwt7z0,1,30.9,82.4,2023-01-29T15:01:54.993Z,2023-01-29T15:01:57Z,4002532429,56,Back,4002532433,141,95.9,4002532435,212,12.7,4002532437,213,0.8,4002532431,140,39.3,,,,,,,,,,2me13zmgmf0r0wtsjmxid1zvt,Berta Pujadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
