id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2552256131,1,34,16,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-05-21T09:13:03.791Z,2023-05-21T10:03:29Z,4296407083,30,"77pobry4mbh5wojka1ikgty7e, 5z6z0sw5jlr432mdo2yu5riay, 5onfamqh0uteez2wtx463dknp, 3iangrthyltpl31m4v1qkgn2t, 51t40jr0wwgmuya85pnhjgx2i, z2pihtvpr5ei4ip9z9jtqn6x, 6msenows401fssj9jaih9g0a2, 1g7gyw5fbuujomrqso7fzajxm, a88r8d1jd5r928pvskginyiqy, cyqlcyzogla6wql5pms4i02d, 31q50ese977zfgiwi9bc1ehre, bpmtdn2uqnwhllfnm59ck6rit, aietcywmok362027i2brpg4q1, egdjpgov38xmmhtuzjky9hw5, ergobfal6ny5w6xy1hsixrdhw, etonsdd040gijd5n0nzbuqane, a4jf0e2bojp6n0cmd01zppsoa, e4glbrjataxggtxf953n1jsnp, ddq90t1cfklvuhk0xkbydfsut, 1zlt1xabh07byc3u8oid9gdn8, as46cuq3qee83uxgifxo0r88a, 24fopza4zrtm63pyjkl55beac",4296457121,197,3946,4296407085,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4296407097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296407093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296407089,59,"1, 16, 7, 5, 4, 6, 8, 15, 3, 11, 20, 9, 13, 17, 18, 19, 21, 22, 24, 26, 27, 32",4296407091,130,10,4296407095,194,77pobry4mbh5wojka1ikgty7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552256671,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-05-21T09:14:46.397Z,2023-05-21T10:00:21Z,4296409767,30,"11so3nfejun31ajhmqjlwapqt, 5h9k65zukry196snla3xgmh91, 9gdocwx006j6wyz4mnhzgzydx, 8h7r4d4z2gjne58xwu3koiok5, bgzh3zwl99bpnnpj37jn4dmtx, 4n6mnhjzt6zpicfea3ym678id, 5ovqn6llocczhae9n1kzj5nf9, 22zrashyijuh9pnjovqpyl8lx, c1r1tmscj963olp4yo8kedqdx, dzhvgrdkl4nuj8z4fd9to0ag9, 6291bj0xqq1w2631bajrpeb4l, 3kfxvwa38a7oq0d126jm4o9ka, 3ruj0we4jma5m60xumyoir1ii, aib5wgtlgl48jaezcguoxkmp5, 5exouoey2r6wtpympr6drg3it, 7yd1zxbm6jnvxhmk1v2xyh9m1, 40wxai4gm0pdry6545i5c68ve, 9t2pn6dp6w38b169a5qo9c60a, f0cwpq45aa7b5de10j9skw44p, cvy1q6gtx1gs9ddemdpcf8ded",4296457099,197,17519,4296409775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296409769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4296409771,59,"1, 8, 7, 21, 2, 4, 14, 12, 20, 18, 9, 3, 5, 6, 11, 13, 17, 19, 22, 23",4296458749,194,5h9k65zukry196snla3xgmh91,4296409777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296409773,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552265147,2,32,1,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-05-21T10:01:19.902Z,2023-05-21T10:01:20Z,4296459785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552265149,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-05-21T10:01:19.902Z,2023-05-21T10:01:22Z,4296459793,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552265157,3,1,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,50.1,50.1,2023-05-21T10:01:20.002Z,2023-05-21T10:14:19Z,4296459833,279,S,4296459823,56,Back,4296459827,141,52.4,4296459829,212,12.8,4296459825,140,38.0,4296459831,213,3.0,,,,,,,c1r1tmscj963olp4yo8kedqdx,A. Oshoala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552265171,4,1,1,0,2,bop6aslxmwvzsapdxsw3xbvfg,1,39.4,50.1,2023-05-21T10:01:22.198Z,2023-05-21T10:01:26Z,4296459909,213,1.3,4296459901,56,Back,4296459905,141,58.2,4296459907,212,5.7,4296459903,140,40.7,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552265181,5,1,1,0,6,bop6aslxmwvzsapdxsw3xbvfg,1,46.1,57,2023-05-21T10:01:26.086Z,2023-05-21T10:01:28Z,4296459961,141,31.2,4296459965,213,4.8,4296459957,56,Back,4296459959,140,46.9,4296459963,212,17.6,,,,,,,,,,22zrashyijuh9pnjovqpyl8lx,Patri Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552265187,6,1,1,0,8,bop6aslxmwvzsapdxsw3xbvfg,1,47.2,30.1,2023-05-21T10:01:28.534Z,2023-05-21T10:01:30Z,4296460001,213,4.8,4296459999,212,15.5,4296459997,141,7.3,4296459993,56,Back,4296459995,140,48.3,,,,,,,,,,5ovqn6llocczhae9n1kzj5nf9,Aitana Bonmatí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552265197,7,1,1,0,10,bop6aslxmwvzsapdxsw3xbvfg,1,49.5,7.1,2023-05-21T10:01:30.326Z,2023-05-21T10:01:33Z,4296460039,140,38.9,4296460037,56,Back,4296460045,213,2.2,4296460041,141,30.9,4296460043,212,19.6,,,,,,,,,,5h9k65zukry196snla3xgmh91,Marta Torrejón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552265245,8,1,1,0,13,bop6aslxmwvzsapdxsw3xbvfg,1,36.3,31.5,2023-05-21T10:01:33.047Z,2023-05-21T10:01:40Z,4296460185,141,73.8,4296460181,56,Back,4296460189,213,1.4,4296460187,212,29.3,4296460183,140,41.4,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
