id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2514921941,1,34,16,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-03-04T10:24:34.479Z,2023-03-04T11:00:25Z,4070310089,194,470znxtt0sf52aav1o8s1hkdm,4070310091,197,3971,4070265417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070265415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4070265413,130,8,4070265407,30,"16sc4hlsrq610rhfzi6m2squh, aa93kg4nfvrpthvfkkofixwtm, c60g2qtl13gydk9p2pqbbnsb8, 470znxtt0sf52aav1o8s1hkdm, 8hmntjeezmx4ch9yeti4x9y50, 6ufssidf65zo52ru9q644hq3u, 5wubhrq7ftqx0ryckwbrdxc5x, 8fswi9ldpiuemw0y922tf7dud, awauajziz79qwnek1scaxcmad, 7dqs072o1rqh9l8rv9nus4qtx, eitv6t0xve84dgqlxutee0ys4, dri6ywllr5aapmost881p4991, 8tmzjcaglix0qj8zy7yp8w7o, 67nqgmgyb28btwrkdykjitylm, 1vcx3sprpnorl4q43abs8iuei, f6dtaackj9nd3ngnvs5nq0o9, 67kef1hzytkax2iyeg2il5nth, 6zyach9kkb2p1fuih4dm5ow7o, 4l0t0twvkms04gm3w3b2xvhsl",4070265411,59,"13, 15, 18, 16, 19, 14, 20, 23, 6, 7, 12, 1, 4, 8, 9, 10, 11, 17, 22",4070265409,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514922557,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-03-04T10:27:28.080Z,2023-03-04T10:58:03Z,4070268001,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070268003,59,"1, 3, 17, 15, 6, 8, 16, 18, 22, 9, 20, 7, 10, 12, 13, 14, 19, 27, 28, 31",4070307443,197,3973,4070307441,194,f2wy9lcvcg47ufsat67mdf0et,4070268007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070267999,30,"6nx2fpsn1549tqew7098csqg9, 3nmk8e4y0vu8ov2whpdannnkk, f0m3ncnvrrrj3wcgzrz7ja44q, eb1k3xi1oy9c5xkc30fgodg4, si7seewiwpo5s7yi3jbxuo2y, f2wy9lcvcg47ufsat67mdf0et, 88cflr7hnw1o3ej6y3wsj5p0p, 69hzl68t1f58dxs461jizyjje, ak7rstu77leltpt7c104ca4q2, 8xr1zxvovvxckh586adphufvt, bows51pg0h4042274cvzwtmcq, ekctrwv020vt9iuv6jkpfivv9, ennkxlwawwoc8go6bx5ntskp, 3jsqviuejf6t4u53cdgbeix62, 1k0lkh2uqjo6c42khduv89dk9, er787gw0uh9wwlo98tzsc83qh, 1jepco4u9frbnmu5lyotlgu8k, ef8jptd63fi9rll1e1gx61z6y, bpk64d0puoo2xofbb5k4ffuac, envd6nvea5ssa98mq2bnd7otm",4070268009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070268005,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930689,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-03-04T11:01:06.127Z,2023-03-04T11:01:06Z,4070311569,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930707,2,32,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-03-04T11:01:06.127Z,2023-03-04T11:01:09Z,4070311717,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930715,3,1,1,0,0,1azk57wev30h044w949j46kpu,1,49.9,49.9,2023-03-04T11:01:06.227Z,2023-03-04T11:01:10Z,4070311755,212,20.0,4070311761,279,S,4070311747,56,Back,4070311757,213,3.4,4070311751,141,41.2,4070311749,140,31.7,,,,,,,bows51pg0h4042274cvzwtmcq,Paula Arana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930725,4,1,1,0,3,1azk57wev30h044w949j46kpu,1,31.7,41.2,2023-03-04T11:01:10.038Z,2023-03-04T11:07:20Z,4070311847,212,34.9,4070311845,141,92.3,4070311849,213,1.7,4070311843,140,28.4,4070311841,56,Back,4070311851,1,,,,,,,,69hzl68t1f58dxs461jizyjje,Itxaso Uriarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930743,5,1,1,0,5,1azk57wev30h044w949j46kpu,1,28.4,92.3,2023-03-04T11:01:11.478Z,2023-03-04T11:01:15Z,4070312023,140,14.0,4070312021,56,Back,4070312027,212,19.4,4070312025,141,74.4,4070312029,213,3.8,,,,,,,,,,f0m3ncnvrrrj3wcgzrz7ja44q,Nerea Nevado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930753,6,1,1,0,9,1azk57wev30h044w949j46kpu,0,12.6,71.4,2023-03-04T11:01:15.542Z,2023-03-04T11:01:17Z,4070312089,157,,4070312093,140,27.0,4070312091,56,Back,4070312101,1,,4070312097,212,34.1,4070312095,141,26.5,4070312099,213,5.2,,,,f2wy9lcvcg47ufsat67mdf0et,Marta Unzué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930791,3,2,1,0,11,b9ecgxh884j2ugjrxwvpym192,1,69.6,77.6,2023-03-04T11:01:17.597Z,2023-03-04T12:18:29Z,4070312311,56,Center,4070312313,140,93.9,4070312567,7,awauajziz79qwnek1scaxcmad,4070312315,141,53.9,4070312581,3,,,,,,,,,,,470znxtt0sf52aav1o8s1hkdm,Sandra Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930825,7,55,1,0,11,1azk57wev30h044w949j46kpu,1,10.9,49,2023-03-04T11:01:17.598Z,2023-03-04T11:53:36Z,,,,,,,,,,,,,,,,,,,,,,,,,f2wy9lcvcg47ufsat67mdf0et,Marta Unzué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
