id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/9/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId
2524412921,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-03-25T14:09:49.501Z,2023-03-25T15:05:32Z,4122788949,197,18064,4122728167,130,4,4122728163,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4122728171,194,5xlqh4i9zb5daj4khs1mbbxpm,4122728165,59,"1, 22, 21, 7, 11, 19, 17, 20, 18, 14, 9, 2, 4, 6, 8, 10, 12, 15, 16, 23, 24",4122728161,30,"5zhcjr5kxyxd2jmq1wel3ug9h, ent5lfgq42d5ngi3ebyy7p1w5, ev8an510kk4nb6dabnsa962tx, 5kio1iodx7cq9i9p9kql1nuuh, 5xlqh4i9zb5daj4khs1mbbxpm, 2dsgmfs9crnzz3425si3m9uj9, 6aodvgoc9sh27cjwelwsm3qw9, 1nhju64j5loikn6t0j9m6au39, 3z91j68ij26ar4vifyqyp34k, 31mhclmjwpn7zik6nphr4pwtm, 67i9jwkech61ihpglnmpzygvd, 63atfboq056luh7gzplxooyui, 24bz5vlm76nrqcnblyxfkt8x6, b3dvkkzdpggax4btpycd1oe3u, 8i42x5mpk5bpm1i0gvgubx9pm, et6offb5y91ch6mlol3dwcd0p, 9742qffzdwiz9y3y7et40863t, 1cfjcoum4z07r1p3uyy2p9x49, 4ngzyppqh4iaqqy0vrynwz66s, 35uen906vvtndlnv3hrm5zo8a, hf67c0ip1chljjy1udsjpt2i",4122728173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122728169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524413939,1,34,16,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-03-25T14:12:53.407Z,2023-03-25T15:04:26Z,4122732997,59,"13, 14, 15, 3, 22, 18, 17, 23, 9, 12, 10, 1, 4, 5, 6, 7, 8, 27, 30",4122732993,30,"dcbrqeq61r269wyh4k00g3t3o, 5mk5a6g9962zs1f0dgv2g3o45, 8grsiemkt03k8c1g6am7vnxlh, cgbly4uoca30z9ey5h722ej56, 3bnl8jpyjy436d6rq46apwei2, 23cz0ftfc2rstsut0wkmntm8l, dj7z4zsiwjd3xnrb284zt5b6x, dl0wzq2dftry5gqgalthhr1ed, 49klmhzbsmlxnkp2w60y66sph, 3uj4zixqbp5ahu9etu4fl714a, tfni0bbycqnutwdofnndixd6, euieo81aiyv4wqldc8owokset, 5fula0vkdt8dg2s1po4k9no16, cehjx04vym880gqogj4djdiad, 4bpis8gkfy9n5pknxuw40hus4, 3mgkmvazmdqvhtnkkigc24e3u, 79zpaj24j11e9aajt7vmjf88a, 55dkf4evau0bcy8uyhkat9b84, 3qg0fby2m8ua25w931ubn8mc4",4122733003,194,3bnl8jpyjy436d6rq46apwei2,4122732999,130,11,4122733005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122733001,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4122788211,197,12187,4122732995,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425583,2,32,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-03-25T15:01:20.311Z,2023-03-25T15:01:20Z,4122791935,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425595,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-03-25T15:01:20.311Z,2023-03-25T15:01:21Z,4122792005,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425627,3,1,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,50,50,2023-03-25T15:01:20.411Z,2023-03-25T15:01:22Z,4122792117,213,3.1,4122792113,141,51.9,4122792115,212,19.0,4122792109,56,Back,4122792119,279,S,4122792111,140,31.9,,,,,,,49klmhzbsmlxnkp2w60y66sph,Sheila Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425711,4,1,1,0,2,1qoqz1tyay060cj5aha7rt1lp,0,30.9,52.5,2023-03-25T15:01:22.705Z,2023-03-25T15:01:33Z,4122792515,213,0.4,4122792511,141,93.9,4122792509,140,100.0,4122792715,157,,4122792507,56,Left,4122792513,212,78.4,4122792517,1,,,,,tfni0bbycqnutwdofnndixd6,Fatou Kanteh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425773,4,5,1,0,8,djz9e25b9zuiu5rmv1zha3i6f,1,-0.9,6.2,2023-03-25T15:01:28.847Z,2023-03-25T15:05:53Z,4122792825,346,,4122792827,233,5,4122792823,56,Back,,,,,,,,,,,,,,,,ent5lfgq42d5ngi3ebyy7p1w5,Matilde Fidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425719,5,5,1,0,8,1qoqz1tyay060cj5aha7rt1lp,0,100.9,93.8,2023-03-25T15:01:28.847Z,2023-03-25T15:01:32Z,4122792549,346,,4122792547,56,Left,4122792833,233,4,,,,,,,,,,,,,,,,tfni0bbycqnutwdofnndixd6,Fatou Kanteh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425765,3,43,1,0,10,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-03-25T15:01:30.877Z,2023-03-25T15:01:32Z,4122792769,3,0,4122792773,56,Back,4122792777,141,6.4,4122792781,213,3.1,4122792771,168,0,4122792883,144,1,4122792779,212,0,4122792775,140,0.0,ent5lfgq42d5ngi3ebyy7p1w5,Matilde Fidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524426057,5,1,1,0,29,djz9e25b9zuiu5rmv1zha3i6f,1,3.7,54.4,2023-03-25T15:01:50.302Z,2023-03-25T15:02:39Z,4122794177,124,,4122794187,213,1.1,4122794183,141,93.4,4122794193,74,,4122794185,212,29.7,4122794181,140,16.4,4122794179,56,Back,,,,5zhcjr5kxyxd2jmq1wel3ug9h,G. Thalmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,
