id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value
2547665249,1,34,16,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-05-13T09:19:50.438Z,2023-05-13T10:15:35Z,4272039367,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272039361,130,10,4272039363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4272039357,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4272077395,197,14313,4272039355,30,"dri6ywllr5aapmost881p4991, 67kef1hzytkax2iyeg2il5nth, 1vcx3sprpnorl4q43abs8iuei, 8fswi9ldpiuemw0y922tf7dud, aa93kg4nfvrpthvfkkofixwtm, auqzv0poi2q7tcardivb21m8l, 470znxtt0sf52aav1o8s1hkdm, f6dtaackj9nd3ngnvs5nq0o9, 5wubhrq7ftqx0ryckwbrdxc5x, 4l0t0twvkms04gm3w3b2xvhsl, c60g2qtl13gydk9p2pqbbnsb8, 9s5jdwjyk9klobfdt4wwt5jvt, 67nqgmgyb28btwrkdykjitylm, eitv6t0xve84dgqlxutee0ys4, 16sc4hlsrq610rhfzi6m2squh, 6ufssidf65zo52ru9q644hq3u, 8hmntjeezmx4ch9yeti4x9y50",4272039365,194,470znxtt0sf52aav1o8s1hkdm,4272039359,59,"1, 11, 9, 23, 15, 3, 16, 10, 20, 22, 18, 5, 8, 12, 13, 14, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547670615,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-05-13T09:43:39.824Z,2023-05-13T10:14:35Z,4272067115,30,"77qiz0pydyy47nrcuqqtcom50, d20r1ne9lrj8jivt9qv1m6zth, bwefhg110kbph4g04in7ynu38, 9wa7byb078u86r3x5bvzgkogl, c4bthgzk7mykmnkyn4142i3v8, 4jz2cnk91to6lp7cujbzhnwq2, de1rbqfoaq2wyrd2781bxqqc5, 2j4zvd9upsax6m9vkodcd6vl6, 1ezefmix2gldcaoz0cdplw3x1, 1saqhw307zho8fyokoav1j6s4, cklnfn4gt480hn4o3m3d979w, d90k7acrynushpp6sld2e9h3p, f5c7fj7ce4uklgzn8el0c90d0, 5lwte3qujkcw20jcc691itbdh, 1so2lnzah5yhn4vdh2722k2z8, buskvur4fy7ga63yv8akgr2ms, alhi9j4uesjw1ihlrjgtlsff8",4272067125,194,c4bthgzk7mykmnkyn4142i3v8,4272067121,130,10,4272067127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272067117,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4272077521,197,14201,4272067119,59,"1, 24, 12, 2, 4, 3, 11, 18, 9, 19, 21, 13, 15, 23, 27, 30, 36",4272067123,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673037,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-05-13T10:00:51.058Z,2023-05-13T10:00:52Z,4272080081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673035,2,32,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-05-13T10:00:51.058Z,2023-05-13T10:00:51Z,4272080075,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673053,3,1,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,50,50,2023-05-13T10:00:51.158Z,2023-05-13T10:00:54Z,4272080139,212,15.3,4272080133,56,Back,4272080143,279,S,4272080135,140,35.4,4272080141,213,3.2,4272080137,141,49.0,,,,,,,470znxtt0sf52aav1o8s1hkdm,Sandra Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673057,4,1,1,0,3,b9ecgxh884j2ugjrxwvpym192,0,35.4,49,2023-05-13T10:00:54.293Z,2023-05-13T10:00:55Z,4272080159,157,,4272080165,141,64.2,4272080161,56,Center,4272080167,212,44.8,4272080169,213,0.2,4272080171,1,,4272080163,140,76.9,,,,f6dtaackj9nd3ngnvs5nq0o9,S. Hagman,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673069,3,1,1,0,5,eqaszp3lzhffqt4f8hmzov72j,1,24.6,38.9,2023-05-13T10:00:56.679Z,2023-05-13T10:00:58Z,4272080253,213,6.1,4272080243,3,,4272080249,141,34.8,4272080251,212,13.2,4272080247,140,36.9,4272080245,56,Back,,,,,,,c4bthgzk7mykmnkyn4142i3v8,Judith Caravaca,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673075,4,1,1,0,7,eqaszp3lzhffqt4f8hmzov72j,1,36.9,34.8,2023-05-13T10:00:58.790Z,2023-05-13T10:01:00Z,4272080297,213,5.6,4272080293,141,12.0,4272080291,140,53.5,4272080287,168,,4272080285,3,,4272080295,212,23.3,4272080289,56,Right,,,,de1rbqfoaq2wyrd2781bxqqc5,Kuki,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673077,5,49,1,0,9,eqaszp3lzhffqt4f8hmzov72j,1,53.5,11.6,2023-05-13T10:01:00.702Z,2023-05-13T10:01:01Z,,,,,,,,,,,,,,,,,,,,,,,,,cklnfn4gt480hn4o3m3d979w,Lucía Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673083,6,1,1,0,9,eqaszp3lzhffqt4f8hmzov72j,1,55.1,9.5,2023-05-13T10:01:01.015Z,2023-05-13T10:01:02Z,4272080317,141,21.5,4272080321,213,0.5,4272080315,140,68.6,4272080313,56,Center,4272080319,212,16.4,,,,,,,,,,cklnfn4gt480hn4o3m3d979w,Lucía Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673091,7,1,1,0,10,eqaszp3lzhffqt4f8hmzov72j,1,68.6,21.5,2023-05-13T10:01:01.895Z,2023-05-13T10:01:03Z,4272080365,212,11.1,4272080359,56,Right,4272080369,213,3.3,4272080361,140,58.2,4272080363,141,18.6,,,,,,,,,,1ezefmix2gldcaoz0cdplw3x1,Jade Boho,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673097,8,3,1,0,12,eqaszp3lzhffqt4f8hmzov72j,0,58.3,19.6,2023-05-13T10:01:03.412Z,2023-05-13T10:01:07Z,4272080389,286,,4272080455,233,5,4272080387,56,Right,,,,,,,,,,,,,,,,cklnfn4gt480hn4o3m3d979w,Lucía Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,
