id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/12/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId
2533439571,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-04-15T09:16:43.647Z,2023-04-15T09:55:41Z,4189317331,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4189317341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189317333,59,"1, 17, 15, 3, 4, 2, 18, 8, 7, 19, 9, 12, 11, 13, 14, 21, 23, 24",4189317335,130,18,4189350197,197,14201,4189317339,194,c4bthgzk7mykmnkyn4142i3v8,4189317337,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4189317329,30,"77qiz0pydyy47nrcuqqtcom50, 5zfnimycb0516oj3frebpisk4, f5c7fj7ce4uklgzn8el0c90d0, 4jz2cnk91to6lp7cujbzhnwq2, c4bthgzk7mykmnkyn4142i3v8, 9wa7byb078u86r3x5bvzgkogl, 2j4zvd9upsax6m9vkodcd6vl6, cvq0jg2vh6kxwf0lcpmuf3i8k, eaebjxv5o929urb7nerrq9qtw, 1saqhw307zho8fyokoav1j6s4, 1ezefmix2gldcaoz0cdplw3x1, bwefhg110kbph4g04in7ynu38, de1rbqfoaq2wyrd2781bxqqc5, d90k7acrynushpp6sld2e9h3p, comno008m9p6kg2cxtbc7suwa, cklnfn4gt480hn4o3m3d979w, 5lwte3qujkcw20jcc691itbdh, d20r1ne9lrj8jivt9qv1m6zth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533439963,1,34,16,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2023-04-15T09:18:48.831Z,2023-04-15T09:56:53Z,4189318905,30,"76q3qw1j9n3og4gep5pdedisq, 5x93ra7unls3fac5gomibwel1, 3mutv27i9xvd3wmbwypdpah62, 8drs7flji0ctdoui0cfyugu3u, 2d1defd89f1nrpb0gi6cciwru, 4gv8ud8pwhynhd4ehmzw2pgmi, 14c84da3uglvp8gtjpxospo4q, 5axvazbhm6wsgpbpgt1gmaj11, ent3o8sh6zn2mpe7m9p8q1sve, 2t32h7nbjkouc968jbm8cax62, 1lvwjd2sedbk3gs9p2v34cdt5, ea2eq21d08asfeqh17vcxpwmi, 36vatxs5tk7alvqedu7vtn88a, bwjqs0orziydksase1flhedt6, sro6084uxjkm140ylvc5uq51, 9bzg6jfuapjzhmurucmkiz7fu, 5de2lhx1gnd8ks8pmge8plb6d, 5m8q057u3ek6rjdpmlu98uesq",4189318917,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189318907,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4189351255,197,16813,4189318911,130,4,4189318915,194,1lvwjd2sedbk3gs9p2v34cdt5,4189318913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4189318909,59,"13, 17, 14, 8, 6, 22, 19, 21, 7, 18, 10, 1, 2, 3, 9, 12, 20, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448095,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-04-15T09:59:26.351Z,2023-04-15T09:59:26Z,4189353641,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448099,2,32,1,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2023-04-15T09:59:26.351Z,2023-04-15T09:59:27Z,4189353657,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448107,3,1,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,50.2,50.1,2023-04-15T09:59:26.451Z,2023-04-15T09:59:29Z,4189353699,213,3.0,4189353691,56,Back,4189353701,279,S,4189353697,212,16.5,4189353693,140,34.6,4189353695,141,53.0,,,,,,,1ezefmix2gldcaoz0cdplw3x1,Jade Boho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448135,4,1,1,0,2,eqaszp3lzhffqt4f8hmzov72j,0,34.7,50.6,2023-04-15T09:59:28.979Z,2023-04-15T09:59:32Z,4189353831,212,37.0,4189353825,56,Back,4189353833,213,4.4,4189353835,1,,4189353827,140,24.4,4189353829,141,0.0,,,,,,,2j4zvd9upsax6m9vkodcd6vl6,A. Quintero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448145,3,5,1,0,6,9euoni3f3sh08tsplt2gh5dex,1,76.3,101.6,2023-04-15T09:59:32.840Z,2023-04-15T10:54:38Z,4189353883,347,,4189353905,233,5,4189353881,56,Left,,,,,,,,,,,,,,,,1lvwjd2sedbk3gs9p2v34cdt5,Nerea Eizagirre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448137,5,5,1,0,6,eqaszp3lzhffqt4f8hmzov72j,0,23.7,-1.6,2023-04-15T09:59:32.840Z,2023-04-15T09:59:35Z,4189353837,56,Back,4189353839,347,,4189353931,233,3,,,,,,,,,,,,,,,,2j4zvd9upsax6m9vkodcd6vl6,A. Quintero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448183,4,1,1,0,12,9euoni3f3sh08tsplt2gh5dex,1,77,100,2023-04-15T09:59:38.638Z,2023-04-15T10:02:30Z,4189354133,213,3.6,4189354121,107,,4189354125,140,68.3,4189354123,56,Left,4189354131,212,10.3,4189354129,141,95.0,,,,,,,5axvazbhm6wsgpbpgt1gmaj11,Gemma Gili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448187,5,1,1,0,17,9euoni3f3sh08tsplt2gh5dex,0,64.4,96.5,2023-04-15T09:59:44.139Z,2023-04-15T09:59:45Z,4189354161,140,59.6,4189354159,56,Center,4189354167,213,4.3,4189354163,141,77.6,4189354165,212,13.8,,,,,,,,,,3mutv27i9xvd3wmbwypdpah62,Izarne Sarasola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448185,6,49,1,0,18,eqaszp3lzhffqt4f8hmzov72j,1,28.5,21.8,2023-04-15T09:59:44.627Z,2023-04-15T09:59:44Z,,,,,,,,,,,,,,,,,,,,,,,,,2j4zvd9upsax6m9vkodcd6vl6,A. Quintero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448209,7,1,1,0,19,eqaszp3lzhffqt4f8hmzov72j,0,28.9,21.8,2023-04-15T09:59:45.635Z,2023-04-15T09:59:50Z,4189354311,56,Right,4189354309,155,,4189354321,1,,4189354313,140,75.2,4189354315,141,11.3,4189354319,213,6.1,4189354317,212,49.1,,,,2j4zvd9upsax6m9vkodcd6vl6,A. Quintero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448207,6,1,1,0,19,9euoni3f3sh08tsplt2gh5dex,0,61.3,76.6,2023-04-15T09:59:46.275Z,2023-04-15T09:59:52Z,4189354301,140,74.6,4189354303,141,72.4,4189354305,212,14.3,4189354307,213,6.1,4189354299,56,Center,,,,,,,,,,8drs7flji0ctdoui0cfyugu3u,Iris Arnaiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448219,7,49,1,0,28,9euoni3f3sh08tsplt2gh5dex,1,3.6,51,2023-04-15T09:59:54.364Z,2023-04-15T09:59:54Z,,,,,,,,,,,,,,,,,,,,,,,,,76q3qw1j9n3og4gep5pdedisq,Elene Lete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533448273,8,1,1,0,28,9euoni3f3sh08tsplt2gh5dex,1,3.6,51,2023-04-15T09:59:54.795Z,2023-04-15T10:00:07Z,4189354661,212,46.8,4189354659,141,46.4,4189354657,140,48.1,4189354663,213,6.2,4189354665,1,,4189354653,155,,4189354655,56,Back,,,,76q3qw1j9n3og4gep5pdedisq,Elene Lete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
