id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/13/value,assist
2480295321,2,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-11-01T16:18:55.705Z,2022-11-01T17:01:49Z,3887983489,130,4,3888054723,197,3985,3887983485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3887983487,59,"25, 20, 23, 14, 4, 22, 6, 15, 10, 8, 17, 1, 2, 9, 12, 16, 19, 21, 28, 33",3887983491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887983495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887983493,194,5ic26p6vixiy9kqtxniuh9zh1,3887983483,30,"eurxmqgiqw2hlsu8x0of9to7p, dc80qat3wirccbux02od5ogyd, 5ic26p6vixiy9kqtxniuh9zh1, 80bmdjixjy34wx3e5fb8re961, 9le3udqhtfsbnlr6py67cj71m, 42t82kh0hqfa7h92x1ujdz97u, 3rob14yal0zrzxj2tdpp4sewa, 5ynz0l8qa20x0gp0a5iiztgph, buqygjztmnvmul49w3grzuo5x, eno0e1nmkn4ts5yy103k7inzd, aoy956n72pya0cc6bqj5x736x, 8jok7wopda70yus7gj5qwi1nt, cfjrwsqj3ktavvjte6sddgmi, 8kq18ws6azqtq2dkrhqu0p045, 1au0af90j09ol6827vodhg1k9, 982xo55a6ehu6960fxwr3bfje, cndbae3p3ag0t2qpt22wafo8a, f20f6etew7qc0bgwp7j1bgyne, bpqjytbm9oxa367bwxcyhiolw, dedalbg17clun6r7prnhv3384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480297407,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2022-11-01T16:25:34.516Z,2022-11-01T17:01:26Z,3887995071,130,8,3887995075,194,f2wy9lcvcg47ufsat67mdf0et,3888058137,197,17548,3887995077,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887995065,30,"6nx2fpsn1549tqew7098csqg9, 2lh6bupkrijpm9n916446nbop, f0m3ncnvrrrj3wcgzrz7ja44q, f2wy9lcvcg47ufsat67mdf0et, si7seewiwpo5s7yi3jbxuo2y, 85vgjvamflqyzs4ov1fnaai95, eb1k3xi1oy9c5xkc30fgodg4, 3jsqviuejf6t4u53cdgbeix62, 88cflr7hnw1o3ej6y3wsj5p0p, 1jepco4u9frbnmu5lyotlgu8k, ak7rstu77leltpt7c104ca4q2, 3nmk8e4y0vu8ov2whpdannnkk, ekctrwv020vt9iuv6jkpfivv9, ennkxlwawwoc8go6bx5ntskp, 1k0lkh2uqjo6c42khduv89dk9, er787gw0uh9wwlo98tzsc83qh, 69hzl68t1f58dxs461jizyjje, bows51pg0h4042274cvzwtmcq",3887995073,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3887995067,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3887995069,59,"1, 11, 17, 8, 6, 21, 15, 12, 16, 19, 22, 3, 7, 10, 13, 14, 18, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480308767,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2022-11-01T17:01:29.221Z,2022-11-01T17:01:31Z,3888058215,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480308763,3,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-11-01T17:01:29.221Z,2022-11-01T17:01:29Z,3888058197,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480308773,3,1,1,0,0,1azk57wev30h044w949j46kpu,1,49.7,49.9,2022-11-01T17:01:29.505Z,2022-11-01T17:34:34Z,3888058233,56,Back,3888058235,140,34.9,3888058237,141,62.3,3888058243,279,S,3888058239,212,17.7,3888058241,213,2.6,,,,,,,ak7rstu77leltpt7c104ca4q2,Peke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480308793,4,1,1,0,2,1azk57wev30h044w949j46kpu,1,27.7,59.1,2022-11-01T17:01:31.923Z,2022-11-01T17:36:27Z,3888058339,1,,3888058327,155,,3888058333,141,22.8,3888058337,213,5.8,3888058331,140,70.7,3888058335,212,51.5,3888058329,56,Center,,,,f2wy9lcvcg47ufsat67mdf0et,Marta Unzué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480308799,5,1,1,0,5,1azk57wev30h044w949j46kpu,0,70.7,22.8,2022-11-01T17:01:34.803Z,2022-11-01T18:07:12Z,3888058359,168,,3888058363,140,78.3,3888058361,56,Center,3888058365,141,24.9,3888058367,212,8.1,3888058369,213,0.2,,,,,,,88cflr7hnw1o3ej6y3wsj5p0p,Ane Azkona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480308803,4,49,1,0,6,9ouh98eyf6u69lbxc13mllm7f,1,23.8,66.7,2022-11-01T17:01:35.596Z,2022-11-01T17:01:35Z,,,,,,,,,,,,,,,,,,,,,,,,,42t82kh0hqfa7h92x1ujdz97u,Patri Gavira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480308829,5,1,1,0,8,9ouh98eyf6u69lbxc13mllm7f,1,24,66.7,2022-11-01T17:01:37.225Z,2022-11-01T17:01:41Z,3888058515,140,55.6,3888058511,157,,3888058517,141,67.5,3888058513,56,Center,3888058523,1,,3888058521,213,0.0,3888058519,212,33.2,,,,42t82kh0hqfa7h92x1ujdz97u,Patri Gavira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480308831,6,61,1,0,12,9ouh98eyf6u69lbxc13mllm7f,0,55.8,68.2,2022-11-01T17:01:41.795Z,2022-11-01T17:51:32Z,3888058531,56,Center,,,,,,,,,,,,,,,,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
