id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/15/value
2490324577,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-12-11T12:09:10.220Z,2022-12-11T13:03:26Z,3940608311,59,"1, 20, 23, 14, 4, 22, 31, 12, 10, 8, 17, 24, 2, 6, 9, 25, 16, 19, 21, 28",3940666879,194,5ic26p6vixiy9kqtxniuh9zh1,3940608313,130,4,3940608309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940608317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940608315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940608307,30,"8jok7wopda70yus7gj5qwi1nt, dc80qat3wirccbux02od5ogyd, 5ic26p6vixiy9kqtxniuh9zh1, 80bmdjixjy34wx3e5fb8re961, 9le3udqhtfsbnlr6py67cj71m, 42t82kh0hqfa7h92x1ujdz97u, 5ql8n3lw656v4i4wk74cselm1, 1au0af90j09ol6827vodhg1k9, buqygjztmnvmul49w3grzuo5x, eno0e1nmkn4ts5yy103k7inzd, aoy956n72pya0cc6bqj5x736x, yay5mq8trvoxv9mwm4mqzn8q, cfjrwsqj3ktavvjte6sddgmi, 3rob14yal0zrzxj2tdpp4sewa, 8kq18ws6azqtq2dkrhqu0p045, eurxmqgiqw2hlsu8x0of9to7p, 982xo55a6ehu6960fxwr3bfje, cndbae3p3ag0t2qpt22wafo8a, f20f6etew7qc0bgwp7j1bgyne, bpqjytbm9oxa367bwxcyhiolw",3940705905,197,13820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490326595,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-12-11T12:13:43.377Z,2022-12-11T13:04:56Z,3940618113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3940618109,59,"24, 5, 15, 19, 16, 14, 11, 21, 6, 8, 7, 2, 12, 22, 25, 26",3940618111,130,8,3940706267,197,17819,3940618115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940618107,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",3940618105,30,"6d7hdegq9cbh7kr8sqvao1qt, 5yvzsnnawnxbki7rqnamwr3yt, d5i62fwuf8ohc8fcq3lxboiga, a6wwf7jl8eis7wvrhhwhdq3f9, 52mkbnt2oveh76tfrlojocgyd, fge9gic869tnpk4tetnxuv4k, avhw3o6tm33ptddzgwfsqod4a, ez9in0ld6mrlrab7bi1kvuhd6, 5niwewtgzxf25d1q2ytxrlpsl, antfb8hyo1sn4o68itu4oi904, ahmylmsg9wyiax33v6jwuj9qs, 3rif0qvun4mmll1xf2qzykums, 1sr39v8ooejvspbdo6fqpckyc, 7mlx17smwd387x1lq6blnm6dx, 9cogvg029tq6m0ccqah1px7qi, 2gbtp1lbsmi63pycn76g3u7tg",3940708161,194,ez9in0ld6mrlrab7bi1kvuhd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490345369,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-12-11T13:00:47.630Z,2022-12-11T13:00:48Z,3940716573,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490345361,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2022-12-11T13:00:47.630Z,2022-12-11T13:00:47Z,3940716539,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490345393,3,1,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,49.5,50.3,2022-12-11T13:00:47.730Z,2022-12-11T13:00:51Z,3940716683,56,Back,3940716687,141,50.4,3940716685,140,32.4,3940716693,279,S,3940716691,213,3.1,3940716689,212,18.0,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490345427,4,1,1,0,3,9ouh98eyf6u69lbxc13mllm7f,1,32.4,50.4,2022-12-11T13:00:51.043Z,2022-12-11T13:00:53Z,3940716883,212,17.2,3940716881,141,70.7,3940716885,213,2.2,3940716879,140,22.6,3940716877,56,Back,,,,,,,,,,80bmdjixjy34wx3e5fb8re961,Natalia Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490345461,5,1,1,0,5,9ouh98eyf6u69lbxc13mllm7f,1,22.6,70.7,2022-12-11T13:00:53.139Z,2022-12-11T13:00:57Z,3940717029,213,3.9,3940717027,212,19.6,3940717025,141,50.6,3940717021,56,Back,3940717023,140,9.2,,,,,,,,,,42t82kh0hqfa7h92x1ujdz97u,Patri Gavira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490345495,6,1,1,0,9,9ouh98eyf6u69lbxc13mllm7f,1,9.2,49.9,2022-12-11T13:00:56.996Z,2022-12-11T13:01:00Z,3940717219,56,Back,3940717237,212,19.3,3940717233,141,30.8,3940717227,140,22.8,3940717241,213,5.5,,,,,,,,,,8jok7wopda70yus7gj5qwi1nt,Noelia Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490345571,7,1,1,0,12,9ouh98eyf6u69lbxc13mllm7f,1,28.7,35.6,2022-12-11T13:01:00.147Z,2022-12-11T13:01:06Z,3940717611,213,1.7,3940717609,212,23.9,3940717603,56,Back,3940717605,140,24.8,3940717607,141,70.2,,,,,,,,,,9le3udqhtfsbnlr6py67cj71m,Andrea Marrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490345589,8,1,1,0,18,9ouh98eyf6u69lbxc13mllm7f,1,26.4,74.4,2022-12-11T13:01:05.971Z,2022-12-11T13:01:07Z,3940717715,213,6.2,3940717717,1,,3940717709,141,68.6,3940717711,212,42.4,3940717701,155,,3940717707,140,66.6,3940717705,56,Center,,,,42t82kh0hqfa7h92x1ujdz97u,Patri Gavira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
