id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,keyPass,qualifier/9/value,qualifier/13/value,qualifier/16/value
2526320995,1,34,16,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-04-01T09:18:43.791Z,2023-04-01T10:20:05Z,4151484271,197,12187,4151451755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151451745,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4151451741,30,"dcbrqeq61r269wyh4k00g3t3o, 23cz0ftfc2rstsut0wkmntm8l, 3qg0fby2m8ua25w931ubn8mc4, dl0wzq2dftry5gqgalthhr1ed, 3bnl8jpyjy436d6rq46apwei2, cgbly4uoca30z9ey5h722ej56, 5mk5a6g9962zs1f0dgv2g3o45, 4bpis8gkfy9n5pknxuw40hus4, tfni0bbycqnutwdofnndixd6, 49klmhzbsmlxnkp2w60y66sph, 3mgkmvazmdqvhtnkkigc24e3u, euieo81aiyv4wqldc8owokset, 5fula0vkdt8dg2s1po4k9no16, cehjx04vym880gqogj4djdiad, 79zpaj24j11e9aajt7vmjf88a, 3uj4zixqbp5ahu9etu4fl714a, 8grsiemkt03k8c1g6am7vnxlh, ah7sbrjt4lz1t4zww2l4sf1ex, dj7z4zsiwjd3xnrb284zt5b6x, 55dkf4evau0bcy8uyhkat9b84",4151451753,194,3bnl8jpyjy436d6rq46apwei2,4151451749,130,2,4151451751,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151451747,59,"13, 18, 30, 23, 22, 3, 14, 6, 10, 9, 7, 1, 4, 5, 8, 12, 15, 16, 17, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526322281,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-04-01T09:24:32.695Z,2023-04-01T09:57:45Z,4151457685,130,4,4151457681,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4151457691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151457687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151457683,59,"13, 20, 23, 22, 3, 14, 6, 12, 10, 17, 24, 32, 1, 4, 31, 8, 16, 21",4151457689,194,42t82kh0hqfa7h92x1ujdz97u,4151457679,30,"7yjvzelaq5iir99b4631uiyg9, dc80qat3wirccbux02od5ogyd, 5ic26p6vixiy9kqtxniuh9zh1, 42t82kh0hqfa7h92x1ujdz97u, c7phsuwshglgu1nud007agqnd, 80bmdjixjy34wx3e5fb8re961, 3rob14yal0zrzxj2tdpp4sewa, 1au0af90j09ol6827vodhg1k9, buqygjztmnvmul49w3grzuo5x, aoy956n72pya0cc6bqj5x736x, yay5mq8trvoxv9mwm4mqzn8q, 5v4jjtqwg9sjoyzoehbwpvris, 8jok7wopda70yus7gj5qwi1nt, 9le3udqhtfsbnlr6py67cj71m, 5ql8n3lw656v4i4wk74cselm1, eno0e1nmkn4ts5yy103k7inzd, 982xo55a6ehu6960fxwr3bfje, f20f6etew7qc0bgwp7j1bgyne",4151483493,197,13820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526327983,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-04-01T10:00:35.017Z,2023-04-01T10:00:37Z,4151485207,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526327967,2,32,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-04-01T10:00:35.017Z,2023-04-01T10:00:35Z,4151485173,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526327987,3,1,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,50.1,50.1,2023-04-01T10:00:35.117Z,2023-04-01T10:00:37Z,4151485223,279,S,4151485219,212,17.7,4151485221,213,2.8,4151485213,56,Back,4151485217,141,59.3,4151485215,140,34.3,,,,,,,49klmhzbsmlxnkp2w60y66sph,Sheila Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526327997,4,1,1,0,2,1qoqz1tyay060cj5aha7rt1lp,0,34.3,59.3,2023-04-01T10:00:37.629Z,2023-04-01T10:00:40Z,4151485265,213,0.2,4151485267,1,,4151485263,212,40.3,4151485261,141,73.2,4151485257,56,Center,4151485259,140,71.6,4151485255,155,,,,,3bnl8jpyjy436d6rq46apwei2,Lara Mata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328003,3,1,1,0,6,9ouh98eyf6u69lbxc13mllm7f,0,28,21.6,2023-04-01T10:00:42.015Z,2023-04-01T12:03:04Z,4151485279,3,,4151485285,141,25.9,4151485281,56,Back,4151485289,213,0.3,4151485287,212,9.1,4151485283,140,36.2,,,,,,,42t82kh0hqfa7h92x1ujdz97u,Patri Gavira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328005,5,1,1,0,7,1qoqz1tyay060cj5aha7rt1lp,0,58.4,78.4,2023-04-01T10:00:42.252Z,2023-04-01T10:00:43Z,4151485309,213,5.2,4151485303,140,64.6,4151485307,212,13.0,4151485301,56,Center,4151485305,141,61.8,,,,,,,,,,3mgkmvazmdqvhtnkkigc24e3u,Belén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328025,4,1,1,0,10,9ouh98eyf6u69lbxc13mllm7f,1,32.4,24.4,2023-04-01T10:00:45.654Z,2023-04-01T10:00:46Z,4151485369,140,41.5,4151485367,56,Back,4151485375,213,6.1,4151485371,141,21.8,4151485373,212,9.7,,,,,,,,,,1au0af90j09ol6827vodhg1k9,C. Falknor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328031,5,49,1,0,12,9ouh98eyf6u69lbxc13mllm7f,1,41.3,24.4,2023-04-01T10:00:47.503Z,2023-04-01T10:00:46Z,,,,,,,,,,,,,,,,,,,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328039,6,1,1,0,12,9ouh98eyf6u69lbxc13mllm7f,1,40.5,25.2,2023-04-01T10:00:47.822Z,2023-04-01T10:00:50Z,4151485445,1,,4151485437,140,28.1,4151485439,141,75.3,4151485441,212,36.5,4151485435,56,Back,4151485443,213,1.9,,,,,,,buqygjztmnvmul49w3grzuo5x,J. Blom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328049,7,1,1,0,16,9ouh98eyf6u69lbxc13mllm7f,1,29.6,67.9,2023-04-01T10:00:51.270Z,2023-04-01T10:00:51Z,4151485477,140,57.6,4151485479,141,71.2,4151485483,213,0.1,4151485475,56,Center,4151485481,212,29.5,,,,,,,,,,5ic26p6vixiy9kqtxniuh9zh1,Pisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526328051,8,61,1,0,17,9ouh98eyf6u69lbxc13mllm7f,0,66.3,73.9,2023-04-01T10:00:52.926Z,2023-04-01T10:00:52Z,4151485487,56,Center,,,,,,,,,,,,,,,,,,,,,,aoy956n72pya0cc6bqj5x736x,María José Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
