id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/8/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2502848269,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-02-01T17:15:00.838Z,2023-02-01T18:10:25Z,4006632649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006632643,59,"1, 8, 22, 12, 2, 4, 14, 9, 20, 18, 16, 3, 6, 7, 15, 21, 24, 25, 30",4006693937,194,5h9k65zukry196snla3xgmh91,4006632641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4006632645,130,4,4006693725,197,17519,4006632647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4006632639,30,"11so3nfejun31ajhmqjlwapqt, 5h9k65zukry196snla3xgmh91, f0cwpq45aa7b5de10j9skw44p, 22zrashyijuh9pnjovqpyl8lx, bgzh3zwl99bpnnpj37jn4dmtx, 4n6mnhjzt6zpicfea3ym678id, 5ovqn6llocczhae9n1kzj5nf9, 6291bj0xqq1w2631bajrpeb4l, c1r1tmscj963olp4yo8kedqdx, dzhvgrdkl4nuj8z4fd9to0ag9, 1vqpa944d79cnljfbjb8yjlcl, 3kfxvwa38a7oq0d126jm4o9ka, aib5wgtlgl48jaezcguoxkmp5, 9gdocwx006j6wyz4mnhzgzydx, 1dg7whnmk3nb1adw7n8a7nnbp, 8h7r4d4z2gjne58xwu3koiok5, 2qfg4adqsjv2qmt9up7iq2t7u, enc694gvlgycx72bhat5f7wbu, 7mehm5v7egyc1r4qioexklbmc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502852601,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-02-01T17:30:58.662Z,2023-02-01T17:58:19Z,4006656775,130,4,4006656769,30,"3qu360b871q8wssodtkeq6oa2, 2qh8rg0ekcnh8qjvnnrpc9olx, 5o5f6l99dzhim5k1jnnmog6hh, 5cpnfg3x95yjy00c6h2g22tp1, w3vjdjxeuaauh8na84fkwhuy, 2me13zmgmf0r0wtsjmxid1zvt, 5w3y2f2ydr2ecq90cdzbn6ns9, bdaicql6er9antum0eaar9x0q, 1533xkmkmi8rpb6yoa8807xn8, er6khxd9z3wfjekigs4nxf8q, 4nvfy4deuo9cmsegz492aq2g9, 8jvs33mize0fkkihe2zot28k5, 280d6mnvu6kjcebwq4ovv1afo, 7rm6858rwtecoxlt5ud31dmy2, bu6otdhlxkznbdm7v6gq1gq21, b9rcv1fsqcwockfpbkl58tl, cqzvybjo8i63y1avibzhpvdud, 5bx3a7j6m109a4jw82appuhre, a0700ecz96fl1yvj8a6zamql0, 6mzsev0k2iqswrjncctnnawic, dn503idumyhiea35ayzeesj6c, 9w8g9it556ipl3zhatke1srca",4006656771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4006656777,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006656779,194,5cpnfg3x95yjy00c6h2g22tp1,4006656773,59,"1, 15, 3, 5, 4, 2, 21, 10, 16, 9, 11, 7, 12, 13, 14, 17, 18, 22, 26, 30, 33, 39",4006656781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006693743,197,3935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502859747,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-02-01T18:01:05.215Z,2023-02-01T18:01:07Z,4006696773,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502859745,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-02-01T18:01:05.215Z,2023-02-01T18:01:05Z,4006696771,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502859763,3,1,1,0,1,bop6aslxmwvzsapdxsw3xbvfg,1,49.9,50.1,2023-02-01T18:01:06.561Z,2023-02-01T18:01:54Z,4006696861,140,35.3,4006696873,279,S,4006696865,141,57.0,4006696871,213,2.8,4006696869,212,16.0,4006696859,56,Back,,,,,,,dzhvgrdkl4nuj8z4fd9to0ag9,Geyse Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502859795,4,1,1,0,3,bop6aslxmwvzsapdxsw3xbvfg,1,35.9,56.7,2023-02-01T18:01:08.738Z,2023-02-01T18:01:13Z,4006697049,141,70.2,4006697053,213,2.2,4006697051,212,11.5,4006697045,56,Back,4006697047,140,29.3,,,,,,,,,,22zrashyijuh9pnjovqpyl8lx,Patri Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502859805,5,1,1,0,7,bop6aslxmwvzsapdxsw3xbvfg,1,30.1,70.5,2023-02-01T18:01:12.946Z,2023-02-01T18:50:35Z,4006697099,213,5.9,4006697093,140,41.7,4006697095,141,64.1,4006697091,56,Back,4006697097,212,12.9,,,,,,,,,,4n6mnhjzt6zpicfea3ym678id,Mapi León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502859839,6,1,1,0,8,bop6aslxmwvzsapdxsw3xbvfg,1,41.7,64.1,2023-02-01T18:01:13.827Z,2023-02-01T18:01:17Z,4006697295,212,13.0,4006697291,140,30.5,4006697289,56,Back,4006697297,213,2.7,4006697293,141,72.3,,,,,,,,,,22zrashyijuh9pnjovqpyl8lx,Patri Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502859859,7,1,1,0,11,bop6aslxmwvzsapdxsw3xbvfg,0,31.2,73.1,2023-02-01T18:01:16.978Z,2023-02-01T18:50:37Z,4006697377,155,,4006697389,1,,4006697383,141,24.4,4006697387,213,5.6,4006697379,56,Center,4006697385,212,55.7,4006697381,140,73.8,,,,4n6mnhjzt6zpicfea3ym678id,Mapi León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502859885,3,1,1,0,14,cd1ottifbgcfrn6pdrdpwt7z0,1,28,75.7,2023-02-01T18:01:19.381Z,2023-02-01T18:01:21Z,4006697475,3,,4006697483,212,13.3,4006697477,56,Back,4006697479,140,40.4,4006697481,141,71.4,4006697485,213,6.1,,,,,,,5o5f6l99dzhim5k1jnnmog6hh,Bea Beltrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
