id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/16/value,qualifier/17/value,assist
2489014765,1,34,16,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2022-12-04T10:12:03.480Z,2022-12-04T11:03:40Z,3933668395,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3933668387,30,"4bcef9sqkbml7b2jtqhbz602d, auyj06nha2syoygo7prfadobu, d0i38pk78vbxoqz7x2rzz8cx6, 31yxoo15eztnf39r45e6hy1g5, 9163edyiljpd18plos0eb2j8p, 1duox0r8qvb3t52m9w4mp86ol, ayd71ahuyt8kd9c8xmbbbhg16, 3alzawtqpfjtb3vez30mbp0mi, 263vizqqfp8zwwws0exdrl3o5, 5qvgs8yefgkayj9yt1kidkcfd, 20nehty0pfzlg8wj60l87taeh, 4pavtall24hy4jle51p1lqkbu, lanj0745tf4i4hige9vm9qll, 3iet32cz1jg865iswu92kqd49, 1tusdkqm6v4khzekbrp2jfnqh, efxmnnjg8l00ns74d7nnloi22, 921nkcoy16y0wya801bo53f85, b24bgt8u8e1b1gb98k9sf9lw4, 52kdiaya57yaisoil0k9ss0oa, 2ac25gja4xuyp8xqe2uvdslqs",3933668391,59,"1, 27, 20, 10, 15, 4, 18, 6, 16, 22, 21, 26, 3, 9, 19, 2, 14, 13, 5, 32",3933668389,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3933668397,194,4bcef9sqkbml7b2jtqhbz602d,3933668399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3933668393,130,8,3933730167,197,14348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489018845,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2022-12-04T10:33:08.225Z,2022-12-04T11:04:48Z,3933691785,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3933691795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3933691793,194,5cpnfg3x95yjy00c6h2g22tp1,3933691783,30,"3qu360b871q8wssodtkeq6oa2, 33t09qpv89b6wo3suzj33meax, 2me13zmgmf0r0wtsjmxid1zvt, 9w8g9it556ipl3zhatke1srca, w3vjdjxeuaauh8na84fkwhuy, 5cpnfg3x95yjy00c6h2g22tp1, 1533xkmkmi8rpb6yoa8807xn8, 5w3y2f2ydr2ecq90cdzbn6ns9, b9rcv1fsqcwockfpbkl58tl, 6mzsev0k2iqswrjncctnnawic, bu6otdhlxkznbdm7v6gq1gq21, 8jvs33mize0fkkihe2zot28k5, er6khxd9z3wfjekigs4nxf8q, bdaicql6er9antum0eaar9x0q, 280d6mnvu6kjcebwq4ovv1afo, 7rm6858rwtecoxlt5ud31dmy2, 2qh8rg0ekcnh8qjvnnrpc9olx, a0700ecz96fl1yvj8a6zamql0, 4prmdvajhlrqoldtbz3f6al0, cj7jkn7wzeupyvi9c141sl3pw, dn503idumyhiea35ayzeesj6c, 9iw98rj0gmrryuibtnt3fgnis",3933729271,197,3935,3933691791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3933691789,130,7,3933691787,59,"1, 19, 2, 39, 4, 5, 16, 21, 17, 30, 14, 7, 9, 10, 12, 13, 15, 26, 29, 31, 33, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489026881,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2022-12-04T11:00:11.291Z,2022-12-04T11:00:12Z,3933732635,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489026869,2,32,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,0,0,2022-12-04T11:00:11.291Z,2022-12-04T11:00:11Z,3933732597,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489026891,3,1,1,0,0,8zt8rrm6v5nccv01v6pef0r1o,1,49.9,50.3,2022-12-04T11:00:11.391Z,2022-12-04T11:19:11Z,3933732713,212,6.7,3933732717,279,S,3933732711,141,45.1,3933732709,140,55.3,3933732707,56,Center,3933732715,213,5.7,,,,,,,5qvgs8yefgkayj9yt1kidkcfd,E. Banini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489026895,4,50,1,0,3,8zt8rrm6v5nccv01v6pef0r1o,1,60.4,54.8,2022-12-04T11:00:14.594Z,2022-12-04T11:00:18Z,3933732737,286,,3933732799,233,3,3933732735,56,Center,,,,,,,,,,,,,,,,31yxoo15eztnf39r45e6hy1g5,L. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489026909,3,7,1,0,3,cd1ottifbgcfrn6pdrdpwt7z0,1,39.6,45.2,2022-12-04T11:00:14.595Z,2022-12-04T11:01:56Z,3933732793,285,,3933732795,233,4,3933732791,56,Back,,,,,,,,,,,,,,,,5w3y2f2ydr2ecq90cdzbn6ns9,Anna Torrodà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489026911,4,49,1,0,6,cd1ottifbgcfrn6pdrdpwt7z0,1,41.1,59,2022-12-04T11:00:17.707Z,2022-12-04T11:01:57Z,,,,,,,,,,,,,,,,,,,,,,,,,6mzsev0k2iqswrjncctnnawic,Ainhoa Alguacil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489026915,5,1,1,0,7,cd1ottifbgcfrn6pdrdpwt7z0,1,41.3,59.4,2022-12-04T11:00:18.441Z,2022-12-04T11:02:00Z,3933732815,212,4.7,3933732811,140,43.2,3933732809,56,Back,3933732817,213,1.1,3933732813,141,65.7,,,,,,,,,,6mzsev0k2iqswrjncctnnawic,Ainhoa Alguacil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489026933,6,1,1,0,8,cd1ottifbgcfrn6pdrdpwt7z0,1,43.3,71.5,2022-12-04T11:00:19.468Z,2022-12-04T11:00:21Z,3933732905,56,Back,3933732913,213,2.8,3933732909,141,80.3,3933732911,212,17.5,3933732907,140,27.6,,,,,,,,,,bu6otdhlxkznbdm7v6gq1gq21,Pauleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
