id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/11/value,assist,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2497812093,1,34,16,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-01-15T16:29:15.637Z,2023-01-26T15:15:52Z,3980368863,194,77pobry4mbh5wojka1ikgty7e,3980247015,30,"77pobry4mbh5wojka1ikgty7e, 5z6z0sw5jlr432mdo2yu5riay, 5onfamqh0uteez2wtx463dknp, 3iangrthyltpl31m4v1qkgn2t, 51t40jr0wwgmuya85pnhjgx2i, z2pihtvpr5ei4ip9z9jtqn6x, cyqlcyzogla6wql5pms4i02d, 6msenows401fssj9jaih9g0a2, e4glbrjataxggtxf953n1jsnp, a88r8d1jd5r928pvskginyiqy, bpmtdn2uqnwhllfnm59ck6rit, aietcywmok362027i2brpg4q1, 1g7gyw5fbuujomrqso7fzajxm, ergobfal6ny5w6xy1hsixrdhw, a4jf0e2bojp6n0cmd01zppsoa, ddq90t1cfklvuhk0xkbydfsut, 1zlt1xabh07byc3u8oid9gdn8, as46cuq3qee83uxgifxo0r88a",3980364261,197,4082,3980247037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980247021,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3980247035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3980247027,59,"1, 16, 7, 5, 4, 6, 11, 8, 22, 3, 9, 13, 15, 18, 21, 24, 26, 27",3980247031,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497816823,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-01-15T16:37:07.047Z,2023-01-15T17:05:51Z,3980273385,30,"91vjxbtjn9fmsatxvncmwxyhh, 8m8fk05kqcs7ver68ubl61mju, 9x6jbuibbl7ysh0oovghyw4id, a8y8rzun56tbscefigcor225m, 5hk1m1corx8iy26z88eo65fpx, efrr99onfcuvb2gylkvvrnl9m, 57ubfxv6ujkk5cictmez4op1x, bixjzl99gkes918s5gbndtwwl, 5jwmy7qi01na2bmyw3zo3is8a, 5e5sc7yzyi9kja9edk892br9x, d71c1o7e1t448gemysrgisj8q, 5ag0647kn7k4y21y8nigiwxqt, 7vtua260sxp339ie21any0zc9, u29d1e3mswrdqx1aqfhuj8ph, 791g6utcjg9779zlvf7gyavze, 5q1oexaovibgn83v5kmjfanvu, bruuz81usy0wu8hpg4d6af3e1, em7ia2l8t9011hu2mnihjf90q, 4nbtzqsvw5ecwsh0k19rzoiga, 7ffrfies3tie3rewc1cm0hz9x",3980273387,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3980273391,130,11,3980364295,197,3969,3980273395,194,5e5sc7yzyi9kja9edk892br9x,3980273389,59,"1, 20, 17, 27, 14, 5, 11, 18, 19, 23, 10, 6, 7, 8, 9, 12, 13, 15, 16, 22",3980273393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980273397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830713,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-01-15T17:01:38.244Z,2023-01-15T17:01:40Z,3980352837,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830709,2,32,1,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-01-15T17:01:38.244Z,2023-01-15T17:01:38Z,3980352821,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830719,3,1,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,49.6,49.9,2023-01-15T17:01:38.344Z,2023-01-15T17:36:26Z,3980352899,213,2.9,3980352891,56,Back,3980352895,141,51.1,3980352901,279,S,3980352893,140,46.3,3980352897,212,3.6,,,,,,,5jwmy7qi01na2bmyw3zo3is8a,Cristina Martín-Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830755,4,1,1,0,3,bxlqcsb8ylen7lng9qy50eoq5,1,47.1,58.5,2023-01-15T17:01:41.970Z,2023-01-15T17:01:46Z,3980353133,56,Back,3980353137,140,40.9,3980353141,212,23.6,3980353139,141,91.9,3980353143,213,1.8,,,,,,,,,,5e5sc7yzyi9kja9edk892br9x,Amanda Sampedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830793,5,1,1,0,7,bxlqcsb8ylen7lng9qy50eoq5,1,39,93.2,2023-01-15T17:01:45.906Z,2023-01-15T17:01:50Z,3980353383,212,15.9,3980353385,213,3.7,3980353377,56,Back,3980353379,140,25.9,3980353381,141,81.5,,,,,,,,,,9x6jbuibbl7ysh0oovghyw4id,Débora García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830801,6,1,1,0,12,bxlqcsb8ylen7lng9qy50eoq5,1,26.1,77.6,2023-01-15T17:01:50.370Z,2023-01-15T17:01:52Z,3980353433,141,43.6,3980353437,213,4.7,3980353431,140,26.1,3980353435,212,23.1,3980353429,56,Back,,,,,,,,,,a8y8rzun56tbscefigcor225m,Nazareth Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830857,7,1,1,0,13,bxlqcsb8ylen7lng9qy50eoq5,1,26.1,43.7,2023-01-15T17:01:52.210Z,2023-01-15T17:01:57Z,3980353687,141,17.9,3980353683,56,Back,3980353685,140,27.9,3980353689,212,17.6,3980353691,213,4.8,,,,,,,,,,efrr99onfcuvb2gylkvvrnl9m,Eva Llamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830859,8,1,1,0,19,bxlqcsb8ylen7lng9qy50eoq5,1,36.3,27.4,2023-01-15T17:01:57.714Z,2023-01-15T17:01:58Z,3980353715,141,29.5,3980353711,56,Back,3980353717,212,10.6,3980353719,213,3.0,3980353713,140,26.3,,,,,,,,,,bixjzl99gkes918s5gbndtwwl,K. Cahynová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830931,9,1,1,0,20,bxlqcsb8ylen7lng9qy50eoq5,1,26.3,29.6,2023-01-15T17:01:58.770Z,2023-01-15T17:02:09Z,3980354125,141,47.8,3980354121,56,Back,3980354127,212,19.6,3980354123,140,11.8,3980354129,213,2.5,,,,,,,,,,efrr99onfcuvb2gylkvvrnl9m,Eva Llamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497830943,10,1,1,0,31,bxlqcsb8ylen7lng9qy50eoq5,1,13.8,44.1,2023-01-15T17:02:09.267Z,2023-01-15T17:02:12Z,3980354183,141,38.3,3980354187,213,6.2,3980354181,140,56.8,3980354179,56,Center,3980354185,212,45.3,3980354175,157,,3980354189,1,,,,,91vjxbtjn9fmsatxvncmwxyhh,Esther Sullastres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
