id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,assist,qualifier/13/value
2489172925,1,34,16,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2022-12-04T16:24:19.873Z,2022-12-04T17:04:00Z,3934521975,30,"d1iaa35qeww3me6qcyisvlsh6, 1ite4628zwl6kanllmr7qb1zp, 3ws5zg8wy6j86cr8yrqxnsx9m, 4by0xo4xinb0m8nziofw0g3bp, zuec10u63781iv5rojm31yzu, 9jxxujnb2eoo7avj278ppnqvp, 25u358p365rnbnt0cptnyt3h1, 44j03m9xpbhjuxmqz6vge9y0a, eu6nudazhvggen5s7abc46bpx, 27oce8op8b7a6fmyp8utoz5gq, 1z29kbiufzx7u32mh1fvy1rs9, 13mb0sv3j53kze8l7ehr4izmd, 48ek30aqu7r1jtm3ouvxdi06i, ybmp63ubo0wcvjut4ljomgru, 52ic0j91dhgr0vud2agr4ev2t, 1szjchjw88hnlrwejnia4yyuh, 7n5a86810eorw5ugrdkognd62, 1jjfj4cr50dlr3c1zo540yove, 6uttq0cpsnicezpcqy36p7r4k",3934521981,130,23,3934521983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3934521985,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3934553221,194,zuec10u63781iv5rojm31yzu,3934521979,59,"1, 19, 20, 12, 4, 3, 11, 23, 10, 7, 6, 14, 15, 16, 17, 21, 22, 28, 36",3934523085,197,3945,3934521977,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489174469,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2022-12-04T16:31:59.555Z,2022-12-04T17:09:12Z,3934530453,194,5xlqh4i9zb5daj4khs1mbbxpm,3934530435,30,"hf67c0ip1chljjy1udsjpt2i, 5xlqh4i9zb5daj4khs1mbbxpm, ev8an510kk4nb6dabnsa962tx, 1nhju64j5loikn6t0j9m6au39, 4su6y0sg2fw9vvi8y5cjazk0k, 2dsgmfs9crnzz3425si3m9uj9, 9742qffzdwiz9y3y7et40863t, 1cfjcoum4z07r1p3uyy2p9x49, et6offb5y91ch6mlol3dwcd0p, 5kio1iodx7cq9i9p9kql1nuuh, 4ngzyppqh4iaqqy0vrynwz66s, 5zhcjr5kxyxd2jmq1wel3ug9h, 24bz5vlm76nrqcnblyxfkt8x6, 8i42x5mpk5bpm1i0gvgubx9pm, 67i9jwkech61ihpglnmpzygvd, 3z91j68ij26ar4vifyqyp34k, ent5lfgq42d5ngi3ebyy7p1w5, 35uen906vvtndlnv3hrm5zo8a, cgunamq8fn3bre2d3cimwh6cq",3934530461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3934530439,59,"24, 11, 21, 20, 25, 19, 12, 15, 10, 7, 16, 1, 4, 8, 9, 18, 22, 23, 27",3934530445,130,7,3934530457,197,3938,3934530437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3934530449,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178587,2,32,1,0,0,9ns699xp353c84r1g6epazycl,1,0,0,2022-12-04T17:00:32.635Z,2022-12-04T17:00:32Z,3934553441,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178589,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2022-12-04T17:00:32.635Z,2022-12-04T17:00:34Z,3934553443,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178599,3,1,1,0,0,9ns699xp353c84r1g6epazycl,1,50,50,2022-12-04T17:00:32.735Z,2022-12-04T17:00:38Z,3934553479,212,19.0,3934553477,141,57.0,3934553473,56,Back,3934553483,279,S,3934553475,140,32.5,3934553481,213,2.9,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178605,4,1,1,0,5,9ns699xp353c84r1g6epazycl,1,32.1,57.6,2022-12-04T17:00:38.560Z,2022-12-04T17:00:41Z,3934553515,56,Back,3934553523,213,2.2,3934553521,212,13.2,3934553519,141,73.1,3934553517,140,24.5,,,,,,,,,,4by0xo4xinb0m8nziofw0g3bp,Leire Baños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178611,5,1,1,0,8,9ns699xp353c84r1g6epazycl,1,24.5,73.1,2022-12-04T17:00:41.264Z,2022-12-04T17:00:45Z,3934553563,213,4.7,3934553555,56,Back,3934553561,212,22.6,3934553557,140,24.7,3934553559,141,39.8,,,,,,,,,,9jxxujnb2eoo7avj278ppnqvp,Núria Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178613,6,1,1,0,12,9ns699xp353c84r1g6epazycl,0,32.7,29.2,2022-12-04T17:00:45.152Z,2022-12-04T17:00:48Z,3934553571,141,8.0,3934553573,212,22.3,3934553567,56,Back,3934553575,213,5.6,3934553569,140,48.9,,,,,,,,,,zuec10u63781iv5rojm31yzu,María Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178623,3,49,1,0,16,djz9e25b9zuiu5rmv1zha3i6f,1,49,86.2,2022-12-04T17:00:48.952Z,2022-12-04T17:00:49Z,,,,,,,,,,,,,,,,,,,,,,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178629,4,1,1,0,16,djz9e25b9zuiu5rmv1zha3i6f,1,49,86.2,2022-12-04T17:00:49.125Z,2022-12-04T17:00:51Z,3934553645,212,14.4,3934553643,141,87.2,3934553641,140,62.7,3934553647,213,0.0,3934553639,56,Left,,,,,,,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178639,5,1,1,0,18,djz9e25b9zuiu5rmv1zha3i6f,1,58.3,92,2022-12-04T17:00:51.229Z,2022-12-04T17:00:53Z,3934553705,213,1.5,3934553699,140,58.4,3934553697,56,Left,3934553701,141,97.5,3934553703,212,3.7,,,,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178643,6,1,1,0,20,djz9e25b9zuiu5rmv1zha3i6f,1,57.8,96.8,2022-12-04T17:00:53.046Z,2022-12-04T17:00:57Z,3934553729,212,36.0,3934553727,141,79.7,3934553731,213,3.5,3934553723,56,Back,3934553733,1,,3934553725,140,25.4,,,,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178651,7,1,1,0,24,djz9e25b9zuiu5rmv1zha3i6f,1,25.1,79.3,2022-12-04T17:00:56.886Z,2022-12-04T17:01:04Z,3934553759,140,12.9,3934553757,56,Back,3934553765,213,3.9,3934553761,141,59.6,3934553763,212,18.5,,,,,,,,,,2dsgmfs9crnzz3425si3m9uj9,Dorine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178657,8,1,1,0,31,djz9e25b9zuiu5rmv1zha3i6f,0,19.5,62.1,2022-12-04T17:01:04.150Z,2022-12-04T18:20:24Z,3934553801,1,,3934553797,212,44.7,3934553795,141,23.6,3934553791,56,Center,3934553793,140,54.0,3934553789,155,,3934553799,213,5.7,,,,hf67c0ip1chljjy1udsjpt2i,Malena Mieres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178663,7,1,1,0,36,9ns699xp353c84r1g6epazycl,0,43.8,80.3,2022-12-04T17:01:09.522Z,2022-12-04T17:01:12Z,3934553833,212,20.5,3934553831,141,100.0,3934553827,56,Left,3934553829,140,57.8,3934553835,213,0.8,,,,,,,,,,3ws5zg8wy6j86cr8yrqxnsx9m,Paula Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178665,8,5,1,0,37,9ns699xp353c84r1g6epazycl,0,58.8,101.2,2022-12-04T17:01:09.949Z,2022-12-04T17:05:19Z,3934553839,347,,3934553837,56,Left,3934553961,233,9,,,,,,,,,,,,,,,,3ws5zg8wy6j86cr8yrqxnsx9m,Paula Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178683,9,5,1,0,37,djz9e25b9zuiu5rmv1zha3i6f,1,41.2,-1.2,2022-12-04T17:01:09.949Z,2022-12-04T17:01:26Z,3934553955,233,8,3934553951,56,Back,3934553953,347,,,,,,,,,,,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178685,10,1,1,0,53,djz9e25b9zuiu5rmv1zha3i6f,0,51.4,0,2022-12-04T17:01:25.790Z,2022-12-04T17:01:27Z,3934553969,141,24.0,3934553967,140,60.9,3934553963,107,,3934553971,212,20.1,3934553965,56,Center,3934553973,213,1.1,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178687,9,49,1,0,54,9ns699xp353c84r1g6epazycl,1,32.3,82.7,2022-12-04T17:01:27.540Z,2022-12-04T17:01:27Z,,,,,,,,,,,,,,,,,,,,,,,,,44j03m9xpbhjuxmqz6vge9y0a,Érika González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178693,10,1,1,0,55,9ns699xp353c84r1g6epazycl,1,32.3,82.7,2022-12-04T17:01:28.035Z,2022-12-04T17:01:29Z,3934553995,56,Back,3934554001,212,8.8,3934554003,213,2.8,3934553999,141,86.7,3934553997,140,24.3,,,,,,,,,,44j03m9xpbhjuxmqz6vge9y0a,Érika González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178695,11,1,1,0,57,9ns699xp353c84r1g6epazycl,1,24.3,86.7,2022-12-04T17:01:29.651Z,2022-12-04T17:01:31Z,3934554009,140,19.7,3934554007,56,Back,3934554015,213,4.4,3934554013,212,15.8,3934554011,141,64.5,,,,,,,,,,9jxxujnb2eoo7avj278ppnqvp,Núria Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178699,12,1,1,0,58,9ns699xp353c84r1g6epazycl,1,19.7,64.5,2022-12-04T17:01:31.411Z,2022-12-04T17:01:35Z,3934554031,212,16.1,3934554029,141,63.3,3934554027,140,4.4,3934554033,213,3.2,3934554025,56,Back,,,,,,,,,,zuec10u63781iv5rojm31yzu,María Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
