id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/9/value,assist,qualifier/16/value,qualifier/17/value
2546705701,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-05-10T16:21:45.891Z,2023-05-10T17:06:24Z,4266845115,59,"1, 20, 16, 22, 5, 2, 9, 6, 19, 4, 10, 8, 11, 13, 14, 15, 17, 18, 23, 27",4266845117,130,11,4266845119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4266845121,194,5ag0647kn7k4y21y8nigiwxqt,4266845113,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4266845111,30,"91vjxbtjn9fmsatxvncmwxyhh, 8m8fk05kqcs7ver68ubl61mju, 4nbtzqsvw5ecwsh0k19rzoiga, 7ffrfies3tie3rewc1cm0hz9x, efrr99onfcuvb2gylkvvrnl9m, f24lwuatps6dy3yzdifyir6qd, 791g6utcjg9779zlvf7gyavze, 5ag0647kn7k4y21y8nigiwxqt, 5jwmy7qi01na2bmyw3zo3is8a, aktfohaqh9czmqesi39tstlka, d71c1o7e1t448gemysrgisj8q, u29d1e3mswrdqx1aqfhuj8ph, 57ubfxv6ujkk5cictmez4op1x, bruuz81usy0wu8hpg4d6af3e1, 5hk1m1corx8iy26z88eo65fpx, em7ia2l8t9011hu2mnihjf90q, 9x6jbuibbl7ysh0oovghyw4id, bixjzl99gkes918s5gbndtwwl, 5e5sc7yzyi9kja9edk892br9x, a8y8rzun56tbscefigcor225m",4266845123,197,3969,4266845125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546705717,1,34,16,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-05-10T16:21:51.279Z,2023-05-10T17:13:34Z,4266845201,59,"1, 34, 40, 30, 2, 5, 21, 19, 18, 7, 9, 3, 4, 11, 20, 22, 23, 24, 25, 32",4266845203,130,4,4266845197,30,"11so3nfejun31ajhmqjlwapqt, edc7fwwkl9fcuu9zzxmm3s1nu, cw97vxc7rkog1flgwkgv0dxck, 7mehm5v7egyc1r4qioexklbmc, bgzh3zwl99bpnnpj37jn4dmtx, 3ruj0we4jma5m60xumyoir1ii, 8h7r4d4z2gjne58xwu3koiok5, 9t2pn6dp6w38b169a5qo9c60a, dzhvgrdkl4nuj8z4fd9to0ag9, 9gdocwx006j6wyz4mnhzgzydx, 6291bj0xqq1w2631bajrpeb4l, 3kfxvwa38a7oq0d126jm4o9ka, 4n6mnhjzt6zpicfea3ym678id, 5exouoey2r6wtpympr6drg3it, c1r1tmscj963olp4yo8kedqdx, f0cwpq45aa7b5de10j9skw44p, cvy1q6gtx1gs9ddemdpcf8ded, 2qfg4adqsjv2qmt9up7iq2t7u, enc694gvlgycx72bhat5f7wbu, 9azsnuqjm6gmqzfmfal9c920a",4266845209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4266862091,194,11so3nfejun31ajhmqjlwapqt,4266845199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4266845207,197,3389,4266845205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709833,2,32,1,0,0,bop6aslxmwvzsapdxsw3xbvfg,1,0,0,2023-05-10T17:01:36.716Z,2023-05-10T17:01:36Z,4266869827,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709835,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-05-10T17:01:36.716Z,2023-05-10T17:01:39Z,4266869829,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709837,3,1,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,50,50,2023-05-10T17:01:36.816Z,2023-05-10T17:01:40Z,4266869837,141,39.8,4266869835,140,41.9,4266869833,56,Back,4266869841,213,3.8,4266869839,212,11.0,4266869843,279,S,,,,,,,5jwmy7qi01na2bmyw3zo3is8a,Cristina Martín-Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709839,4,1,1,0,3,bxlqcsb8ylen7lng9qy50eoq5,1,41.9,39.8,2023-05-10T17:01:40.107Z,2023-05-10T17:01:45Z,4266869857,212,16.9,4266869855,141,57.9,4266869853,140,30.9,4266869859,213,2.3,4266869851,56,Back,,,,,,,,,,5ag0647kn7k4y21y8nigiwxqt,Nagore Calderón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709841,5,1,1,0,8,bxlqcsb8ylen7lng9qy50eoq5,1,28,56.6,2023-05-10T17:01:45.532Z,2023-05-10T17:01:48Z,4266869867,141,48.2,4266869865,140,34.9,4266869863,56,Back,4266869871,213,5.6,4266869869,212,9.2,,,,,,,,,,7ffrfies3tie3rewc1cm0hz9x,M. Nicoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709843,6,4,1,0,11,bxlqcsb8ylen7lng9qy50eoq5,1,37.1,53,2023-05-10T17:01:48.045Z,2023-05-10T17:01:54Z,4266869883,286,,4266869897,233,3,4266869879,152,,4266869875,13,,4266869881,265,,4266869877,56,Back,,,,,,,5ag0647kn7k4y21y8nigiwxqt,Nagore Calderón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709845,3,4,1,0,11,bop6aslxmwvzsapdxsw3xbvfg,0,62.9,47,2023-05-10T17:01:48.046Z,2023-05-10T17:01:55Z,4266869887,13,,4266869893,265,,4266869895,285,,4266869901,233,6,4266869889,56,Center,4266869891,152,,,,,,,,7mehm5v7egyc1r4qioexklbmc,Vicky López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709847,7,1,1,0,19,bxlqcsb8ylen7lng9qy50eoq5,0,33.8,47.6,2023-05-10T17:01:55.773Z,2023-05-10T17:02:04Z,4266869915,140,84.6,4266869917,141,86.6,4266869945,189,,4266869921,213,0.5,4266869919,212,59.6,4266869913,56,Left,4266869911,152,,4266869907,5,,efrr99onfcuvb2gylkvvrnl9m,Eva Llamas,4266869923,1,4266869909,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709849,4,49,1,0,23,bop6aslxmwvzsapdxsw3xbvfg,1,10.9,13.2,2023-05-10T17:01:59.821Z,2023-05-10T17:01:59Z,,,,,,,,,,,,,,,,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709851,5,1,1,0,23,bop6aslxmwvzsapdxsw3xbvfg,1,10.9,13.2,2023-05-10T17:02:00.461Z,2023-05-10T17:02:03Z,4266869937,141,28.5,4266869935,140,24.1,4266869933,56,Back,4266869941,213,0.6,4266869939,212,17.3,,,,,,,,,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546709855,6,1,1,0,26,bop6aslxmwvzsapdxsw3xbvfg,1,24.1,28.5,2023-05-10T17:02:03.389Z,2023-05-10T17:55:02Z,4266869951,140,24.7,4266869955,212,13.0,4266869957,213,4.8,4266869953,141,9.4,4266869949,56,Back,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
