id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2537993925,1,34,16,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-04-23T13:11:41.899Z,2023-04-23T14:32:30Z,4213451647,194,470znxtt0sf52aav1o8s1hkdm,4213451635,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4213736571,197,3971,4213451651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213451641,130,11,4213451645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4213451633,30,"dri6ywllr5aapmost881p4991, 1vcx3sprpnorl4q43abs8iuei, 8tmzjcaglix0qj8zy7yp8w7o, 6ufssidf65zo52ru9q644hq3u, 8fswi9ldpiuemw0y922tf7dud, aa93kg4nfvrpthvfkkofixwtm, f6dtaackj9nd3ngnvs5nq0o9, 470znxtt0sf52aav1o8s1hkdm, 4l0t0twvkms04gm3w3b2xvhsl, c60g2qtl13gydk9p2pqbbnsb8, 5wubhrq7ftqx0ryckwbrdxc5x, auqzv0poi2q7tcardivb21m8l, 9s5jdwjyk9klobfdt4wwt5jvt, 67nqgmgyb28btwrkdykjitylm, 67kef1hzytkax2iyeg2il5nth, eitv6t0xve84dgqlxutee0ys4, 16sc4hlsrq610rhfzi6m2squh, 6zyach9kkb2p1fuih4dm5ow7o, 8hmntjeezmx4ch9yeti4x9y50",4213451639,59,"1, 9, 4, 14, 23, 15, 10, 16, 22, 18, 20, 3, 5, 8, 11, 12, 13, 17, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537997341,1,34,16,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-04-23T13:13:54.067Z,2023-04-23T14:43:54Z,4213736177,197,4082,4213468489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213468487,194,77pobry4mbh5wojka1ikgty7e,4213468475,59,"1, 16, 11, 4, 26, 5, 15, 20, 9, 18, 8, 3, 7, 21, 22, 24, 32, 35",4213468471,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4213468467,30,"77pobry4mbh5wojka1ikgty7e, 5z6z0sw5jlr432mdo2yu5riay, cyqlcyzogla6wql5pms4i02d, 51t40jr0wwgmuya85pnhjgx2i, 1zlt1xabh07byc3u8oid9gdn8, 3iangrthyltpl31m4v1qkgn2t, 1g7gyw5fbuujomrqso7fzajxm, 31q50ese977zfgiwi9bc1ehre, bpmtdn2uqnwhllfnm59ck6rit, ergobfal6ny5w6xy1hsixrdhw, 6msenows401fssj9jaih9g0a2, a88r8d1jd5r928pvskginyiqy, 5onfamqh0uteez2wtx463dknp, a4jf0e2bojp6n0cmd01zppsoa, e4glbrjataxggtxf953n1jsnp, ddq90t1cfklvuhk0xkbydfsut, 24fopza4zrtm63pyjkl55beac, 9xgcy1zjds8lgqrd40pahquj8",4213468479,130,19,4213468483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538050901,2,32,1,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-04-23T14:00:25.158Z,2023-04-23T14:00:25Z,4213746271,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538050905,2,32,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-04-23T14:00:25.158Z,2023-04-23T14:00:28Z,4213746299,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538050915,3,1,1,0,0,b9ecgxh884j2ugjrxwvpym192,1,49.6,52,2023-04-23T14:00:25.258Z,2023-04-23T14:53:50Z,4213746363,279,S,4213746353,56,Back,4213746355,140,42.7,4213746357,141,52.0,4213746359,212,7.2,4213746361,213,3.1,,,,,,,470znxtt0sf52aav1o8s1hkdm,Sandra Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538050935,4,1,1,0,3,b9ecgxh884j2ugjrxwvpym192,0,34.9,51.2,2023-04-23T14:00:28.966Z,2023-04-23T14:53:38Z,4213746487,140,60.4,4213746489,141,69.4,4213746495,1,,4213746491,212,29.5,4213746485,56,Center,4213746493,213,0.4,4213746483,157,,,,,aa93kg4nfvrpthvfkkofixwtm,Patri Ojeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538050953,3,49,1,0,6,4vvf3sulx3a61fiyaarjdndjs,1,44,32.1,2023-04-23T14:00:31.436Z,2023-04-23T14:00:43Z,,,,,,,,,,,,,,,,,,,,,,,,,1g7gyw5fbuujomrqso7fzajxm,Aída Esteve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538050999,4,1,1,0,6,4vvf3sulx3a61fiyaarjdndjs,1,46,26.4,2023-04-23T14:00:32.146Z,2023-04-23T14:01:18Z,4213746817,140,56.9,4213746823,213,5.7,4213746819,141,15.0,4213746815,56,Right,4213746821,212,13.8,,,,,,,,,,1g7gyw5fbuujomrqso7fzajxm,Aída Esteve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538050975,5,43,1,0,9,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-04-23T14:00:34.999Z,2023-04-23T14:00:37Z,4213746805,144,49,,,,,,,,,,,,,,,,,,,,,,5wubhrq7ftqx0ryckwbrdxc5x,A. Edgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538051005,5,4,1,0,10,4vvf3sulx3a61fiyaarjdndjs,1,59.8,12.1,2023-04-23T14:00:35.538Z,2023-04-23T14:00:43Z,4213746853,286,,4213746849,56,Right,4213746847,295,,4213747055,233,6,4213746845,13,,4213746851,152,,,,,,,,bpmtdn2uqnwhllfnm59ck6rit,Gabi Nunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
