id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,assist
2487762003,1,34,16,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2022-11-26T14:24:38.549Z,2022-11-26T15:00:50Z,3927048211,130,2,3927048207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3927048205,30,"euieo81aiyv4wqldc8owokset, 5mk5a6g9962zs1f0dgv2g3o45, 8grsiemkt03k8c1g6am7vnxlh, 23cz0ftfc2rstsut0wkmntm8l, 3bnl8jpyjy436d6rq46apwei2, 5fula0vkdt8dg2s1po4k9no16, 4bpis8gkfy9n5pknxuw40hus4, 61103f3yhhms1lylloihvbrv9, 49klmhzbsmlxnkp2w60y66sph, 3mgkmvazmdqvhtnkkigc24e3u, 3uj4zixqbp5ahu9etu4fl714a, 79zpaj24j11e9aajt7vmjf88a, tfni0bbycqnutwdofnndixd6, 4kqwr8xb2ydw2v32thgb5sk5w, dcbrqeq61r269wyh4k00g3t3o, 55dkf4evau0bcy8uyhkat9b84, 1bwsm5vcee014jmyh63q1ayhg, 3qg0fby2m8ua25w931ubn8mc4, 8d7m36cejwj5ir3gtrerrjhg4, aonmv6r812y97nhi905zu08pg",3927048213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3927048217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3927048215,194,3bnl8jpyjy436d6rq46apwei2,3927111113,197,12187,3927048209,59,"1, 14, 15, 18, 22, 4, 6, 20, 9, 7, 12, 8, 10, 11, 13, 27, 28, 30, 33, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487762427,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2022-11-26T14:26:01.736Z,2022-11-26T15:04:41Z,3927050581,59,"1, 11, 17, 8, 6, 21, 19, 15, 22, 16, 31, 5, 7, 10, 13, 14, 18, 20, 28",3927050579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3927050589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3927111163,197,3973,3927050587,194,f2wy9lcvcg47ufsat67mdf0et,3927050583,130,4,3927050585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3927050577,30,"6nx2fpsn1549tqew7098csqg9, 2lh6bupkrijpm9n916446nbop, f0m3ncnvrrrj3wcgzrz7ja44q, f2wy9lcvcg47ufsat67mdf0et, si7seewiwpo5s7yi3jbxuo2y, 85vgjvamflqyzs4ov1fnaai95, 1jepco4u9frbnmu5lyotlgu8k, eb1k3xi1oy9c5xkc30fgodg4, ak7rstu77leltpt7c104ca4q2, 88cflr7hnw1o3ej6y3wsj5p0p, envd6nvea5ssa98mq2bnd7otm, alcmg8hi95r5q7etrck1uyusq, ekctrwv020vt9iuv6jkpfivv9, ennkxlwawwoc8go6bx5ntskp, 1k0lkh2uqjo6c42khduv89dk9, er787gw0uh9wwlo98tzsc83qh, 69hzl68t1f58dxs461jizyjje, bows51pg0h4042274cvzwtmcq, bpk64d0puoo2xofbb5k4ffuac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487774457,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2022-11-26T14:59:38.598Z,2022-11-26T14:59:40Z,3927116629,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487774451,2,32,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2022-11-26T14:59:38.598Z,2022-11-26T14:59:38Z,3927116627,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487774473,3,1,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,50.2,49.7,2022-11-26T14:59:38.698Z,2022-11-26T14:59:42Z,3927116701,56,Back,3927116709,213,2.8,3927116707,212,11.8,3927116703,140,39.8,3927116711,279,S,3927116705,141,56.1,,,,,,,49klmhzbsmlxnkp2w60y66sph,Sheila Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487774495,4,1,1,0,3,1qoqz1tyay060cj5aha7rt1lp,1,39.9,55.7,2022-11-26T14:59:42.123Z,2022-11-26T14:59:47Z,3927116875,56,Right,3927116883,141,4.4,3927116887,212,46.2,3927116891,1,,3927116879,140,68.7,3927116889,213,5.4,3927116869,155,,,,,61103f3yhhms1lylloihvbrv9,Ainoa Campo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487774503,5,1,1,0,9,1qoqz1tyay060cj5aha7rt1lp,0,67.7,3.8,2022-11-26T14:59:47.723Z,2022-11-26T14:59:49Z,3927116911,56,Right,3927116913,140,60.7,3927116917,212,8.3,3927116919,213,3.6,3927116915,141,0.0,,,,,,,,,,3mgkmvazmdqvhtnkkigc24e3u,Belén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487774547,3,5,1,0,10,1azk57wev30h044w949j46kpu,1,38.3,102,2022-11-26T14:59:49.549Z,2022-11-26T15:06:18Z,3927117103,56,Back,3927117109,233,6,3927117105,347,,,,,,,,,,,,,,,,,f0m3ncnvrrrj3wcgzrz7ja44q,Nerea Nevado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487774505,6,5,1,0,10,1qoqz1tyay060cj5aha7rt1lp,0,61.7,-2,2022-11-26T14:59:49.549Z,2022-11-26T14:59:56Z,3927117113,233,3,3927116925,56,Right,3927116927,347,,,,,,,,,,,,,,,,,3mgkmvazmdqvhtnkkigc24e3u,Belén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487774559,4,1,1,0,17,1azk57wev30h044w949j46kpu,0,37.3,100,2022-11-26T14:59:55.951Z,2022-11-26T15:00:00Z,3927117187,212,29.5,3927117183,140,64.9,3927117179,107,,3927117181,56,Left,3927117191,1,,3927117185,141,93.8,3927117189,213,6.1,,,,f0m3ncnvrrrj3wcgzrz7ja44q,Nerea Nevado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
