id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value,qualifier/15/value
2524745779,1,34,16,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-03-26T09:12:50.961Z,2023-03-26T10:14:52Z,4124487175,130,10,4124487173,59,"1, 16, 7, 6, 4, 26, 11, 20, 9, 3, 18, 5, 8, 13, 15, 21, 22, 32",4124487169,30,"77pobry4mbh5wojka1ikgty7e, 5z6z0sw5jlr432mdo2yu5riay, 5onfamqh0uteez2wtx463dknp, z2pihtvpr5ei4ip9z9jtqn6x, 51t40jr0wwgmuya85pnhjgx2i, 1zlt1xabh07byc3u8oid9gdn8, cyqlcyzogla6wql5pms4i02d, 31q50ese977zfgiwi9bc1ehre, bpmtdn2uqnwhllfnm59ck6rit, a88r8d1jd5r928pvskginyiqy, ergobfal6ny5w6xy1hsixrdhw, 3iangrthyltpl31m4v1qkgn2t, 6msenows401fssj9jaih9g0a2, aietcywmok362027i2brpg4q1, 1g7gyw5fbuujomrqso7fzajxm, a4jf0e2bojp6n0cmd01zppsoa, e4glbrjataxggtxf953n1jsnp, 24fopza4zrtm63pyjkl55beac",4124487181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124531831,197,3946,4124487171,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4124487177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4124487179,194,77pobry4mbh5wojka1ikgty7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524745855,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-03-26T09:13:10.573Z,2023-03-26T10:14:46Z,4124487429,30,"6d7hdegq9cbh7kr8sqvao1qt, antfb8hyo1sn4o68itu4oi904, d5i62fwuf8ohc8fcq3lxboiga, 52mkbnt2oveh76tfrlojocgyd, fge9gic869tnpk4tetnxuv4k, 5yvzsnnawnxbki7rqnamwr3yt, ez9in0ld6mrlrab7bi1kvuhd6, a6wwf7jl8eis7wvrhhwhdq3f9, 5sxloac78uf7i1kuscy5qwlw5, ahmylmsg9wyiax33v6jwuj9qs, avhw3o6tm33ptddzgwfsqod4a, 9806puntyqdx2m1gp55p2qbfu, ccvlwuog9vngbz1ni809nc639, 3rif0qvun4mmll1xf2qzykums, 99ej60g3qy5e1i6v62scse8yx, 25b3sxqo1ujqqc2pef3iwqnoq, aer03dwlu8hpnejk4uufpxisq, 8k3xs4havqvd53pxchucb2vbo, 4nkpo5caqdsdr7vbtfxwj95as, 862qi7kyzj9873nl1uz1eenvu",4124487431,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4124531853,197,17819,4124487439,194,5sxloac78uf7i1kuscy5qwlw5,4124487437,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124487435,130,18,4124487433,59,"24, 8, 15, 16, 14, 5, 21, 19, 10, 7, 11, 13, 22, 2, 4, 17, 23, 27, 28, 9",4124487441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755725,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-03-26T10:02:29.124Z,2023-03-26T10:02:29Z,4124536233,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755735,2,32,1,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-03-26T10:02:29.124Z,2023-03-26T10:02:30Z,4124536253,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524769273,408,43,1,0,0,4vvf3sulx3a61fiyaarjdndjs,1,0,0,2023-03-26T10:02:29.124Z,2023-03-26T11:04:57Z,4124609437,56,Back,4124609439,286,0,4124619055,144,50,,,,,,,,,,,,,,,,cyqlcyzogla6wql5pms4i02d,F. Bonsegundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755739,3,1,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,50,50,2023-03-26T10:02:29.224Z,2023-03-26T10:02:32Z,4124536269,56,Back,4124536275,212,21.0,4124536273,141,37.9,4124536277,213,3.5,4124536279,279,S,4124536271,140,31.6,,,,,,,5sxloac78uf7i1kuscy5qwlw5,Mari Paz Vilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755753,4,1,1,0,2,e7p3lxg97gac51s71hotzi0a5,1,32.4,35.1,2023-03-26T10:02:32.022Z,2023-03-26T10:02:34Z,4124536335,141,5.8,4124536333,140,33.4,4124536331,56,Back,4124536337,212,20.0,4124536339,213,4.8,,,,,,,,,,ez9in0ld6mrlrab7bi1kvuhd6,Y. Mrabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755769,5,1,1,0,5,e7p3lxg97gac51s71hotzi0a5,1,32.2,7.1,2023-03-26T10:02:34.629Z,2023-03-26T10:52:17Z,4124536431,212,6.3,4124536427,140,34.7,4124536429,141,15.6,4124536425,56,Back,4124536433,213,1.1,,,,,,,,,,antfb8hyo1sn4o68itu4oi904,Laura Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755787,6,1,1,0,8,e7p3lxg97gac51s71hotzi0a5,1,35.7,17.3,2023-03-26T10:02:37.798Z,2023-03-26T10:02:42Z,4124536519,56,Back,4124536527,213,2.2,4124536525,212,27.9,4124536523,141,50.3,4124536521,140,19.9,,,,,,,,,,ez9in0ld6mrlrab7bi1kvuhd6,Y. Mrabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524755821,7,1,1,0,12,e7p3lxg97gac51s71hotzi0a5,1,20.3,52.2,2023-03-26T10:02:41.957Z,2023-03-26T10:02:50Z,4124536699,212,18.9,4124536697,141,78.7,4124536693,56,Back,4124536701,213,1.3,4124536695,140,25.7,,,,,,,,,,fge9gic869tnpk4tetnxuv4k,Julia Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
