id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/13/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2547663047,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-05-13T09:13:43.887Z,2023-05-13T09:57:51Z,4272028561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272028551,30,"1bvbnq69gxx0nciovzzf6o8dm, c3plg9ommu3i24xx3nfm6wbxm, q3xvi1pbz5hmr6zw6np6v4yd, 3u9vtcqa5td8weoufpzirruhg, d2at1haixfnekibqj89y4nxed, 8vwiezkux2gxs99ziy7x69fu2, 7dlyawb4x2lr5gjcz5b1y5ivp, 61ho0mi13ewpotj5udjt7mz2s, du0eybpvf5vcvtuj074x74jdg, 89zl8l8wouupdzgepnm1ogqhg, c1ll2hqt71suy8bgwswpci9uy, beiyf464bpeeezm7jiqh2pzis, 5q1oexaovibgn83v5kmjfanvu, a0g0ldiol9fzw09gk5i9e15w4, 2j37sn6v53zhgz2hf1q33gzdg, 6lruud03b1so5uyjduuthtuj9, du4sd3yhhb3avedd8yzjd6dey, 4ts1xba21nxqu8shbfzcvj27d, cfmly5uuomypp4t0pibgtfazu, 1dfho5ul0u10h5m7cmtmj5x7u, epgai2aff40j82jb3gumaehka, 9rk08avs1361jws1ibs5frl04",4272028557,130,2,4272078221,194,du0eybpvf5vcvtuj074x74jdg,4272028553,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4272078223,197,17635,4272028559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272028555,59,"1, 30, 4, 6, 3, 2, 17, 19, 7, 12, 11, 5, 16, 8, 9, 14, 18, 20, 21, 22, 13, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547664503,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-05-13T09:17:24.437Z,2023-05-13T10:45:02Z,4272035581,194,5xlqh4i9zb5daj4khs1mbbxpm,4272035573,130,8,4272035567,30,"5zhcjr5kxyxd2jmq1wel3ug9h, ent5lfgq42d5ngi3ebyy7p1w5, 4ngzyppqh4iaqqy0vrynwz66s, 5kio1iodx7cq9i9p9kql1nuuh, 5xlqh4i9zb5daj4khs1mbbxpm, 2dsgmfs9crnzz3425si3m9uj9, 31mhclmjwpn7zik6nphr4pwtm, 1cfjcoum4z07r1p3uyy2p9x49, et6offb5y91ch6mlol3dwcd0p, 6aodvgoc9sh27cjwelwsm3qw9, 67i9jwkech61ihpglnmpzygvd, 63atfboq056luh7gzplxooyui, 24bz5vlm76nrqcnblyxfkt8x6, b3dvkkzdpggax4btpycd1oe3u, 8i42x5mpk5bpm1i0gvgubx9pm, 9742qffzdwiz9y3y7et40863t, 3z91j68ij26ar4vifyqyp34k, 1nhju64j5loikn6t0j9m6au39, 35uen906vvtndlnv3hrm5zo8a, hf67c0ip1chljjy1udsjpt2i, 4a8y7vdsg6pz1nxnmu7wcqe50, 8w01la4i6fm5vniyehkvst82c",4272035569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4272078483,197,3938,4272035577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272035583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272035571,59,"1, 22, 16, 7, 11, 19, 14, 15, 10, 17, 9, 2, 4, 6, 8, 12, 18, 20, 23, 24, 27, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673453,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-05-13T10:02:09.707Z,2023-05-13T10:02:13Z,4272082251,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673427,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-05-13T10:02:09.707Z,2023-05-13T10:02:09Z,4272082109,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673451,3,1,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,49.5,49.9,2023-05-13T10:02:09.807Z,2023-05-13T10:02:13Z,4272082233,140,35.4,4272082235,141,57.9,4272082239,213,2.8,4272082231,56,Back,4272082241,279,S,4272082237,212,15.8,,,,,,,6aodvgoc9sh27cjwelwsm3qw9,Rosa Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673473,4,1,1,0,3,djz9e25b9zuiu5rmv1zha3i6f,0,36.2,57.2,2023-05-13T10:02:13.136Z,2023-05-13T10:02:16Z,4272082367,140,80.7,4272082375,1,,4272082373,213,5.7,4272082371,212,55.3,4272082369,141,13.8,4272082365,56,Right,4272082363,155,,,,,5kio1iodx7cq9i9p9kql1nuuh,Ángela Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673489,3,1,1,0,6,7mk4va7b2p6tnv2xjxcgjy8h6,0,31.6,63.6,2023-05-13T10:02:16.341Z,2023-05-13T10:02:17Z,4272082451,213,1.2,4272082441,3,,4272082447,141,88.3,4272082443,56,Back,4272082445,140,38.6,4272082449,212,18.3,,,,,,,8vwiezkux2gxs99ziy7x69fu2,Elba Vergés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673517,5,1,1,0,10,djz9e25b9zuiu5rmv1zha3i6f,1,84.1,7.1,2023-05-13T10:02:20.607Z,2023-05-13T10:02:23Z,4272082617,212,10.1,4272082611,56,Right,4272082619,213,5.9,4272082615,141,1.6,4272082613,140,93.0,,,,,,,,,,ent5lfgq42d5ngi3ebyy7p1w5,Matilde Fidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673515,4,45,1,0,13,7mk4va7b2p6tnv2xjxcgjy8h6,0,14.7,96.9,2023-05-13T10:02:22.772Z,2023-05-13T10:02:24Z,4272082607,56,Back,4272082701,233,6,4272082609,285,,,,,,,,,,,,,,,,,89zl8l8wouupdzgepnm1ogqhg,Garazi Fácila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673531,6,3,1,0,13,djz9e25b9zuiu5rmv1zha3i6f,1,85.3,3.1,2023-05-13T10:02:22.772Z,2023-05-13T10:02:24Z,4272082683,233,4,4272082681,286,,4272082679,56,Right,,,,,,,,,,,,,,,,31mhclmjwpn7zik6nphr4pwtm,L. León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673541,7,1,1,0,14,djz9e25b9zuiu5rmv1zha3i6f,0,94.4,3.4,2023-05-13T10:02:23.936Z,2023-05-13T10:02:27Z,4272082785,236,,4272082707,155,,4272082711,140,91.8,4272082705,2,,4272082789,233,5,4272082717,213,2.0,4272082709,56,Right,4272082715,212,7.0,31mhclmjwpn7zik6nphr4pwtm,L. León,4272082793,286,4272082713,141,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673553,5,12,1,0,14,7mk4va7b2p6tnv2xjxcgjy8h6,1,9.1,79.1,2023-05-13T10:02:24.036Z,2023-05-13T10:02:27Z,4272082773,185,,4272082795,233,7,4272082775,56,Back,,,,,,,,,,,,,,,,89zl8l8wouupdzgepnm1ogqhg,Garazi Fácila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673569,6,49,1,0,19,7mk4va7b2p6tnv2xjxcgjy8h6,1,11.5,73.9,2023-05-13T10:02:29.524Z,2023-05-13T10:02:29Z,,,,,,,,,,,,,,,,,,,,,,,,,du0eybpvf5vcvtuj074x74jdg,Ane Miren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673571,7,1,1,0,19,7mk4va7b2p6tnv2xjxcgjy8h6,0,10.3,73.8,2023-05-13T10:02:29.528Z,2023-05-13T10:02:29Z,4272082845,155,,4272082855,213,6.0,4272082849,140,41.6,4272082853,212,33.8,4272082847,56,Back,4272082857,1,,4272082851,141,62.3,,,,du0eybpvf5vcvtuj074x74jdg,Ane Miren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673593,8,1,1,0,20,djz9e25b9zuiu5rmv1zha3i6f,1,60.6,36.6,2023-05-13T10:02:30.640Z,2023-05-13T10:02:33Z,4272082999,56,Back,4272083001,140,49.6,4272083007,213,2.2,4272082997,3,,4272083003,141,58.8,4272083005,212,19.0,,,,,,,1cfjcoum4z07r1p3uyy2p9x49,G. Asantewaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673595,9,49,1,0,23,djz9e25b9zuiu5rmv1zha3i6f,1,50.4,59.9,2023-05-13T10:02:33.632Z,2023-05-13T10:02:34Z,,,,,,,,,,,,,,,,,,,,,,,,,2dsgmfs9crnzz3425si3m9uj9,Dorine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673627,10,1,1,0,24,djz9e25b9zuiu5rmv1zha3i6f,1,52,63.9,2023-05-13T10:02:34.256Z,2023-05-13T10:02:39Z,4272083171,56,Left,4272083177,212,23.8,4272083173,140,64.3,4272083179,213,1.0,4272083175,141,93.3,,,,,,,,,,2dsgmfs9crnzz3425si3m9uj9,Dorine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673637,11,1,1,0,29,djz9e25b9zuiu5rmv1zha3i6f,1,65.7,92.7,2023-05-13T10:02:39.392Z,2023-05-13T10:02:41Z,4272083231,213,0.1,4272083229,212,14.2,4272083225,140,79.2,4272083223,56,Left,4272083227,141,94.2,,,,,,,,,,31mhclmjwpn7zik6nphr4pwtm,L. León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673651,12,1,1,0,31,djz9e25b9zuiu5rmv1zha3i6f,1,79.2,94.2,2023-05-13T10:02:41.648Z,2023-05-13T10:02:43Z,4272083311,56,Left,4272083317,212,10.7,4272083313,140,89.2,4272083315,141,97.4,4272083319,213,0.2,,,,,,,,,,67i9jwkech61ihpglnmpzygvd,Laurina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673665,13,1,1,0,33,djz9e25b9zuiu5rmv1zha3i6f,1,86.6,95,2023-05-13T10:02:43.536Z,2023-05-13T10:02:45Z,4272083433,141,84.1,4272083435,212,21.9,4272083429,56,Left,4272083431,140,67.0,4272083437,213,3.5,,,,,,,,,,et6offb5y91ch6mlol3dwcd0p,R. Babajide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673677,14,1,1,0,35,djz9e25b9zuiu5rmv1zha3i6f,1,70.3,86,2023-05-13T10:02:45.567Z,2023-05-13T10:02:49Z,4272083505,141,95.6,4272083509,213,2.2,4272083503,140,65.5,4272083507,212,8.2,4272083501,56,Left,,,,,,,,,,5kio1iodx7cq9i9p9kql1nuuh,Ángela Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673685,15,1,1,0,39,djz9e25b9zuiu5rmv1zha3i6f,1,68.3,88.1,2023-05-13T10:02:49.103Z,2023-05-13T10:02:50Z,4272083553,140,72.9,4272083555,141,76.1,4272083559,213,5.2,4272083551,56,Center,4272083557,212,9.5,,,,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673691,16,1,1,0,41,djz9e25b9zuiu5rmv1zha3i6f,1,76.3,67.9,2023-05-13T10:02:50.784Z,2023-05-13T10:02:52Z,4272083597,141,54.8,4272083601,213,4.9,4272083595,140,78.1,4272083599,212,9.1,4272083593,56,Center,,,,,,,,,,5kio1iodx7cq9i9p9kql1nuuh,Ángela Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673715,17,1,1,0,42,djz9e25b9zuiu5rmv1zha3i6f,1,78.5,73.6,2023-05-13T10:02:52.095Z,2023-05-13T10:53:14Z,4272083727,141,73.6,4272084127,210,15,4272084131,154,,4272083731,213,0,4272083723,56,Center,4272083725,140,87.3,4272083729,212,9.2,,,,6aodvgoc9sh27cjwelwsm3qw9,Rosa Márquez,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673721,18,15,1,0,44,djz9e25b9zuiu5rmv1zha3i6f,1,92.2,71.3,2023-05-13T10:02:54.240Z,2023-05-13T10:53:14Z,4272084149,29,,4272084183,233,9,4272083825,20,,4272084153,55,17,4272084163,147,53.6,4272084157,102,53.5,4272083751,64,,4272084159,103,3.2,5kio1iodx7cq9i9p9kql1nuuh,Ángela Sosa,4272083749,22,4272083753,56,Center,,4272084161,146,99.0,4272084147,76,4272084151,154,,,,,,,,,,,,,,,,,,,
2547673753,9,10,1,0,44,7mk4va7b2p6tnv2xjxcgjy8h6,1,1,46.6,2023-05-13T10:02:54.340Z,2023-05-13T10:02:59Z,4272083919,177,,4272083927,56,Back,4272083925,182,,4272083923,180,,4272083959,233,18,,,,,,,,,,1bvbnq69gxx0nciovzzf6o8dm,Patricia Larqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673749,8,52,1,0,45,7mk4va7b2p6tnv2xjxcgjy8h6,1,1,46.6,2023-05-13T10:02:55.392Z,2023-05-13T10:02:58Z,,,,,,,,,,,,,,,,,,,,,,,,,1bvbnq69gxx0nciovzzf6o8dm,Patricia Larqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673855,10,1,1,0,58,7mk4va7b2p6tnv2xjxcgjy8h6,0,15.6,53.4,2023-05-13T10:03:08.582Z,2023-05-13T10:03:13Z,4272084517,212,63.0,4272084511,56,Center,4272084521,1,,4272084519,213,0.0,4272084515,141,57.8,4272084509,199,,4272084513,140,75.5,,,,1bvbnq69gxx0nciovzzf6o8dm,Patricia Larqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547673863,19,1,1,1,4,djz9e25b9zuiu5rmv1zha3i6f,0,19.8,38.2,2023-05-13T10:03:14.353Z,2023-05-13T10:03:15Z,4272084583,213,5.9,4272084577,140,41.5,4272084575,56,Back,4272084581,212,24.9,4272084579,141,23.3,4272084573,3,,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
