id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2492010867,1,34,16,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2022-12-17T10:25:37.872Z,2022-12-17T11:00:30Z,3949577717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3949577719,194,3bnl8jpyjy436d6rq46apwei2,3949577721,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949577713,59,"1, 5, 15, 20, 22, 4, 10, 11, 9, 7, 12, 3, 6, 8, 13, 14, 18, 27, 29",3949577715,130,2,3949577711,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3949577709,30,"euieo81aiyv4wqldc8owokset, cehjx04vym880gqogj4djdiad, 8grsiemkt03k8c1g6am7vnxlh, 61103f3yhhms1lylloihvbrv9, 3bnl8jpyjy436d6rq46apwei2, 5fula0vkdt8dg2s1po4k9no16, tfni0bbycqnutwdofnndixd6, 4kqwr8xb2ydw2v32thgb5sk5w, 49klmhzbsmlxnkp2w60y66sph, 3mgkmvazmdqvhtnkkigc24e3u, 3uj4zixqbp5ahu9etu4fl714a, cgbly4uoca30z9ey5h722ej56, 4bpis8gkfy9n5pknxuw40hus4, 79zpaj24j11e9aajt7vmjf88a, dcbrqeq61r269wyh4k00g3t3o, 5mk5a6g9962zs1f0dgv2g3o45, 23cz0ftfc2rstsut0wkmntm8l, 55dkf4evau0bcy8uyhkat9b84, bi6f62obcqdq2cyrlnf4gpxjo",3949612165,197,12187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492011145,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-12-17T10:30:28.557Z,2022-12-17T12:38:32Z,3949579901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3949612093,197,17819,3949579905,130,8,3949579899,30,"6d7hdegq9cbh7kr8sqvao1qt, 5yvzsnnawnxbki7rqnamwr3yt, d5i62fwuf8ohc8fcq3lxboiga, antfb8hyo1sn4o68itu4oi904, 52mkbnt2oveh76tfrlojocgyd, fge9gic869tnpk4tetnxuv4k, avhw3o6tm33ptddzgwfsqod4a, ez9in0ld6mrlrab7bi1kvuhd6, 5niwewtgzxf25d1q2ytxrlpsl, a6wwf7jl8eis7wvrhhwhdq3f9, ahmylmsg9wyiax33v6jwuj9qs, 3rif0qvun4mmll1xf2qzykums, 99ej60g3qy5e1i6v62scse8yx, 1sr39v8ooejvspbdo6fqpckyc, a6vtfn4s30kd7xs9hgzha4iy, 58gxh44zvhf2buqpxhdedyod1, 7mlx17smwd387x1lq6blnm6dx, 2gbtp1lbsmi63pycn76g3u7tg, 8k3xs4havqvd53pxchucb2vbo",3949648747,194,ez9in0ld6mrlrab7bi1kvuhd6,3949579907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3949579903,59,"24, 5, 15, 8, 16, 14, 11, 21, 6, 19, 7, 2, 4, 12, 13, 18, 22, 26, 27",3949579909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018669,2,32,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2022-12-17T11:00:11.089Z,2022-12-17T11:00:12Z,3949616331,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018655,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2022-12-17T11:00:11.089Z,2022-12-17T11:00:11Z,3949616271,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018677,3,1,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,50.1,50.3,2022-12-17T11:00:11.189Z,2022-12-17T11:00:13Z,3949616359,140,35.3,3949616363,212,15.5,3949616365,213,3.1,3949616367,279,S,3949616361,141,50.7,3949616357,56,Back,,,,,,,5niwewtgzxf25d1q2ytxrlpsl,Pilar Garrote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018687,4,1,1,0,2,e7p3lxg97gac51s71hotzi0a5,1,35.8,47.5,2022-12-17T11:00:13.141Z,2022-12-17T11:00:15Z,3949616427,213,4.7,3949616425,212,25.7,3949616419,56,Back,3949616421,140,35.5,3949616423,141,9.7,,,,,,,,,,ez9in0ld6mrlrab7bi1kvuhd6,Y. Mrabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018707,5,1,1,0,4,e7p3lxg97gac51s71hotzi0a5,1,35.9,9.7,2022-12-17T11:00:15.845Z,2022-12-17T11:03:40Z,3949616533,140,21.0,3949616539,213,2.5,3949616537,212,18.9,3949616531,56,Back,3949616535,141,25.3,,,,,,,,,,5yvzsnnawnxbki7rqnamwr3yt,Nuria Garrote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018733,6,1,1,0,8,e7p3lxg97gac51s71hotzi0a5,1,25.4,25.9,2022-12-17T11:00:19.701Z,2022-12-17T11:00:25Z,3949616655,56,Back,3949616661,212,23.5,3949616657,140,26.3,3949616659,141,60.5,3949616663,213,1.5,,,,,,,,,,52mkbnt2oveh76tfrlojocgyd,S. Struck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018737,7,1,1,0,14,e7p3lxg97gac51s71hotzi0a5,1,27.1,60.2,2022-12-17T11:00:25.093Z,2022-12-17T11:00:26Z,3949616685,212,17.6,3949616679,56,Back,3949616687,213,4.8,3949616681,140,27.8,3949616683,141,34.4,,,,,,,,,,fge9gic869tnpk4tetnxuv4k,Julia Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018749,8,1,1,0,15,e7p3lxg97gac51s71hotzi0a5,1,25.6,33.7,2022-12-17T11:00:26.533Z,2022-12-17T11:00:28Z,3949616741,213,1.6,3949616737,141,56.3,3949616733,56,Back,3949616739,212,15.4,3949616735,140,25.0,,,,,,,,,,52mkbnt2oveh76tfrlojocgyd,S. Struck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018753,9,1,1,0,16,e7p3lxg97gac51s71hotzi0a5,1,25.5,59.3,2022-12-17T11:00:28.037Z,2022-12-17T11:00:28Z,3949616751,56,Back,3949616755,141,70.2,3949616757,212,12.5,3949616753,140,35.1,3949616759,213,0.6,,,,,,,,,,fge9gic869tnpk4tetnxuv4k,Julia Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492018761,10,1,1,0,17,e7p3lxg97gac51s71hotzi0a5,1,35.2,70.4,2022-12-17T11:00:28.726Z,2022-12-17T11:00:33Z,3949616813,141,70.4,3949616809,56,Back,3949616811,140,23.4,3949616815,212,12.4,3949616817,213,3.1,,,,,,,,,,antfb8hyo1sn4o68itu4oi904,Laura Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
