id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2526441005,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-04-01T13:11:06.862Z,2023-04-01T14:05:07Z,4152050181,194,5e5sc7yzyi9kja9edk892br9x,4152260025,197,3969,4152050171,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152050175,130,4,4152050185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152050173,59,"1, 17, 7, 14, 5, 22, 23, 18, 19, 11, 10, 2, 4, 6, 8, 9, 13, 15, 16, 20",4152050177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152050169,30,"91vjxbtjn9fmsatxvncmwxyhh, 9x6jbuibbl7ysh0oovghyw4id, 7vtua260sxp339ie21any0zc9, 5hk1m1corx8iy26z88eo65fpx, efrr99onfcuvb2gylkvvrnl9m, 7ffrfies3tie3rewc1cm0hz9x, 5e5sc7yzyi9kja9edk892br9x, bixjzl99gkes918s5gbndtwwl, 5jwmy7qi01na2bmyw3zo3is8a, 57ubfxv6ujkk5cictmez4op1x, d71c1o7e1t448gemysrgisj8q, f24lwuatps6dy3yzdifyir6qd, aktfohaqh9czmqesi39tstlka, 5ag0647kn7k4y21y8nigiwxqt, u29d1e3mswrdqx1aqfhuj8ph, 791g6utcjg9779zlvf7gyavze, bruuz81usy0wu8hpg4d6af3e1, em7ia2l8t9011hu2mnihjf90q, 4nbtzqsvw5ecwsh0k19rzoiga, 8m8fk05kqcs7ver68ubl61mju",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526445395,1,34,16,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-04-01T13:16:16.150Z,2023-04-01T14:01:35Z,4152074407,59,"13, 30, 12, 16, 3, 4, 21, 2, 19, 9, 11, 1, 6, 7, 8, 10, 17, 20",4152074409,130,2,4152074403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4152074413,194,2j37sn6v53zhgz2hf1q33gzdg,4152258599,197,12185,4152074411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4152074415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152074399,30,"epgai2aff40j82jb3gumaehka, c3plg9ommu3i24xx3nfm6wbxm, 89zl8l8wouupdzgepnm1ogqhg, 5q1oexaovibgn83v5kmjfanvu, d2at1haixfnekibqj89y4nxed, q3xvi1pbz5hmr6zw6np6v4yd, cfmly5uuomypp4t0pibgtfazu, 8vwiezkux2gxs99ziy7x69fu2, 61ho0mi13ewpotj5udjt7mz2s, 2j37sn6v53zhgz2hf1q33gzdg, c1ll2hqt71suy8bgwswpci9uy, 1bvbnq69gxx0nciovzzf6o8dm, 3u9vtcqa5td8weoufpzirruhg, du0eybpvf5vcvtuj074x74jdg, a0g0ldiol9fzw09gk5i9e15w4, 83wqrctlm3zpp10zmx1tjc9ka, 7dlyawb4x2lr5gjcz5b1y5ivp, 4ts1xba21nxqu8shbfzcvj27d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526483639,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-04-01T13:58:47.876Z,2023-04-01T13:58:50Z,4152268331,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526483633,2,32,1,0,0,7mk4va7b2p6tnv2xjxcgjy8h6,1,0,0,2023-04-01T13:58:47.876Z,2023-04-01T13:58:48Z,4152268309,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526483655,3,1,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,50.3,49.5,2023-04-01T13:58:48.190Z,2023-04-01T15:00:38Z,4152268385,212,12.2,4152268387,213,3.0,4152268373,56,Back,4152268379,140,38.7,4152268389,279,S,4152268383,141,51.3,,,,,,,5jwmy7qi01na2bmyw3zo3is8a,Cristina Martín-Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526483735,4,1,1,0,5,bxlqcsb8ylen7lng9qy50eoq5,1,38.7,47,2023-04-01T13:58:53.181Z,2023-04-01T13:58:54Z,4152268815,56,Back,4152268821,212,9.3,4152268817,140,40.9,4152268819,141,60.2,4152268823,213,1.3,,,,,,,,,,5hk1m1corx8iy26z88eo65fpx,Silvia Meseguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526483795,5,1,1,0,6,bxlqcsb8ylen7lng9qy50eoq5,1,41,60,2023-04-01T13:58:54.685Z,2023-04-01T13:58:59Z,4152269055,56,Back,4152269057,140,35.9,4152269063,213,1.8,4152269059,141,92.4,4152269061,212,22.7,,,,,,,,,,57ubfxv6ujkk5cictmez4op1x,T. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526483855,6,1,1,0,11,bxlqcsb8ylen7lng9qy50eoq5,1,39.6,94.1,2023-04-01T13:58:59.309Z,2023-04-01T13:59:02Z,4152269289,212,6.9,4152269283,56,Back,4152269285,140,44.3,4152269287,141,87.1,4152269291,213,5.5,,,,,,,,,,7vtua260sxp339ie21any0zc9,Rosa Otermin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526483913,7,1,1,0,14,bxlqcsb8ylen7lng9qy50eoq5,1,37.8,90,2023-04-01T13:59:02.382Z,2023-04-01T13:59:07Z,4152269517,56,Back,4152269519,140,25.3,4152269523,212,17.4,4152269521,141,73.3,4152269525,213,3.9,,,,,,,,,,bixjzl99gkes918s5gbndtwwl,K. Cahynová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526483963,8,1,1,0,19,bxlqcsb8ylen7lng9qy50eoq5,1,25.3,72.9,2023-04-01T13:59:07.726Z,2023-04-01T13:59:12Z,4152269755,140,27.5,4152269757,141,46.9,4152269753,56,Back,4152269759,212,17.8,4152269761,213,4.8,,,,,,,,,,7ffrfies3tie3rewc1cm0hz9x,M. Nicoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
