id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value
2519023763,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-03-12T10:24:51.252Z,2023-03-12T11:05:33Z,4091978383,59,"1, 27, 14, 12, 6, 29, 16, 19, 7, 9, 28, 8, 10, 13, 15, 17, 18, 20, 22, 31",4091978387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091978389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091978381,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4091978385,130,8,4092038839,197,3973,4092010023,194,ekctrwv020vt9iuv6jkpfivv9,4091978379,30,"6nx2fpsn1549tqew7098csqg9, ef8jptd63fi9rll1e1gx61z6y, er787gw0uh9wwlo98tzsc83qh, 3jsqviuejf6t4u53cdgbeix62, si7seewiwpo5s7yi3jbxuo2y, 4u67uu52ej13738mz4dh9bj3e, 88cflr7hnw1o3ej6y3wsj5p0p, 1jepco4u9frbnmu5lyotlgu8k, ekctrwv020vt9iuv6jkpfivv9, 8xr1zxvovvxckh586adphufvt, bpk64d0puoo2xofbb5k4ffuac, f2wy9lcvcg47ufsat67mdf0et, ennkxlwawwoc8go6bx5ntskp, 1k0lkh2uqjo6c42khduv89dk9, eb1k3xi1oy9c5xkc30fgodg4, f0m3ncnvrrrj3wcgzrz7ja44q, 69hzl68t1f58dxs461jizyjje, bows51pg0h4042274cvzwtmcq, ak7rstu77leltpt7c104ca4q2, envd6nvea5ssa98mq2bnd7otm",,,,,,,,,,,,,,,,,,,,,,,,,
2519024809,1,34,16,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-03-12T10:28:44.063Z,2023-03-12T11:04:36Z,4091983613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091983611,130,4,4091983617,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091983605,30,"3qu360b871q8wssodtkeq6oa2, 33t09qpv89b6wo3suzj33meax, bu6otdhlxkznbdm7v6gq1gq21, 5cpnfg3x95yjy00c6h2g22tp1, 5bx3a7j6m109a4jw82appuhre, 2me13zmgmf0r0wtsjmxid1zvt, b9rcv1fsqcwockfpbkl58tl, bdaicql6er9antum0eaar9x0q, 1533xkmkmi8rpb6yoa8807xn8, er6khxd9z3wfjekigs4nxf8q, 4nvfy4deuo9cmsegz492aq2g9, 4omg3eblibhyzx7f4rhhl8el1, 8jvs33mize0fkkihe2zot28k5, 7rm6858rwtecoxlt5ud31dmy2, 2qh8rg0ekcnh8qjvnnrpc9olx, cqzvybjo8i63y1avibzhpvdud, 5w3y2f2ydr2ecq90cdzbn6ns9, 9w8g9it556ipl3zhatke1srca",4092033953,197,16933,4091983609,59,"1, 19, 14, 5, 22, 2, 17, 10, 16, 9, 11, 6, 7, 13, 15, 18, 21, 39",4091983607,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4091983615,194,5cpnfg3x95yjy00c6h2g22tp1,,,,,,,,,,,,,,,,,,,,,,,,,
2519035413,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-03-12T11:02:32.791Z,2023-03-12T11:02:32Z,4092040493,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519035419,2,32,1,0,0,cd1ottifbgcfrn6pdrdpwt7z0,1,0,0,2023-03-12T11:02:32.791Z,2023-03-12T11:02:33Z,4092040503,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519035431,3,1,1,0,0,1azk57wev30h044w949j46kpu,1,49.7,50.9,2023-03-12T11:02:32.891Z,2023-03-12T11:02:36Z,4092040575,212,17.8,4092040573,141,42.6,4092040569,56,Back,4092040571,140,33.6,4092040577,213,3.5,4092040579,279,S,,,,,,,8xr1zxvovvxckh586adphufvt,Yulema Corres,,,,,,,,,,,,,,,,,,,,,,,
2519035475,4,1,1,0,3,1azk57wev30h044w949j46kpu,0,33.2,42.1,2023-03-12T11:02:36.306Z,2023-03-12T11:02:50Z,4092040835,155,,4092040843,212,65.6,4092040841,141,100.0,4092040847,1,,4092040845,213,0.7,4092040839,140,82.8,4092040837,56,Left,,,,88cflr7hnw1o3ej6y3wsj5p0p,Ane Azkona,,,,,,,,,,,,,,,,,,,,,,,
2519035537,3,5,1,0,9,cd1ottifbgcfrn6pdrdpwt7z0,1,22.4,-1.4,2023-03-12T11:02:42.123Z,2023-03-12T11:02:52Z,4092041143,56,Back,4092041145,347,,4092041181,233,5,,,,,,,,,,,,,,,,4nvfy4deuo9cmsegz492aq2g9,Macarena Portales,,,,,,,,,,,,,,,,,,,,,,,
2519035483,5,5,1,0,9,1azk57wev30h044w949j46kpu,0,77.6,101.4,2023-03-12T11:02:42.123Z,2023-03-12T11:19:53Z,4092040881,347,,4092040879,56,Left,4092041185,233,3,,,,,,,,,,,,,,,,88cflr7hnw1o3ej6y3wsj5p0p,Ane Azkona,,,,,,,,,,,,,,,,,,,,,,,
2519035583,4,1,1,0,24,cd1ottifbgcfrn6pdrdpwt7z0,0,29,0,2023-03-12T11:02:57.388Z,2023-03-12T11:02:59Z,4092041375,140,42.1,4092041373,56,Back,4092041381,213,0.6,4092041371,107,,4092041379,212,16.3,4092041377,141,11.8,,,,,,,33t09qpv89b6wo3suzj33meax,K. Real,,,,,,,,,,,,,,,,,,,,,,,
2519035605,6,1,1,0,28,1azk57wev30h044w949j46kpu,0,59.8,90.5,2023-03-12T11:03:01.123Z,2023-03-12T11:03:02Z,4092041483,140,78.2,4092041489,213,0.0,4092041487,212,19.3,4092041481,56,Left,4092041485,141,91.0,4092041479,3,,,,,,,,er787gw0uh9wwlo98tzsc83qh,Eunate Arraiza,,,,,,,,,,,,,,,,,,,,,,,
