id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,assist
2551460793,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-05-20T08:59:42.023Z,2023-05-20T09:58:43Z,4292204625,59,"13, 32, 14, 18, 6, 5, 27, 19, 7, 9, 28, 1, 3, 10, 11, 12, 15, 16, 17, 20, 22, 29, 31",4292204631,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292260043,194,ekctrwv020vt9iuv6jkpfivv9,4292204627,130,8,4292258997,197,3973,4292204629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292204623,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4292204621,30,"1k0lkh2uqjo6c42khduv89dk9, 6k6a6v5gifzgjyhng61jn4qju, er787gw0uh9wwlo98tzsc83qh, 69hzl68t1f58dxs461jizyjje, si7seewiwpo5s7yi3jbxuo2y, alcmg8hi95r5q7etrck1uyusq, ef8jptd63fi9rll1e1gx61z6y, 1jepco4u9frbnmu5lyotlgu8k, ekctrwv020vt9iuv6jkpfivv9, 8xr1zxvovvxckh586adphufvt, bpk64d0puoo2xofbb5k4ffuac, 6nx2fpsn1549tqew7098csqg9, 3nmk8e4y0vu8ov2whpdannnkk, ennkxlwawwoc8go6bx5ntskp, 2lh6bupkrijpm9n916446nbop, 3jsqviuejf6t4u53cdgbeix62, eb1k3xi1oy9c5xkc30fgodg4, 88cflr7hnw1o3ej6y3wsj5p0p, f0m3ncnvrrrj3wcgzrz7ja44q, bows51pg0h4042274cvzwtmcq, ak7rstu77leltpt7c104ca4q2, 4u67uu52ej13738mz4dh9bj3e, envd6nvea5ssa98mq2bnd7otm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551466067,1,34,16,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-05-20T09:21:32.138Z,2023-05-20T11:00:37Z,4292223489,30,"dcbrqeq61r269wyh4k00g3t3o, 5mk5a6g9962zs1f0dgv2g3o45, 3qg0fby2m8ua25w931ubn8mc4, cgbly4uoca30z9ey5h722ej56, 3bnl8jpyjy436d6rq46apwei2, cehjx04vym880gqogj4djdiad, 4bpis8gkfy9n5pknxuw40hus4, 23cz0ftfc2rstsut0wkmntm8l, 49klmhzbsmlxnkp2w60y66sph, tfni0bbycqnutwdofnndixd6, 3uj4zixqbp5ahu9etu4fl714a, euieo81aiyv4wqldc8owokset, 3mgkmvazmdqvhtnkkigc24e3u, 79zpaj24j11e9aajt7vmjf88a, 4kqwr8xb2ydw2v32thgb5sk5w, 8grsiemkt03k8c1g6am7vnxlh, ah7sbrjt4lz1t4zww2l4sf1ex, dj7z4zsiwjd3xnrb284zt5b6x, 61103f3yhhms1lylloihvbrv9, dl0wzq2dftry5gqgalthhr1ed, bd7rufjtwprtpgha0r8ltdt78, 55dkf4evau0bcy8uyhkat9b84",4292223499,194,3bnl8jpyjy436d6rq46apwei2,4292223493,59,"13, 14, 30, 3, 22, 5, 6, 18, 9, 10, 12, 1, 7, 8, 11, 15, 16, 17, 20, 23, 26, 27",4292223491,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4292223495,130,17,4292223501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292223497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4292258849,197,12187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473447,2,32,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-05-20T10:00:17.115Z,2023-05-20T10:00:19Z,4292261369,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473443,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-05-20T10:00:17.115Z,2023-05-20T10:00:17Z,4292261353,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473449,3,1,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,49.9,49.9,2023-05-20T10:00:17.215Z,2023-05-20T10:02:37Z,4292261383,213,2.9,4292261381,212,21.2,4292261379,141,58.4,4292261375,56,Back,4292261385,279,S,4292261377,140,30.5,,,,,,,49klmhzbsmlxnkp2w60y66sph,Sheila Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473461,4,1,1,0,2,1qoqz1tyay060cj5aha7rt1lp,1,30.8,57.7,2023-05-20T10:00:19.832Z,2023-05-20T10:49:23Z,4292261465,213,5.6,4292261455,56,Right,4292261467,1,,4292261459,140,68.5,4292261451,157,,4292261461,141,9.4,4292261463,212,51.4,,,,23cz0ftfc2rstsut0wkmntm8l,Paola Soldevila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473469,5,1,1,0,4,1qoqz1tyay060cj5aha7rt1lp,0,69,8.9,2023-05-20T10:00:22.022Z,2023-05-20T10:00:24Z,4292261525,212,17.7,4292261519,56,Center,4292261523,141,32.2,4292261527,213,1.1,4292261521,140,76.5,,,,,,,,,,5mk5a6g9962zs1f0dgv2g3o45,Nerea Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473471,3,49,1,0,7,1azk57wev30h044w949j46kpu,1,16.3,53.3,2023-05-20T10:00:24.582Z,2023-05-20T10:00:24Z,,,,,,,,,,,,,,,,,,,,,,,,,alcmg8hi95r5q7etrck1uyusq,Naroa Uriarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473489,4,1,1,0,8,1azk57wev30h044w949j46kpu,1,16.3,53.3,2023-05-20T10:00:25.478Z,2023-05-20T10:00:29Z,4292261629,212,30.8,4292261623,56,Back,4292261621,157,,4292261625,140,34.4,4292261631,213,0.9,4292261633,1,,4292261627,141,88.9,,,,alcmg8hi95r5q7etrck1uyusq,Naroa Uriarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551473491,5,61,1,0,12,1azk57wev30h044w949j46kpu,0,35.6,92,2023-05-20T10:00:29.781Z,2023-05-20T10:00:30Z,4292261637,56,Back,,,,,,,,,,,,,,,,,,,,,,bpk64d0puoo2xofbb5k4ffuac,Sara Ortega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
