id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2518145429,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-03-11T10:24:43.793Z,2023-03-11T11:22:36Z,4087353009,30,"bruuz81usy0wu8hpg4d6af3e1, 8m8fk05kqcs7ver68ubl61mju, 9x6jbuibbl7ysh0oovghyw4id, bixjzl99gkes918s5gbndtwwl, efrr99onfcuvb2gylkvvrnl9m, aktfohaqh9czmqesi39tstlka, u29d1e3mswrdqx1aqfhuj8ph, 5hk1m1corx8iy26z88eo65fpx, 5jwmy7qi01na2bmyw3zo3is8a, 57ubfxv6ujkk5cictmez4op1x, d71c1o7e1t448gemysrgisj8q, 91vjxbtjn9fmsatxvncmwxyhh, f24lwuatps6dy3yzdifyir6qd, 5ag0647kn7k4y21y8nigiwxqt, 7vtua260sxp339ie21any0zc9, 791g6utcjg9779zlvf7gyavze, em7ia2l8t9011hu2mnihjf90q, 4nbtzqsvw5ecwsh0k19rzoiga, 7ffrfies3tie3rewc1cm0hz9x, 5e5sc7yzyi9kja9edk892br9x",4087353019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087353017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087353013,59,"13, 20, 17, 18, 5, 4, 8, 14, 19, 11, 10, 1, 2, 6, 7, 9, 15, 16, 22, 23",4087379861,194,5hk1m1corx8iy26z88eo65fpx,4087385545,197,3969,4087353011,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087353015,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518151255,1,34,16,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-03-11T10:57:57.904Z,2023-03-11T11:47:13Z,4087384957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087384947,30,"6d7hdegq9cbh7kr8sqvao1qt, 5yvzsnnawnxbki7rqnamwr3yt, d5i62fwuf8ohc8fcq3lxboiga, ez9in0ld6mrlrab7bi1kvuhd6, 52mkbnt2oveh76tfrlojocgyd, fge9gic869tnpk4tetnxuv4k, ccvlwuog9vngbz1ni809nc639, antfb8hyo1sn4o68itu4oi904, avhw3o6tm33ptddzgwfsqod4a, 1sr39v8ooejvspbdo6fqpckyc, ahmylmsg9wyiax33v6jwuj9qs, 9806puntyqdx2m1gp55p2qbfu, 3rif0qvun4mmll1xf2qzykums, 99ej60g3qy5e1i6v62scse8yx, 5sxloac78uf7i1kuscy5qwlw5, 25b3sxqo1ujqqc2pef3iwqnoq, a6wwf7jl8eis7wvrhhwhdq3f9, 4yoo22f8dgwz2n8fkqzoir8k4, aer03dwlu8hpnejk4uufpxisq, 4nkpo5caqdsdr7vbtfxwj95as",4087384949,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087384955,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087404255,194,ez9in0ld6mrlrab7bi1kvuhd6,4087384951,59,"24, 5, 15, 21, 16, 14, 22, 8, 11, 12, 7, 13, 2, 4, 10, 17, 19, 20, 23, 28",4087384953,130,5,4087386247,197,17819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518151813,2,32,1,0,0,e7p3lxg97gac51s71hotzi0a5,1,0,0,2023-03-11T11:01:15.405Z,2023-03-11T11:01:15Z,4087387891,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518151817,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-03-11T11:01:15.405Z,2023-03-11T11:01:17Z,4087387903,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518151853,3,1,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,50.4,50.1,2023-03-11T11:01:15.505Z,2023-03-11T13:13:31Z,4087388141,279,S,4087388139,213,0.5,4087388137,212,5.1,4087388133,140,54.7,4087388135,141,53.6,4087388131,56,Center,,,,,,,5jwmy7qi01na2bmyw3zo3is8a,Cristina Martín-Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518170629,306,43,1,0,1,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-03-11T11:01:16.405Z,2023-03-11T12:58:06Z,4087480455,141,53.1,4087480451,56,Center,4087480453,140,51.3,4087657719,144,1,4087480457,212,2.6,4087480459,213,0.9,,,,,,,5jwmy7qi01na2bmyw3zo3is8a,Cristina Martín-Prieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518170631,307,1,1,0,2,bxlqcsb8ylen7lng9qy50eoq5,0,51.3,53.1,2023-03-11T11:01:17.405Z,2023-03-11T11:50:24Z,4087480483,1,,4087480475,140,67.5,4087480471,155,,4087480473,56,Right,4087480481,213,5.1,4087480479,212,40.7,4087480477,141,0.0,,,,u29d1e3mswrdqx1aqfhuj8ph,J. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518170655,308,5,1,0,4,bxlqcsb8ylen7lng9qy50eoq5,0,65.6,-1.3,2023-03-11T11:01:19.405Z,2023-03-11T11:52:28Z,4087480567,347,,4087480565,56,Right,4087482571,233,377,,,,,,,,,,,,,,,,u29d1e3mswrdqx1aqfhuj8ph,J. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518170633,377,5,1,0,4,e7p3lxg97gac51s71hotzi0a5,1,34.4,101.3,2023-03-11T11:01:19.405Z,2023-03-11T11:52:28Z,4087482563,233,308,4087480485,56,Back,4087480487,347,,,,,,,,,,,,,,,,,antfb8hyo1sn4o68itu4oi904,Laura Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518151869,3,1,1,0,9,e7p3lxg97gac51s71hotzi0a5,1,35.4,100,2023-03-11T11:01:24.959Z,2023-03-11T11:52:07Z,4087388209,212,14.0,4087480537,107,,4087388207,141,95.7,4087388205,140,48.2,4087388211,213,6.0,4087388203,56,Back,,,,,,,d5i62fwuf8ohc8fcq3lxboiga,Esther Martín-Pozuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
