id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/17/value
2518292957,1,34,16,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2023-03-11T14:30:49.001Z,2023-03-11T14:58:41Z,4088107453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4088242781,194,ent3o8sh6zn2mpe7m9p8q1sve,4088107455,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088107449,59,"13, 17, 14, 8, 6, 22, 19, 21, 9, 7, 20, 1, 2, 3, 5, 10, 12, 18, 26",4088107447,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4088242783,197,3933,4088107451,130,4,4088107445,30,"76q3qw1j9n3og4gep5pdedisq, 5x93ra7unls3fac5gomibwel1, 3mutv27i9xvd3wmbwypdpah62, 8drs7flji0ctdoui0cfyugu3u, 2d1defd89f1nrpb0gi6cciwru, 4gv8ud8pwhynhd4ehmzw2pgmi, 14c84da3uglvp8gtjpxospo4q, 5axvazbhm6wsgpbpgt1gmaj11, sro6084uxjkm140ylvc5uq51, ent3o8sh6zn2mpe7m9p8q1sve, 5de2lhx1gnd8ks8pmge8plb6d, ea2eq21d08asfeqh17vcxpwmi, 36vatxs5tk7alvqedu7vtn88a, bwjqs0orziydksase1flhedt6, etzoltim8ktgsaidhpebhnx79, 1lvwjd2sedbk3gs9p2v34cdt5, 9bzg6jfuapjzhmurucmkiz7fu, 2t32h7nbjkouc968jbm8cax62, 6g1wh174nw433sv5iv9q0lx0q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518299591,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-03-11T14:36:42.262Z,2023-03-11T15:08:33Z,4088141147,130,4,4088141145,59,"1, 11, 21, 20, 4, 6, 15, 7, 18, 10, 16, 2, 8, 9, 12, 14, 17, 19, 22, 23, 24",4088141143,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4088246543,197,3938,4088141151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088141149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088141141,30,"5zhcjr5kxyxd2jmq1wel3ug9h, 5xlqh4i9zb5daj4khs1mbbxpm, ev8an510kk4nb6dabnsa962tx, 1nhju64j5loikn6t0j9m6au39, 24bz5vlm76nrqcnblyxfkt8x6, b3dvkkzdpggax4btpycd1oe3u, 1cfjcoum4z07r1p3uyy2p9x49, 5kio1iodx7cq9i9p9kql1nuuh, 3z91j68ij26ar4vifyqyp34k, et6offb5y91ch6mlol3dwcd0p, 4ngzyppqh4iaqqy0vrynwz66s, 63atfboq056luh7gzplxooyui, 8i42x5mpk5bpm1i0gvgubx9pm, 67i9jwkech61ihpglnmpzygvd, 9742qffzdwiz9y3y7et40863t, 31mhclmjwpn7zik6nphr4pwtm, 6aodvgoc9sh27cjwelwsm3qw9, 2dsgmfs9crnzz3425si3m9uj9, ent5lfgq42d5ngi3ebyy7p1w5, 35uen906vvtndlnv3hrm5zo8a, hf67c0ip1chljjy1udsjpt2i",4088252037,194,5xlqh4i9zb5daj4khs1mbbxpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323817,2,32,1,0,0,9euoni3f3sh08tsplt2gh5dex,1,0,0,2023-03-11T15:02:02.552Z,2023-03-11T15:02:05Z,4088260901,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323793,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-03-11T15:02:02.552Z,2023-03-11T15:02:02Z,4088260803,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323881,3,1,1,0,0,9euoni3f3sh08tsplt2gh5dex,1,49.7,49.7,2023-03-11T15:02:02.652Z,2023-03-11T15:53:37Z,4088261223,140,40.6,4088261225,141,54.4,4088261227,212,10.1,4088261231,279,S,4088261221,56,Back,4088261229,213,2.8,,,,,,,sro6084uxjkm140ylvc5uq51,S. Franssi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518324153,4,1,1,0,4,9euoni3f3sh08tsplt2gh5dex,1,45.6,53.1,2023-03-11T15:02:06.682Z,2023-03-11T15:02:12Z,4088262491,140,78.5,4088262487,155,,4088262499,1,,4088262497,213,5.5,4088262489,56,Right,4088262493,141,5.8,4088262495,212,47.2,,,,8drs7flji0ctdoui0cfyugu3u,Iris Arnaiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518324169,5,3,1,0,8,9euoni3f3sh08tsplt2gh5dex,0,92.8,11.1,2023-03-11T15:02:11.029Z,2023-03-11T15:02:13Z,4088262777,233,3,4088262613,286,,4088262611,56,Right,,,,,,,,,,,,,,,,5x93ra7unls3fac5gomibwel1,A. Poljak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518324157,3,7,1,0,8,djz9e25b9zuiu5rmv1zha3i6f,1,7.2,88.9,2023-03-11T15:02:11.030Z,2023-03-11T15:02:13Z,4088262531,285,,4088262529,56,Back,4088262709,233,5,4088262527,167,,,,,,,,,,,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518324209,4,6,1,0,9,djz9e25b9zuiu5rmv1zha3i6f,0,1.4,83.8,2023-03-11T15:02:12.101Z,2023-03-11T15:02:17Z,4088262815,73,,4088262813,56,Back,4088263351,233,6,,,,,,,,,,,,,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518324309,6,6,1,0,9,9euoni3f3sh08tsplt2gh5dex,1,98.6,16.2,2023-03-11T15:02:12.101Z,2023-03-11T15:17:27Z,4088263325,233,4,4088263319,75,,4088263317,56,Right,,,,,,,,,,,,,,,,5x93ra7unls3fac5gomibwel1,A. Poljak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
