id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/13/value,assist
2519024927,1,34,16,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-03-12T10:29:07.165Z,2023-03-12T11:38:08Z,4092031219,197,12187,4091984275,130,4,4091984271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4091984273,59,"13, 18, 30, 22, 5, 3, 23, 12, 10, 17, 9, 1, 4, 6, 7, 8, 14, 15, 16, 27, 28",4091984281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091984277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091984269,30,"dcbrqeq61r269wyh4k00g3t3o, 23cz0ftfc2rstsut0wkmntm8l, 3qg0fby2m8ua25w931ubn8mc4, 3bnl8jpyjy436d6rq46apwei2, cehjx04vym880gqogj4djdiad, cgbly4uoca30z9ey5h722ej56, dl0wzq2dftry5gqgalthhr1ed, 3uj4zixqbp5ahu9etu4fl714a, tfni0bbycqnutwdofnndixd6, dj7z4zsiwjd3xnrb284zt5b6x, 49klmhzbsmlxnkp2w60y66sph, euieo81aiyv4wqldc8owokset, 5fula0vkdt8dg2s1po4k9no16, 4bpis8gkfy9n5pknxuw40hus4, 3mgkmvazmdqvhtnkkigc24e3u, 79zpaj24j11e9aajt7vmjf88a, 5mk5a6g9962zs1f0dgv2g3o45, 8grsiemkt03k8c1g6am7vnxlh, ah7sbrjt4lz1t4zww2l4sf1ex, 55dkf4evau0bcy8uyhkat9b84, 1bwsm5vcee014jmyh63q1ayhg",4091984279,194,3bnl8jpyjy436d6rq46apwei2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519025569,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-03-12T10:32:05.979Z,2023-03-12T11:06:35Z,4092031757,197,14201,4091988325,130,8,4091988331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091988321,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4091988323,59,"1, 17, 15, 18, 3, 4, 19, 8, 7, 12, 11, 2, 5, 13, 14, 21, 23, 24",4091988327,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4091988319,30,"77qiz0pydyy47nrcuqqtcom50, 5zfnimycb0516oj3frebpisk4, f5c7fj7ce4uklgzn8el0c90d0, 2j4zvd9upsax6m9vkodcd6vl6, 4jz2cnk91to6lp7cujbzhnwq2, c4bthgzk7mykmnkyn4142i3v8, 1saqhw307zho8fyokoav1j6s4, cvq0jg2vh6kxwf0lcpmuf3i8k, eaebjxv5o929urb7nerrq9qtw, bwefhg110kbph4g04in7ynu38, de1rbqfoaq2wyrd2781bxqqc5, 9wa7byb078u86r3x5bvzgkogl, 457je18v0j8fkdtggt2ghycr8, d90k7acrynushpp6sld2e9h3p, comno008m9p6kg2cxtbc7suwa, cklnfn4gt480hn4o3m3d979w, 5lwte3qujkcw20jcc691itbdh, d20r1ne9lrj8jivt9qv1m6zth",4091988329,194,c4bthgzk7mykmnkyn4142i3v8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034705,2,32,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2023-03-12T11:00:23.435Z,2023-03-12T11:00:23Z,4092036897,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034713,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-03-12T11:00:23.435Z,2023-03-12T11:00:24Z,4092036925,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034725,3,1,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,49.9,50.3,2023-03-12T11:00:23.535Z,2023-03-12T11:01:36Z,4092036981,212,11.3,4092036975,56,Back,4092036985,279,S,4092036983,213,3.6,4092036979,141,42.4,4092036977,140,40.4,,,,,,,dj7z4zsiwjd3xnrb284zt5b6x,Teresa Morató,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034731,4,1,1,0,3,1qoqz1tyay060cj5aha7rt1lp,1,40.4,41.8,2023-03-12T11:00:27.281Z,2023-03-12T11:00:29Z,4092037035,141,64.9,4092037037,212,18.4,4092037039,213,2.1,4092037031,56,Back,4092037033,140,31.2,,,,,,,,,,3bnl8jpyjy436d6rq46apwei2,Lara Mata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034745,5,1,1,0,6,1qoqz1tyay060cj5aha7rt1lp,0,29.5,64.8,2023-03-12T11:00:29.727Z,2023-03-12T11:00:33Z,4092037109,213,6.1,4092037107,212,63.4,4092037103,140,89.1,4092037111,1,,4092037101,56,Center,4092037099,155,,4092037105,141,49.6,,,,cgbly4uoca30z9ey5h722ej56,Cristina Cubedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034749,3,52,1,0,10,eqaszp3lzhffqt4f8hmzov72j,1,11.2,50.6,2023-03-12T11:00:34.144Z,2023-03-12T11:00:34Z,,,,,,,,,,,,,,,,,,,,,,,,,77qiz0pydyy47nrcuqqtcom50,Laura Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034789,4,1,1,0,19,eqaszp3lzhffqt4f8hmzov72j,0,15.1,59.4,2023-03-12T11:00:42.849Z,2023-03-12T11:00:46Z,4092037373,56,Back,4092037381,213,0.3,4092037383,1,,4092037371,199,,4092037379,212,37.6,4092037377,141,76.9,4092037375,140,49.1,,,,77qiz0pydyy47nrcuqqtcom50,Laura Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034815,6,1,1,0,22,1qoqz1tyay060cj5aha7rt1lp,1,55.1,10.1,2023-03-12T11:00:46.192Z,2023-03-12T11:00:52Z,4092037517,140,52.3,4092037519,141,3.2,4092037523,213,4.2,4092037515,56,Right,4092037513,3,,4092037521,212,5.5,,,,,,,dl0wzq2dftry5gqgalthhr1ed,Pilar García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034817,7,49,1,0,28,1qoqz1tyay060cj5aha7rt1lp,1,53.4,2.6,2023-03-12T11:00:52.048Z,2023-03-12T11:00:52Z,,,,,,,,,,,,,,,,,,,,,,,,,cehjx04vym880gqogj4djdiad,Y. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034827,8,1,1,0,28,1qoqz1tyay060cj5aha7rt1lp,0,53.4,2.6,2023-03-12T11:00:52.178Z,2023-03-12T11:01:01Z,4092037555,56,Right,4092037559,141,0.1,4092037561,212,19.5,4092037563,213,6.2,4092037557,140,71.9,,,,,,,,,,cehjx04vym880gqogj4djdiad,Y. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034885,5,5,1,0,29,eqaszp3lzhffqt4f8hmzov72j,1,28.3,101,2023-03-12T11:00:52.889Z,2023-03-12T11:01:05Z,4092037857,347,,4092037867,233,9,4092037855,56,Back,,,,,,,,,,,,,,,,77qiz0pydyy47nrcuqqtcom50,Laura Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034829,9,5,1,0,29,1qoqz1tyay060cj5aha7rt1lp,0,71.7,-1,2023-03-12T11:00:52.889Z,2023-03-12T11:15:46Z,4092037887,233,5,4092037569,347,,4092037567,56,Right,,,,,,,,,,,,,,,,cehjx04vym880gqogj4djdiad,Y. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034959,6,1,1,0,41,eqaszp3lzhffqt4f8hmzov72j,1,32.1,100,2023-03-12T11:01:05.240Z,2023-03-12T11:01:20Z,4092038201,107,,4092038203,56,Back,4092038211,213,5.9,4092038207,141,96.3,4092038209,212,10.5,4092038205,140,41.5,,,,,,,bwefhg110kbph4g04in7ynu38,Astrid Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519034963,7,4,1,0,47,eqaszp3lzhffqt4f8hmzov72j,1,37.9,95.7,2023-03-12T11:01:11.071Z,2023-03-12T11:01:20Z,4092038227,286,,4092038219,13,,4092038223,152,,4092038221,56,Back,4092038245,233,10,4092038225,265,,,,,,,,de1rbqfoaq2wyrd2781bxqqc5,Kuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
