id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2500318955,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-01-24T18:30:09.919Z,2023-01-24T19:05:50Z,3993428959,59,"1, 11, 16, 20, 4, 19, 12, 15, 7, 18, 10, 6, 8, 9, 14, 21, 22, 23, 24, 25, 27, 28",3993464999,197,3938,3993434969,194,5xlqh4i9zb5daj4khs1mbbxpm,3993428957,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3993428963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993428965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993428955,30,"5zhcjr5kxyxd2jmq1wel3ug9h, 5xlqh4i9zb5daj4khs1mbbxpm, 4ngzyppqh4iaqqy0vrynwz66s, 1nhju64j5loikn6t0j9m6au39, 24bz5vlm76nrqcnblyxfkt8x6, 2dsgmfs9crnzz3425si3m9uj9, 9742qffzdwiz9y3y7et40863t, 1cfjcoum4z07r1p3uyy2p9x49, 5kio1iodx7cq9i9p9kql1nuuh, 3z91j68ij26ar4vifyqyp34k, et6offb5y91ch6mlol3dwcd0p, b3dvkkzdpggax4btpycd1oe3u, 8i42x5mpk5bpm1i0gvgubx9pm, 67i9jwkech61ihpglnmpzygvd, 31mhclmjwpn7zik6nphr4pwtm, ev8an510kk4nb6dabnsa962tx, ent5lfgq42d5ngi3ebyy7p1w5, 35uen906vvtndlnv3hrm5zo8a, hf67c0ip1chljjy1udsjpt2i, 4su6y0sg2fw9vvi8y5cjazk0k, 4a8y7vdsg6pz1nxnmu7wcqe50, cgunamq8fn3bre2d3cimwh6cq",3993428961,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500319173,1,34,16,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-01-24T18:31:32.795Z,2023-01-24T18:55:24Z,3993430323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993430321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3993430319,130,4,3993430315,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3993459941,197,14201,3993430313,30,"77qiz0pydyy47nrcuqqtcom50, 9wa7byb078u86r3x5bvzgkogl, f5c7fj7ce4uklgzn8el0c90d0, 2j4zvd9upsax6m9vkodcd6vl6, 4jz2cnk91to6lp7cujbzhnwq2, c4bthgzk7mykmnkyn4142i3v8, de1rbqfoaq2wyrd2781bxqqc5, eaebjxv5o929urb7nerrq9qtw, 5lwte3qujkcw20jcc691itbdh, 1saqhw307zho8fyokoav1j6s4, bwefhg110kbph4g04in7ynu38, 457je18v0j8fkdtggt2ghycr8, cvq0jg2vh6kxwf0lcpmuf3i8k, 1ezefmix2gldcaoz0cdplw3x1, d90k7acrynushpp6sld2e9h3p, comno008m9p6kg2cxtbc7suwa, 5zfnimycb0516oj3frebpisk4, cklnfn4gt480hn4o3m3d979w, d20r1ne9lrj8jivt9qv1m6zth",3993459939,194,c4bthgzk7mykmnkyn4142i3v8,3993430317,59,"1, 2, 15, 18, 3, 4, 11, 7, 23, 19, 12, 5, 8, 9, 13, 14, 17, 21, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500325823,2,32,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,0,0,2023-01-24T19:00:55.725Z,2023-01-24T19:00:55Z,3993466413,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500325827,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-01-24T19:00:55.725Z,2023-01-24T19:00:56Z,3993466427,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500325845,3,1,1,0,0,eqaszp3lzhffqt4f8hmzov72j,1,50.1,50,2023-01-24T19:00:55.825Z,2023-01-24T19:00:58Z,3993466513,213,3.2,3993466509,141,47.9,3993466511,212,17.4,3993466515,279,S,3993466507,140,33.6,3993466505,56,Back,,,,,,,5lwte3qujkcw20jcc691itbdh,Raquel Pinel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500325851,4,1,1,0,2,eqaszp3lzhffqt4f8hmzov72j,0,35.2,46.6,2023-01-24T19:00:58.397Z,2023-01-24T19:01:01Z,3993466555,141,16.5,3993466561,1,,3993466551,56,Right,3993466557,212,50.1,3993466553,140,78.8,3993466549,155,,3993466559,213,5.9,,,,2j4zvd9upsax6m9vkodcd6vl6,A. Quintero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500325863,3,1,1,0,5,djz9e25b9zuiu5rmv1zha3i6f,0,24.5,81.9,2023-01-24T19:01:01.114Z,2023-01-24T19:01:03Z,3993466629,212,12.2,3993466623,56,Back,3993466631,213,5.6,3993466627,141,70.4,3993466621,3,,3993466625,140,33.4,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500325879,5,15,1,0,8,eqaszp3lzhffqt4f8hmzov72j,1,73.5,33.6,2023-01-24T19:01:04.176Z,2023-01-24T19:01:14Z,3993466733,20,,3993466925,146,98.4,3993466699,18,,3993466913,114,,3993466917,102,49.7,3993466923,458,,3993466927,147,47.8,3993466701,56,Center,de1rbqfoaq2wyrd2781bxqqc5,Kuki,3993466921,215,3993466919,103,10.1,3993466955,233,5,3993466915,78,3993466697,22,,,,,,,,,,,,,,,,,
2500325891,5,10,1,0,8,djz9e25b9zuiu5rmv1zha3i6f,1,4,51.9,2023-01-24T19:01:04.276Z,2023-01-24T19:01:09Z,3993466773,182,,3993466775,56,Back,3993466771,178,,3993466785,233,5,3993466769,177,,,,,,,,,,,5zhcjr5kxyxd2jmq1wel3ug9h,G. Thalmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500325887,4,52,1,0,9,djz9e25b9zuiu5rmv1zha3i6f,1,4,51.9,2023-01-24T19:01:05.403Z,2023-01-24T19:01:08Z,,,,,,,,,,,,,,,,,,,,,,,,,5zhcjr5kxyxd2jmq1wel3ug9h,G. Thalmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
