id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2482293859,1,34,16,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2022-11-06T10:20:36.648Z,2022-11-06T11:09:18Z,3898479861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3898479855,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3898479857,59,"1, 14, 5, 8, 18, 4, 6, 20, 10, 9, 12, 7, 11, 13, 22, 27, 28, 34",3898479853,30,"euieo81aiyv4wqldc8owokset, 5mk5a6g9962zs1f0dgv2g3o45, cehjx04vym880gqogj4djdiad, 79zpaj24j11e9aajt7vmjf88a, 23cz0ftfc2rstsut0wkmntm8l, 5fula0vkdt8dg2s1po4k9no16, 4bpis8gkfy9n5pknxuw40hus4, 61103f3yhhms1lylloihvbrv9, tfni0bbycqnutwdofnndixd6, 49klmhzbsmlxnkp2w60y66sph, 3uj4zixqbp5ahu9etu4fl714a, 3mgkmvazmdqvhtnkkigc24e3u, 4kqwr8xb2ydw2v32thgb5sk5w, dcbrqeq61r269wyh4k00g3t3o, 3bnl8jpyjy436d6rq46apwei2, 55dkf4evau0bcy8uyhkat9b84, 1bwsm5vcee014jmyh63q1ayhg, ed92ii4i450i2k1z2y37k9v6c",3898479859,130,2,3898479865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898534447,197,12187,3898479863,194,61103f3yhhms1lylloihvbrv9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482294577,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2022-11-06T10:22:51.688Z,2022-11-06T11:15:37Z,3898534657,197,12189,3898482737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898482733,130,6,3898482729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3898534655,194,5xlqh4i9zb5daj4khs1mbbxpm,3898482735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3898482727,30,"hf67c0ip1chljjy1udsjpt2i, ent5lfgq42d5ngi3ebyy7p1w5, 5xlqh4i9zb5daj4khs1mbbxpm, 1cfjcoum4z07r1p3uyy2p9x49, 24bz5vlm76nrqcnblyxfkt8x6, ev8an510kk4nb6dabnsa962tx, 9742qffzdwiz9y3y7et40863t, 1nhju64j5loikn6t0j9m6au39, cgunamq8fn3bre2d3cimwh6cq, 5kio1iodx7cq9i9p9kql1nuuh, 4ngzyppqh4iaqqy0vrynwz66s, 5zhcjr5kxyxd2jmq1wel3ug9h, 67i9jwkech61ihpglnmpzygvd, et6offb5y91ch6mlol3dwcd0p, b3dvkkzdpggax4btpycd1oe3u, cvoi7kib8ti8jyhrfiomxcpg5, 3z91j68ij26ar4vifyqyp34k, 35uen906vvtndlnv3hrm5zo8a, 8i42x5mpk5bpm1i0gvgubx9pm",3898482731,59,"24, 22, 11, 15, 4, 21, 12, 20, 28, 7, 16, 1, 9, 10, 6, 13, 18, 23, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309133,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2022-11-06T10:59:43.056Z,2022-11-06T10:59:44Z,3898537667,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309129,2,32,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2022-11-06T10:59:43.056Z,2022-11-06T10:59:43Z,3898537653,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309159,3,1,1,0,0,1qoqz1tyay060cj5aha7rt1lp,1,50.1,49.9,2022-11-06T10:59:43.156Z,2022-11-06T11:50:45Z,3898537793,213,3.0,3898537789,141,52.0,3898537795,279,S,3898537785,56,Back,3898537791,212,11.5,3898537787,140,39.2,,,,,,,49klmhzbsmlxnkp2w60y66sph,Sheila Guijarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309169,4,1,1,0,5,1qoqz1tyay060cj5aha7rt1lp,1,38.9,50.3,2022-11-06T10:59:48.422Z,2022-11-06T11:50:44Z,3898537835,212,27.6,3898537833,141,10.6,3898537829,56,Back,3898537837,213,4.5,3898537831,140,33.3,,,,,,,,,,3uj4zixqbp5ahu9etu4fl714a,María Llompart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309207,5,1,1,0,6,1qoqz1tyay060cj5aha7rt1lp,0,35.8,20,2022-11-06T10:59:49.974Z,2022-11-06T11:51:05Z,3898538011,140,65.5,3898538015,212,31.7,3898538009,56,Center,3898538013,141,28.3,3898538017,213,0.2,,,,,,,,,,5mk5a6g9962zs1f0dgv2g3o45,Nerea Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309185,3,1,1,0,8,djz9e25b9zuiu5rmv1zha3i6f,0,33.2,77.9,2022-11-06T10:59:51.721Z,2022-11-06T10:59:53Z,3898537905,141,82.4,3898537907,212,6.7,3898537903,140,38.9,3898537899,3,,3898537909,213,0.5,3898537901,56,Back,,,,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309219,6,1,1,0,13,1qoqz1tyay060cj5aha7rt1lp,1,58.3,29.5,2022-11-06T10:59:56.246Z,2022-11-06T11:51:44Z,3898538067,212,4.1,3898538063,140,61.0,3898538069,213,0.8,3898538065,141,33.8,3898538061,56,Center,,,,,,,,,,61103f3yhhms1lylloihvbrv9,Ainoa Campo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309233,7,1,1,0,14,1qoqz1tyay060cj5aha7rt1lp,1,52.3,21.3,2022-11-06T10:59:57.302Z,2022-11-06T11:51:41Z,3898538139,141,21.1,3898538141,212,21.3,3898538135,56,Back,3898538143,213,3.1,3898538137,140,32.0,,,,,,,,,,3uj4zixqbp5ahu9etu4fl714a,María Llompart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309249,8,43,1,0,16,1qoqz1tyay060cj5aha7rt1lp,1,0,0,2022-11-06T10:59:59.302Z,2022-11-06T11:51:53Z,3898538215,213,2.6,3898538209,140,31.2,3898538213,212,22.6,3898538211,141,27.4,3898654293,144,1,3898538207,56,Back,,,,,,,5mk5a6g9962zs1f0dgv2g3o45,Nerea Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309259,9,1,1,0,19,1qoqz1tyay060cj5aha7rt1lp,1,28.5,22.3,2022-11-06T11:00:02.502Z,2022-11-06T11:52:04Z,3898538261,212,21.4,3898538255,56,Back,3898538257,140,21.8,3898538259,141,52.0,3898538263,213,1.9,,,,,,,,,,23cz0ftfc2rstsut0wkmntm8l,Paola Soldevila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309279,10,1,1,0,21,1qoqz1tyay060cj5aha7rt1lp,1,22.1,53.4,2022-11-06T11:00:04.822Z,2022-11-06T11:52:08Z,3898538345,213,1.5,3898538341,141,75.4,3898538337,56,Back,3898538339,140,23.5,3898538343,212,15.0,,,,,,,,,,euieo81aiyv4wqldc8owokset,Elena de Toro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309293,11,1,1,0,24,1qoqz1tyay060cj5aha7rt1lp,0,23.5,75.4,2022-11-06T11:00:07.591Z,2022-11-06T11:00:10Z,3898538403,56,Center,3898538413,1,,3898538407,141,63.1,3898538409,212,39.7,3898538401,155,,3898538405,140,60.5,3898538411,213,6.1,,,,5fula0vkdt8dg2s1po4k9no16,Irene Miguélez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482309291,4,44,1,0,26,djz9e25b9zuiu5rmv1zha3i6f,1,39.8,39.2,2022-11-06T11:00:09.577Z,2022-11-06T11:00:11Z,3898538395,285,,3898538443,233,12,3898538393,56,Back,,,,,,,,,,,,,,,,24bz5vlm76nrqcnblyxfkt8x6,Victoria Benitez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
