id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,keyPass,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId
2524171543,1,34,16,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-03-24T18:08:55.500Z,2023-03-24T19:16:09Z,4121487151,30,"91vjxbtjn9fmsatxvncmwxyhh, 9x6jbuibbl7ysh0oovghyw4id, 7vtua260sxp339ie21any0zc9, 5ag0647kn7k4y21y8nigiwxqt, efrr99onfcuvb2gylkvvrnl9m, 5hk1m1corx8iy26z88eo65fpx, 57ubfxv6ujkk5cictmez4op1x, bixjzl99gkes918s5gbndtwwl, 5jwmy7qi01na2bmyw3zo3is8a, 5e5sc7yzyi9kja9edk892br9x, d71c1o7e1t448gemysrgisj8q, f24lwuatps6dy3yzdifyir6qd, aktfohaqh9czmqesi39tstlka, 791g6utcjg9779zlvf7gyavze, bruuz81usy0wu8hpg4d6af3e1, 4nbtzqsvw5ecwsh0k19rzoiga, 8m8fk05kqcs7ver68ubl61mju, 7ffrfies3tie3rewc1cm0hz9x",4121487153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4121487157,130,8,4121487163,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4121558187,197,3969,4121487159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4121487161,194,5ag0647kn7k4y21y8nigiwxqt,4121487155,59,"1, 17, 7, 6, 5, 14, 11, 18, 19, 23, 10, 2, 4, 9, 13, 16, 20, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524173977,1,34,16,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-03-24T18:19:31.943Z,2023-03-24T18:59:14Z,4121500293,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4121500291,30,"6nx2fpsn1549tqew7098csqg9, 3nmk8e4y0vu8ov2whpdannnkk, er787gw0uh9wwlo98tzsc83qh, 3jsqviuejf6t4u53cdgbeix62, si7seewiwpo5s7yi3jbxuo2y, f2wy9lcvcg47ufsat67mdf0et, 88cflr7hnw1o3ej6y3wsj5p0p, 4u67uu52ej13738mz4dh9bj3e, ekctrwv020vt9iuv6jkpfivv9, eb1k3xi1oy9c5xkc30fgodg4, ak7rstu77leltpt7c104ca4q2, 8xr1zxvovvxckh586adphufvt, ennkxlwawwoc8go6bx5ntskp, 1k0lkh2uqjo6c42khduv89dk9, f0m3ncnvrrrj3wcgzrz7ja44q, 69hzl68t1f58dxs461jizyjje, 1jepco4u9frbnmu5lyotlgu8k, bows51pg0h4042274cvzwtmcq, ef8jptd63fi9rll1e1gx61z6y, bpk64d0puoo2xofbb5k4ffuac, envd6nvea5ssa98mq2bnd7otm",4121500299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4121500297,130,8,4121500295,59,"1, 3, 14, 12, 6, 8, 16, 29, 7, 15, 22, 9, 10, 13, 17, 18, 19, 20, 27, 28, 31",4121556947,194,f2wy9lcvcg47ufsat67mdf0et,4121556949,197,3973,4121500301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524185313,2,32,1,0,0,1azk57wev30h044w949j46kpu,1,0,0,2023-03-24T19:00:39.279Z,2023-03-24T19:00:39Z,4121558405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524185319,2,32,1,0,0,bxlqcsb8ylen7lng9qy50eoq5,1,0,0,2023-03-24T19:00:39.279Z,2023-03-24T19:00:40Z,4121558431,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524185331,3,1,1,0,0,1azk57wev30h044w949j46kpu,1,50,50,2023-03-24T19:00:39.379Z,2023-03-24T19:00:42Z,4121558505,212,18.4,4121558499,56,Back,4121558503,141,40.3,4121558501,140,33.6,4121558509,279,S,4121558507,213,3.5,,,,,,,ekctrwv020vt9iuv6jkpfivv9,Nekane Díez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524185353,4,1,1,0,3,1azk57wev30h044w949j46kpu,0,32.3,39.2,2023-03-24T19:00:42.764Z,2023-03-24T19:00:46Z,4121558583,141,68.4,4121558585,212,41.6,4121558581,140,67.1,4121558589,1,,4121558577,155,,4121558579,56,Center,4121558587,213,0.5,,,,si7seewiwpo5s7yi3jbxuo2y,Oihane Valdezate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524185371,3,1,1,0,7,bxlqcsb8ylen7lng9qy50eoq5,0,41.6,30.6,2023-03-24T19:00:46.935Z,2023-03-24T19:00:50Z,4121558695,140,63.7,4121558693,56,Right,4121558701,213,5.6,4121558691,3,,4121558699,212,28.9,4121558697,141,5.2,,,,,,,bixjzl99gkes918s5gbndtwwl,K. Cahynová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524185399,5,1,1,0,10,1azk57wev30h044w949j46kpu,1,44.5,95.3,2023-03-24T19:00:49.308Z,2023-03-24T19:00:55Z,4121558789,213,0,4121558787,212,20.9,4121558785,141,95.3,4121558783,140,64.4,4121558781,56,Left,,,,,,,,,,er787gw0uh9wwlo98tzsc83qh,Eunate Arraiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524185417,7,1,1,0,15,1azk57wev30h044w949j46kpu,1,77.4,55.4,2023-03-24T19:00:55.043Z,2023-03-24T19:01:00Z,4121558883,213,3.9,4121558881,212,12.0,4121558875,56,Center,4121558877,140,69.5,4121558879,141,42.7,,,,,,,,,,ekctrwv020vt9iuv6jkpfivv9,Nekane Díez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524185403,6,1,1,0,15,1azk57wev30h044w949j46kpu,1,75,65.2,2023-03-24T19:00:55.195Z,2023-03-24T19:00:56Z,4121558809,212,7.1,4121558807,141,55.4,4121558805,140,77.4,4121558811,213,5.1,4121558803,56,Center,,,,,,,,,,ak7rstu77leltpt7c104ca4q2,Peke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
